File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L50,L49,L48,L47,L46,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
ATL_se0_ag1_f_02_1,910,ATL_se0_ag1_f_02,952.4455,957.8072,5.3617,"That was the time where everybody caught up with each other. Everybody linked up, seen family members they ain't seen in years,",1,1,they,seen,they_ain't_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,That,was,the,time,where,everybody,caught,up,with,each,other.,Everybody,linked,"up,",seen,family,members,they,ain't ,seen,in,"years,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1152,ATL_se0_ag1_f_02,1253.6214,1256.0587,2.4373,"because just cause you don't see it, that don't mean it ain't happening.",1,1,it,happening,it_ain't_happening,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,because,just,cause,you,don't,see,"it,",that,don't,mean,it,ain't ,happening.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1419,ATL_se0_ag1_f_02,1547.0058,1551.4333,4.4275,"Down here y'all see somebody pull in the neighborhood, y'all ain't pay attention. Y'all like, oh that's such and such. You live up the street.",1,1,y'all,pay,y'all_ain't_pay,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down,here,y'all,see,somebody,pull,in,the,"neighborhood,",y'all,ain't ,pay,attention.,Y'all,"like,",oh,that's,such,and,such.,You,live,up,the,street.,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1490,ATL_se0_ag1_f_02,1638.9581,1641.9161,2.958,"And they like, nah, nah, nah, he ain't call you a bitch.",1,1,he,call,he_ain't_call,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,they,"like,","nah,","nah,","nah,",he,ain't ,call,you,a,bitch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1491,ATL_se0_ag1_f_02,1642.1791,1644.3651,2.186,He- he ain't call you a bitch. He just-,1,1,he,call,he_ain't_call,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He-,he,ain't ,call,you,a,bitch.,He,just-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1493,ATL_se0_ag1_f_02,1644.9787,1648.0192,3.0405,"he just said the word bitch, but he ain't call you a bitch. And I'm like,",1,1,he,call,he_ain't_call,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he,just,said,the,word,"bitch,",but,he,ain't ,call,you,a,bitch.,And,I'm,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1718,ATL_se0_ag1_f_02,1915.917,1919.0002,3.0832,it ain't even about the team no more. It's about the individual player at this point.,1,1,it,about,it_ain't_about,PronounNonReferential,Preposition,PronounNonReferential_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,ain't ,even,about,the,team,no,more.,It's,about,the,individual,player,at,this,point.,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1719,ATL_int_01,1917.3116,1917.7249,0.4133,It ain't.,1,1,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,ain't.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1801,ATL_se0_ag1_f_02,2016.2523,2018.8096,2.5573,it ain't nothing but worldwide big ass shadow.,1,1,it,nothing,it_ain't_nothing,PronounPersonal,PronounIndefinite,PronounPersonal_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,ain't ,nothing,but,worldwide,big,ass,shadow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1830,ATL_se0_ag1_f_02,2046.438,2046.972,0.534,"Yeah, it ain't.",1,1,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yeah,",it,ain't.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,461,ATL_se0_ag1_m_01,643.0631,645.4679,2.4048,It ain't take too long for me to start getting in shit up there.,1,1,it,take,it_ain't_take,PronounNonReferential,VerbBase,PronounNonReferential_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,ain't ,take,too,long,for,me,to,start,getting,in,shit,up,there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,531,ATL_se0_ag1_m_01,749.1887,750.6779,1.4892,"they don't got cameras, they ain't gonna know.",1,1,they,know,they_ain't_know,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,don't,got,"cameras,",they,ain't ,gonna,know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,591,ATL_se0_ag1_m_01,832.7156,833.9545,1.2389,You ain't been here all week.,1,1,you,here,you_ain't_here,PronounPersonal,Adverb,PronounPersonal_ain't_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,ain't ,been,here,all,week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,608,ATL_se0_ag1_m_01,850.2618,851.2678,1.006,I ain't taking no notes.,1,1,I,taking,I_ain't_taking,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,taking,no,notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1525,ATL_se0_ag1_m_01,2191.8168,2192.81,0.9932,Ain't got that one.,1,1,constituentboundary,got,constituentboundary_ain't_got,ConstituentBoundary,VerbPastParticiple,ConstituentBoundary_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ain't ,got,that,one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1547,ATL_se0_ag1_m_01,2211.0813,2214.8263,3.745,"And you know what I'm saying, RD-NAME-2 means man in charge. I ain't know if niggas knew that.",1,1,I,know,I_ain't_know,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,you,know,what,I'm,"saying,",RD-NAME-2,means,man,in,charge.,I,ain't ,know,if,niggas,knew,that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1552,ATL_Int_01,2218.392,2219.0673,0.6753,I ain't heard that.,1,1,I,heard,I_ain't_heard,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,heard,that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1738,ATL_se0_ag1_m_01,2512.8381,2515.6136,2.7755,"I ain't gonna like, bruh what the fuck is this? You know what I'm saying, but",1,1,I,like,I_ain't_like,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,gonna,"like,",bruh,what,the,fuck,is,this?,You,know,what,I'm,"saying,",but,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1740,ATL_se0_ag1_m_01,2516.0892,2517.5673,1.4781,nah that ain't my- my choice.,1,1,that,choice,that_ain't_choice,PronounDemonstrative,Noun,PronounDemonstrative_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nah,that,ain't ,my-,my,choice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1889,ATL_Int_01,2745.0514,2745.9858,0.9344,"I ain't gonna lie though, I f-",1,1,I,lie,I_ain't_lie,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,gonna,lie,"though,",I,f-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,147,ATL_se0_ag1_m_02,147.7479,149.6452,1.8973,you know what I'm saying. You ain't even cocky at all.,1,1,you,cocky,you_ain't_cocky,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,what,I'm,saying.,You,ain't ,even,cocky,at,all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,799,ATL_se0_ag1_m_02,868.0779,870.8981,2.8202,So from now on what we talk about ain't out the rectum.,1,1,what,out,what_ain't_out,PronounRelative,Preposition,PronounRelative_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,So,from,now,on,what,we,talk,about,ain't ,out,the,rectum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1167,ATL_se0_ag1_m_02,1276.1564,1277.8578,1.7014,but they ain't wanna take that time,1,1,they,want,they_ain't_want,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,they,ain't ,wanna,take,that,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1171,ATL_se0_ag1_m_02,1279.8981,1284.7498,4.8517,"And, you know, it is what it is, cause I don't really give a fuck. I ain't in school no more. What they gonna do, write me up?",1,1,I,in,I_ain't_in,PronounPersonal,Preposition,PronounPersonal_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"And,",you,"know,",it,is,what,it,"is,",cause,I,don't,really,give,a,fuck.,I,ain't ,in,school,no,more.,What,they,gonna,"do,",write,me,up?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1177,ATL_se0_ag1_m_02,1289.1095,1292.4137,3.3042,"fuck you. Fuck you too. You ain't wanna take time, you know, to teach me,",1,1,you,want,you_ain't_want,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuck,you.,Fuck,you,too.,You,ain't ,wanna,take,"time,",you,"know,",to,teach,"me,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1222,ATL_se0_ag1_m_02,1332.9667,1334.911,1.9443,"like I ain't- I don't know nothing,",1,1,I,constituentboundary,I_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,like,I,ain't-,I,don't,know,"nothing,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1473,ATL_se0_ag1_m_02,1612.2263,1613.8215,1.5952,automatically ain't gonna understand me,1,1,constituentboundary,understand,constituentboundary_ain't_understand,ConstituentBoundary,VerbBase,ConstituentBoundary_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,automatically,ain't ,gonna,understand,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1754,ATL_se0_ag1_m_02,1923.7046,1925.1843,1.4797,Too bad they ain't paying me for this.,1,1,they,paying,they_ain't_paying,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too,bad,they,ain't ,paying,me,for,this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1768,ATL_se0_ag1_m_02,1937.5187,1938.586,1.0673,"I ain't gonna even,",1,1,I,even,I_ain't_even,PronounPersonal,Adverb,PronounPersonal_ain't_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,gonna,"even,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1944,ATL_se0_ag1_m_02,2115.8857,2118.0387,2.153,I ain't wanna say that. I ain't wanna go there.,2,2,I,go,I_ain't_go,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,wanna,say,that.,I,ain't,wanna,go,there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1944,ATL_se0_ag1_m_02,2115.8857,2118.0387,2.153,I ain't wanna say that. I ain't wanna go there.,2,2,I,say,I_ain't_say,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't,wanna,say,that.,I,ain't ,wanna,go,there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1946,ATL_se0_ag1_m_02,2118.3596,2120.1528,1.7932,I ain't wanna go to the hood days,1,1,I,want,I_ain't_want,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,wanna,go,to,the,hood,days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1970,ATL_int_01,2146.4689,2149.0616,2.5927,"I ain't even think about mixing it til later on, like-",1,1,I,think,I_ain't_think,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,even,think,about,mixing,it,til,later,"on,",like-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,47,ATL_int_01,33.272,34.5036,1.2316,I ain't even have to ask for.,1,1,I,ask,I_ain't_ask,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,even,have,to,ask,for.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,517,ATL_se0_ag1_m_03,543.4211,546.4771,3.056,"mayonnaise. They put tomatoes and cheese on there, but I ain't want one of that.",1,1,I,want,I_ain't_want,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayonnaise.,They,put,tomatoes,and,cheese,on,"there,",but,I,ain't ,want,one,of,that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,871,ATL_se0_ag1_m_03,959.9457,960.6573,0.7116,I ain't giving up.,1,1,I,giving,I_ain't_giving,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,giving,up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1219,ATL_int_01,1361.9072,1363.9386,2.0314,That's the weirdest shit ever. I ain't gonna lie.,1,1,I,lie,I_ain't_lie,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,That's,the,weirdest,shit,ever.,I,ain't ,gonna,lie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1414,ATL_int_01,1591.2277,1593.5568,2.3291,You from LA. you ain't know another way.,1,1,you,know,you_ain't_know,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,from,LA.,you,ain't ,know,another,way.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1557,ATL_se0_ag1_m_03,1766.6866,1769.8832,3.1966,"ah, bitch ass- ha! fuck y'all ain't going no, you suck.",1,1,y'all,going,y'all_ain't_going,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ah,",bitch,ass-,ha!,fuck,y'all,ain't ,going,"no,",you,suck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1568,ATL_se0_ag1_m_03,1786.4175,1791.0409,4.6234,"And I already told you, my family die hard Laker fans. They ready to go to blows. They ain't- they don't care.",1,1,they,constituentboundary,they_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,I,already,told,"you,",my,family,die,hard,Laker,fans.,They,ready,to,go,to,blows.,They,ain't-,they,don't,care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1625,ATL_se0_ag1_m_03,1856.8295,1861.2879,4.4584,And I like- I do like like Call of Duty and stuff. Like I play it every now and then. I ain't as serious,1,1,I,serious,I_ain't_serious,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,I,like-,I,do,like,like,Call,of,Duty,and,stuff.,Like,I,play,it,every,now,and,then.,I,ain't ,as,serious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1633,ATL_se0_ag1_m_03,1866.7208,1869.8495,3.1287,"They all, you ain't tryna see me no Call of Duty. Like, I'm not. Like I- I- I don't-",1,1,you,see,you_ain't_see,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They,"all,",you,ain't ,tryna,see,me,no,Call,of,Duty.,"Like,",I'm,not.,Like,I-,I-,I,don't-,,,,,,,,,,,,,,,,,,,,,,,,,
