,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounIndefinite_be_VerbPresentParticiple,5,0.362,1.15,4,1.73,"['DCA_se2_ag1_f_02_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag4_m_02_1', 'PRV_se0_ag3_m_02_1']"
PronounPersonal_be_Noun,5,0.362,1.15,5,2.16,"['ATL_se0_ag1_m_01_1', 'DCA_se1_ag1_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_03_1', 'PRV_se0_ag1_m_02_1']"
PronounNonReferential_be_Adjective,5,0.362,1.15,3,1.3,"['DCB_se1_ag1_f_01_1', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2']"
PronounRelative_be_VerbPresentParticiple,4,0.29,0.92,4,1.73,"['ATL_se0_ag1_f_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag2_m_01_1', 'PRV_se0_ag1_m_02_1']"
PronounIndefinite_be_Adjective,4,0.29,0.92,3,1.3,"['DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_m_03_1', 'VLD_se0_ag2_m_01_1']"
Noun_be_PronounPersonal,3,0.217,0.69,3,1.3,"['DCA_se1_ag1_m_01_1', 'DCA_se2_ag1_f_05_1', 'DCA_se3_ag1_f_01_1']"
PronounNonReferential_be_Preposition,3,0.217,0.69,2,0.87,"['DCB_se1_ag1_f_01_1', 'DCB_se1_ag2_m_03_2']"
Noun_be_VerbPastParticiple,3,0.217,0.69,3,1.3,"['PRV_se0_ag2_f_01_4', 'PRV_se0_ag2_m_01_1', 'ROC_se0_ag2_f_04_1']"
PronounPersonal_be_Disfluency,2,0.145,0.46,2,0.87,"['DCA_se1_ag1_m_04_1', 'DCA_se2_ag1_f_03_1']"
PronounRelative_be_Preposition,2,0.145,0.46,2,0.87,"['DCA_se2_ag1_m_04_1', 'DCB_se1_ag3_f_03_1']"
Noun_be_Noun,2,0.145,0.46,2,0.87,"['DCA_se2_ag1_f_04_1', 'DCB_se1_ag2_m_03_2']"
PronounPersonal_be_PronounPersonal,2,0.145,0.46,2,0.87,"['DCA_se1_ag1_m_02_1', 'DCA_se2_ag1_f_02_1']"
PronounPersonal_be_PronounIndefinite,2,0.145,0.46,2,0.87,"['DCA_se1_ag1_m_01_1', 'DCB_se1_ag3_m_02_1']"
PronounNonReferential_be_Adverb,2,0.145,0.46,1,0.43,['DCA_se2_ag1_m_03_1']
Noun_be_Adverb,2,0.145,0.46,2,0.87,"['DCB_se1_ag4_m_02_1', 'PRV_se0_ag2_f_03_1']"
PronounIndefinite_be_PronounPersonal,2,0.145,0.46,1,0.43,['DCA_se1_ag1_m_02_1']
PronounIndefinite_be_QuotativeLike,1,0.072,0.23,1,0.43,['PRV_se0_ag1_f_01_1']
Noun_be_PronounIndefinite,1,0.072,0.23,1,0.43,['DCB_se1_ag1_f_02_1']
PronounIndefinite_be_Adverb,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_04_1']
PronounIndefinite_be_Preposition,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_01_1']
PronounPersonal_be_VerbPastParticiple,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_04_1']
Noun_be_ConstituentBoundary,1,0.072,0.23,1,0.43,['DCB_se1_ag1_f_03_1']
PronounRelative_be_Adverb,1,0.072,0.23,1,0.43,['DCB_se1_ag1_f_03_1']
PronounRelative_be_QuotativeLike,1,0.072,0.23,1,0.43,['DCB_se1_ag3_m_03_1']
PronounIndefinite_be_VerbPastParticiple,1,0.072,0.23,1,0.43,['DCA_se3_ag1_m_02_1']
