,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
nobody,6,0.027,0.57,6,0.05,"['fe0302562', 'fe0305290', 'fe0305513', 'fe0306794', 'fe0307072', 'fe0310199']"
lot,6,0.027,0.57,6,0.05,"['fe0301239', 'fe0303521', 'fe0307801', 'fe0308156', 'fe0310428', 'fe0310549']"
funny,6,0.027,0.57,6,0.05,"['fe0302713', 'fe0303783', 'fe0303852', 'fe0303904', 'fe0305538', 'fe0307273']"
into,6,0.027,0.57,6,0.05,"['fe0302283', 'fe0305348', 'fe0310001', 'fe0310027', 'fe0310107', 'fe0311634']"
pay,6,0.027,0.57,6,0.05,"['fe0300684', 'fe0303575', 'fe0303648', 'fe0304705', 'fe0310303', 'fe0311458']"
had,5,0.022,0.47,5,0.04,"['fe0303020', 'fe0304950', 'fe0308377', 'fe0308688', 'fe0311458']"
done,5,0.022,0.47,5,0.04,"['fe0304794', 'fe0305460', 'fe0306251', 'fe0307159', 'fe0308202']"
find,5,0.022,0.47,3,0.03,"['fe0308591', 'fe0310329', 'fe0310622']"
found,5,0.022,0.47,4,0.03,"['fe0305248', 'fe0305348', 'fe0309499', 'fe0310329']"
come,5,0.022,0.47,5,0.04,"['fe0301457', 'fe0301640', 'fe0304247', 'fe0309275', 'fe0310004']"
there,5,0.022,0.47,5,0.04,"['fe0304346', 'fe0304905', 'fe0305600', 'fe0308491', 'fe0311682']"
stop,5,0.022,0.47,4,0.03,"['fe0300994', 'fe0302003', 'fe0308591', 'fe0310562']"
peace,5,0.022,0.47,1,0.01,['fe0308591']
something,5,0.022,0.47,5,0.04,"['fe0304773', 'fe0305621', 'fe0306463', 'fe0310303', 'fe0310342']"
work,5,0.022,0.47,5,0.04,"['fe0301529', 'fe0303450', 'fe0307810', 'fe0308591', 'fe0311074']"
real,5,0.022,0.47,4,0.03,"['fe0309223', 'fe0310020', 'fe0311075', 'fe0311690']"
about,5,0.022,0.47,4,0.03,"['fe0302453', 'fe0303482', 'fe0310640', 'fe0310895']"
that,4,0.018,0.38,4,0.03,"['fe0301460', 'fe0310329', 'fe0310640', 'fe0311479']"
running,4,0.018,0.38,2,0.02,"['fe0304994', 'fe0308329']"
thing,4,0.018,0.38,4,0.03,"['fe0305795', 'fe0309108', 'fe0310861', 'fe0311213']"
in,4,0.018,0.38,4,0.03,"['fe0300720', 'fe0305358', 'fe0305572', 'fe0307712']"
sit,4,0.018,0.38,4,0.03,"['fe0302350', 'fe0305671', 'fe0309553', 'fe0311634']"
fun,4,0.018,0.38,4,0.03,"['fe0304733', 'fe0306190', 'fe0307198', 'fe0308614']"
take,4,0.018,0.38,4,0.03,"['fe0300618', 'fe0300966', 'fe0308864', 'fe0309275']"
say,4,0.018,0.38,3,0.03,"['fe0304979', 'fe0307072', 'fe0311031']"
wrong,4,0.018,0.38,4,0.03,"['fe0304748', 'fe0305383', 'fe0310004', 'fe0310428']"
trying,4,0.018,0.38,4,0.03,"['fe0305844', 'fe0309411', 'fe0309589', 'fe0309712']"
easy,4,0.018,0.38,4,0.03,"['fe0301685', 'fe0301904', 'fe0306978', 'fe0308309']"
put,4,0.018,0.38,4,0.03,"['fe0305442', 'fe0307761', 'fe0311019', 'fe0311202']"
married,4,0.018,0.38,4,0.03,"['fe0302184', 'fe0305815', 'fe0307774', 'fe0310424']"
young,4,0.018,0.38,3,0.03,"['fe0307066', 'fe0309684', 'fe0310027']"
change,4,0.018,0.38,4,0.03,"['fe0303416', 'fe0304773', 'fe0308975', 'fe0310895']"
cool,4,0.018,0.38,4,0.03,"['fe0302932', 'fe0307161', 'fe0309042', 'fe0309652']"
able,3,0.013,0.28,2,0.02,"['fe0305798', 'fe0309549']"
big,3,0.013,0.28,2,0.02,"['fe0308069', 'fe0310510']"
missing,3,0.013,0.28,3,0.03,"['fe0302134', 'fe0307988', 'fe0309333']"
money,3,0.013,0.28,3,0.03,"['fe0305284', 'fe0305487', 'fe0311582']"
none,3,0.013,0.28,2,0.02,"['fe0308408', 'fe0308704']"
making,3,0.013,0.28,3,0.03,"['fe0303605', 'fe0303934', 'fe0308472']"
changed,3,0.013,0.28,3,0.03,"['fe0303013', 'fe0306789', 'fe0307742']"
from,3,0.013,0.28,3,0.03,"['fe0301239', 'fe0305572', 'fe0310539']"
played,3,0.013,0.28,3,0.03,"['fe0304523', 'fe0308050', 'fe0309549']"
pretty,3,0.013,0.28,2,0.02,"['fe0300744', 'fe0307872']"
even,3,0.013,0.28,2,0.02,"['fe0304346', 'fe0310329']"
lie,3,0.013,0.28,3,0.03,"['fe0305874', 'fe0309619', 'fe0311582']"
enough,3,0.013,0.28,3,0.03,"['fe0303584', 'fe0307549', 'fe0308189']"
for,3,0.013,0.28,3,0.03,"['fe0303384', 'fe0305543', 'fe0310784']"
know,3,0.013,0.28,3,0.03,"['fe0307072', 'fe0310693', 'fe0311119']"
matter,3,0.013,0.28,3,0.03,"['fe0300972', 'fe0303436', 'fe0305968']"
having,3,0.013,0.28,3,0.03,"['fe0303947', 'fe0304525', 'fe0306836']"
hurt,3,0.013,0.28,3,0.03,"['fe0309138', 'fe0309679', 'fe0310749']"
hot,3,0.013,0.28,3,0.03,"['fe0308935', 'fe0309104', 'fe0310373']"
allowed,3,0.013,0.28,2,0.02,"['fe0304899', 'fe0308343']"
win,3,0.013,0.28,2,0.02,"['fe0304737', 'fe0309409']"
what,3,0.013,0.28,2,0.02,"['fe0306501', 'fe0310895']"
idea,3,0.013,0.28,3,0.03,"['fe0304159', 'fe0305117', 'fe0310898']"
think,3,0.013,0.28,2,0.02,"['fe0304716', 'fe0310278']"
many,2,0.009,0.19,2,0.02,"['fe0304159', 'fe0310724']"
happy,2,0.009,0.19,2,0.02,"['fe0305398', 'fe0310950']"
make,2,0.009,0.19,2,0.02,"['fe0301960', 'fe0307742']"
it,2,0.009,0.19,2,0.02,"['fe0304440', 'fe0309411']"
made,2,0.009,0.19,2,0.02,"['fe0303337', 'fe0311177']"
catch,2,0.009,0.19,2,0.02,"['fe0304705', 'fe0310658']"
call,2,0.009,0.19,1,0.01,['fe0308377']
help,2,0.009,0.19,2,0.02,"['fe0301720', 'fe0308408']"
helping,2,0.009,0.19,2,0.02,"['fe0304766', 'fe0310619']"
home,2,0.009,0.19,2,0.02,"['fe0302134', 'fe0310784']"
let,2,0.009,0.19,2,0.02,"['fe0307050', 'fe0307864']"
liked,2,0.009,0.19,2,0.02,"['fe0310501', 'fe0310508']"
paying,2,0.009,0.19,2,0.02,"['fe0304346', 'fe0307742']"
never,2,0.009,0.19,2,0.02,"['fe0309736', 'fe0311288']"
nowhere,2,0.009,0.19,2,0.02,"['fe0302344', 'fe0304733']"
tomorrow,2,0.009,0.19,2,0.02,"['fe0303215', 'fe0304525']"
time,2,0.009,0.19,2,0.02,"['fe0305342', 'fe0309662']"
thought,2,0.009,0.19,2,0.02,"['fe0301695', 'fe0310599']"
anybody,2,0.009,0.19,2,0.02,"['fe0305045', 'fe0309474']"
talking,2,0.009,0.19,2,0.02,"['fe0305358', 'fe0311075']"
talked,2,0.009,0.19,2,0.02,"['fe0307774', 'fe0309440']"
talk,2,0.009,0.19,2,0.02,"['fe0304415', 'fe0311031']"
sure,2,0.009,0.19,2,0.02,"['fe0305308', 'fe0307156']"
snowing,2,0.009,0.19,2,0.02,"['fe0307159', 'fe0310578']"
smart,2,0.009,0.19,2,0.02,"['fe0305302', 'fe0310862']"
shit,2,0.009,0.19,2,0.02,"['fe0304547', 'fe0309869']"
reality,2,0.009,0.19,2,0.02,"['fe0300574', 'fe0307425']"
birds,2,0.009,0.19,1,0.01,['fe0309595']
problem,2,0.009,0.19,2,0.02,"['fe0309323', 'fe0310784']"
poor,2,0.009,0.19,2,0.02,"['fe0303540', 'fe0304437']"
planning,2,0.009,0.19,1,0.01,['fe0307774']
people,2,0.009,0.19,2,0.02,"['fe0301328', 'fe0301559']"
bother,2,0.009,0.19,2,0.02,"['fe0303183', 'fe0307993']"
one,2,0.009,0.19,2,0.02,"['fe0309896', 'fe0311671']"
happened,2,0.009,0.19,2,0.02,"['fe0305549', 'fe0308329']"
crazy,2,0.009,0.19,2,0.02,"['fe0303337', 'fe0305385']"
deal,2,0.009,0.19,2,0.02,"['fe0305255', 'fe0310893']"
great,2,0.009,0.19,2,0.02,"['fe0301361', 'fe0311541']"
free,2,0.009,0.19,2,0.02,"['fe0303601', 'fe0307902']"
giving,2,0.009,0.19,2,0.02,"['fe0310594', 'fe0311003']"
coming,2,0.009,0.19,2,0.02,"['fe0302137', 'fe0311188']"
different,2,0.009,0.19,2,0.02,"['fe0305341', 'fe0309531']"
chase,1,0.004,0.09,1,0.01,['fe0307445']
signed,1,0.004,0.09,1,0.01,['fe0309656']
seeing,1,0.004,0.09,1,0.01,['fe0308935']
be,1,0.004,0.09,1,0.01,['fe0301984']
serving,1,0.004,0.09,1,0.01,['fe0305657']
set,1,0.004,0.09,1,0.01,['fe0310961']
shame,1,0.004,0.09,1,0.01,['fe0310617']
eat,1,0.004,0.09,1,0.01,['fe0310549']
shot,1,0.004,0.09,1,0.01,['fe0310344']
shrink,1,0.004,0.09,1,0.01,['fe0305546']
bathroom,1,0.004,0.09,1,0.01,['fe0307505']
signing,1,0.004,0.09,1,0.01,['fe0305313']
seafood,1,0.004,0.09,1,0.01,['fe0302184']
sitting,1,0.004,0.09,1,0.01,['fe0308441']
six,1,0.004,0.09,1,0.01,['fe0304998']
sleep,1,0.004,0.09,1,0.01,['fe0310861']
slipping,1,0.004,0.09,1,0.01,['fe0308408']
cook,1,0.004,0.09,1,0.01,['fe0301919']
smartest,1,0.004,0.09,1,0.01,['fe0305385']
smoking,1,0.004,0.09,1,0.01,['fe0306343']
dropped,1,0.004,0.09,1,0.01,['fe0305572']
sold,1,0.004,0.09,1,0.01,['fe0306838']
banging,1,0.004,0.09,1,0.01,['fe0307458']
see,1,0.004,0.09,1,0.01,['fe0309412']
screaming,1,0.004,0.09,1,0.01,['fe0307025']
stay,1,0.004,0.09,1,0.01,['fe0308886']
reliable,1,0.004,0.09,1,0.01,['fe0308079']
president,1,0.004,0.09,1,0.01,['fe0311658']
everything,1,0.004,0.09,1,0.01,['fe0302837']
escaping,1,0.004,0.09,1,0.01,['fe0310617']
pushing,1,0.004,0.09,1,0.01,['fe0308472']
blowing,1,0.004,0.09,1,0.01,['fe0305222']
equivalent,1,0.004,0.09,1,0.01,['fe0311584']
embarrassing,1,0.004,0.09,1,0.01,['fe0309183']
really,1,0.004,0.09,1,0.01,['fe0310634']
reason,1,0.004,0.09,1,0.01,['fe0300966']
reassurance,1,0.004,0.09,1,0.01,['fe0304651']
related,1,0.004,0.09,1,0.01,['fe0306108']
ride,1,0.004,0.09,1,0.01,['fe0300966']
scorching,1,0.004,0.09,1,0.01,['fe0309683']
ridiculous,1,0.004,0.09,1,0.01,['fe0307509']
efficient,1,0.004,0.09,1,0.01,['fe0310445']
ringing,1,0.004,0.09,1,0.01,['fe0309957']
run,1,0.004,0.09,1,0.01,['fe0311188']
being,1,0.004,0.09,1,0.01,['fe0305668']
same,1,0.004,0.09,1,0.01,['fe0311069']
save,1,0.004,0.09,1,0.01,['fe0310443']
beat,1,0.004,0.09,1,0.01,['fe0309415']
saying,1,0.004,0.09,1,0.01,['fe0310344']
scheduled,1,0.004,0.09,1,0.01,['fe0302344']
school,1,0.004,0.09,1,0.01,['fe0308189']
staple,1,0.004,0.09,1,0.01,['fe0305385']
strike,1,0.004,0.09,1,0.01,['fe0301562']
steal,1,0.004,0.09,1,0.01,['fe0303337']
american,1,0.004,0.09,1,0.01,['fe0305292']
up,1,0.004,0.09,1,0.01,['fe0305285']
waiting,1,0.004,0.09,1,0.01,['fe0303579']
wake,1,0.004,0.09,1,0.01,['fe0304979']
walk,1,0.004,0.09,1,0.01,['fe0310533']
watch,1,0.004,0.09,1,0.01,['fe0307999']
watching,1,0.004,0.09,1,0.01,['fe0310020']
amazing,1,0.004,0.09,1,0.01,['fe0306203']
well,1,0.004,0.09,1,0.01,['fe0304825']
dare,1,0.004,0.09,1,0.01,['fe0310249']
wife,1,0.004,0.09,1,0.01,['fe0309656']
wild,1,0.004,0.09,1,0.01,['fe0302192']
cute,1,0.004,0.09,1,0.01,['fe0311479']
with,1,0.004,0.09,1,0.01,['fe0303257']
woman,1,0.004,0.09,1,0.01,['fe0309541']
women,1,0.004,0.09,1,0.01,['fe0310794']
cut,1,0.004,0.09,1,0.01,['fe0310457']
allergy,1,0.004,0.09,1,0.01,['fe0309174']
world,1,0.004,0.09,1,0.01,['fe0309373']
alabama,1,0.004,0.09,1,0.01,['fe0300294']
worrying,1,0.004,0.09,1,0.01,['fe0309715']
affected,1,0.004,0.09,1,0.01,['fe0311549']
above,1,0.004,0.09,1,0.01,['fe0303573']
you,1,0.004,0.09,1,0.01,['fe0307642']
under,1,0.004,0.09,1,0.01,['fe0310303']
answer,1,0.004,0.09,1,0.01,['fe0308377']
available,1,0.004,0.09,1,0.01,['fe0308375']
trust,1,0.004,0.09,1,0.01,['fe0301112']
popular,1,0.004,0.09,1,0.01,['fe0305795']
strong,1,0.004,0.09,1,0.01,['fe0305572']
supported,1,0.004,0.09,1,0.01,['fe0310020']
doubt,1,0.004,0.09,1,0.01,['fe0305567']
sweet,1,0.004,0.09,1,0.01,['fe0302192']
at,1,0.004,0.09,1,0.01,['fe0304716']
cooking,1,0.004,0.09,1,0.01,['fe0307299']
country,1,0.004,0.09,1,0.01,['fe0310266']
distance,1,0.004,0.09,1,0.01,['fe0310495']
tape,1,0.004,0.09,1,0.01,['fe0308408']
team,1,0.004,0.09,1,0.01,['fe0305051']
tell,1,0.004,0.09,1,0.01,['fe0306855']
asked,1,0.004,0.09,1,0.01,['fe0310107']
terrible,1,0.004,0.09,1,0.01,['fe0307183']
around,1,0.004,0.09,1,0.01,['fe0311264']
anything,1,0.004,0.09,1,0.01,['fe0301487']
discrimination,1,0.004,0.09,1,0.01,['fe0302188']
thinking,1,0.004,0.09,1,0.01,['fe0306857']
did,1,0.004,0.09,1,0.01,['fe0311441']
dark,1,0.004,0.09,1,0.01,['fe0309462']
touching,1,0.004,0.09,1,0.01,['fe0304910']
training,1,0.004,0.09,1,0.01,['fe0300215']
travel,1,0.004,0.09,1,0.01,['fe0303514']
power,1,0.004,0.09,1,0.01,['fe0308451']
playing,1,0.004,0.09,1,0.01,['fe0311182']
expensive,1,0.004,0.09,1,0.01,['fe0311288']
intending,1,0.004,0.09,1,0.01,['fe0309595']
called,1,0.004,0.09,1,0.01,['fe0310594']
invasion,1,0.004,0.09,1,0.01,['fe0304877']
ironic,1,0.004,0.09,1,0.01,['fe0301179']
clear,1,0.004,0.09,1,0.01,['fe0305668']
jealous,1,0.004,0.09,1,0.01,['fe0305358']
jeopardizing,1,0.004,0.09,1,0.01,['fe0306475']
joke,1,0.004,0.09,1,0.01,['fe0306302']
joking,1,0.004,0.09,1,0.01,['fe0310428']
keeping,1,0.004,0.09,1,0.01,['fe0302932']
kidding,1,0.004,0.09,1,0.01,['fe0303333']
kids,1,0.004,0.09,1,0.01,['fe0308864']
kill,1,0.004,0.09,1,0.01,['fe0309237']
killed,1,0.004,0.09,1,0.01,['fe0304887']
cold,1,0.004,0.09,1,0.01,['fe0300021']
laid,1,0.004,0.09,1,0.01,['fe0310497']
learned,1,0.004,0.09,1,0.01,['fe0310508']
left,1,0.004,0.09,1,0.01,['fe0309412']
gay,1,0.004,0.09,1,0.01,['fe0300748']
complained,1,0.004,0.09,1,0.01,['fe0311360']
fucking,1,0.004,0.09,1,0.01,['fe0311491']
line,1,0.004,0.09,1,0.01,['fe0305385']
listen,1,0.004,0.09,1,0.01,['fe0304979']
listened,1,0.004,0.09,1,0.01,['fe0311069']
interrupt,1,0.004,0.09,1,0.01,['fe0310017']
incentive,1,0.004,0.09,1,0.01,['fe0307830']
longer,1,0.004,0.09,1,0.01,['fe0305302']
careful,1,0.004,0.09,1,0.01,['fe0303215']
guess,1,0.004,0.09,1,0.01,['fe0306881']
guarantee,1,0.004,0.09,1,0.01,['fe0304346']
growing,1,0.004,0.09,1,0.01,['fe0311150']
happier,1,0.004,0.09,1,0.01,['fe0305348']
hard,1,0.004,0.09,1,0.01,['fe0304391']
hate,1,0.004,0.09,1,0.01,['fe0310266']
hating,1,0.004,0.09,1,0.01,['fe0310266']
celery,1,0.004,0.09,1,0.01,['fe0307266']
granddaughter,1,0.004,0.09,1,0.01,['fe0308267']
hear,1,0.004,0.09,1,0.01,['fe0308483']
gotten,1,0.004,0.09,1,0.01,['fe0307242']
cheap,1,0.004,0.09,1,0.01,['fe0304346']
christmas,1,0.004,0.09,1,0.01,['fe0302705']
here,1,0.004,0.09,1,0.01,['fe0305292']
hitting,1,0.004,0.09,1,0.01,['fe0311198']
hobby,1,0.004,0.09,1,0.01,['fe0311013']
hold,1,0.004,0.09,1,0.01,['fe0301599']
cleaned,1,0.004,0.09,1,0.01,['fe0303852']
homes,1,0.004,0.09,1,0.01,['fe0310237']
cleaning,1,0.004,0.09,1,0.01,['fe0303033']
hurting,1,0.004,0.09,1,0.01,['fe0305513']
hustler,1,0.004,0.09,1,0.01,['fe0310266']
give,1,0.004,0.09,1,0.01,['fe0302655']
live,1,0.004,0.09,1,0.01,['fe0300644']
looking,1,0.004,0.09,1,0.01,['fe0300395']
hang up,1,0.004,0.09,1,0.01,['fe0310333']
new,1,0.004,0.09,1,0.01,['fe0303545']
nice,1,0.004,0.09,1,0.01,['fe0306475']
broke,1,0.004,0.09,1,0.01,['fe0305248']
connected,1,0.004,0.09,1,0.01,['fe0306794']
bring,1,0.004,0.09,1,0.01,['fe0310489']
now,1,0.004,0.09,1,0.01,['fe0310950']
feeling,1,0.004,0.09,1,0.01,['fe0305798']
on,1,0.004,0.09,1,0.01,['fe0307072']
convince,1,0.004,0.09,1,0.01,['fe0304887']
ones,1,0.004,0.09,1,0.01,['fe0310027']
open,1,0.004,0.09,1,0.01,['fe0310495']
option,1,0.004,0.09,1,0.01,['fe0304159']
over,1,0.004,0.09,1,0.01,['fe0304538']
breaking,1,0.004,0.09,1,0.01,['fe0306570']
fan,1,0.004,0.09,1,0.01,['fe0311584']
fair,1,0.004,0.09,1,0.01,['fe0302812']
face,1,0.004,0.09,1,0.01,['fe0302342']
perfect,1,0.004,0.09,1,0.01,['fe0306469']
person,1,0.004,0.09,1,0.01,['fe0311288']
petting,1,0.004,0.09,1,0.01,['fe0306857']
phase,1,0.004,0.09,1,0.01,['fe0308411']
places,1,0.004,0.09,1,0.01,['fe0306414']
expert,1,0.004,0.09,1,0.01,['fe0310724']
experienced,1,0.004,0.09,1,0.01,['fe0308816']
newborn,1,0.004,0.09,1,0.01,['fe0307049']
fit,1,0.004,0.09,1,0.01,['fe0303436']
los angeles acres,1,0.004,0.09,1,0.01,['fe0304708']
neat,1,0.004,0.09,1,0.01,['fe0306302']
losing,1,0.004,0.09,1,0.01,['fe0302019']
