,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
competition,1,0.072,0.23,1,0.43,['DCB_se1_ag2_m_03_2']
closed,1,0.072,0.23,1,0.43,['VLD_se0_ag3_m_03_1']
claiming,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_03_1']
chop blocking,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_02_1']
chilling,1,0.072,0.23,1,0.43,['DCB_se1_ag2_m_01_1']
caught,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_04_1']
busy,1,0.072,0.23,1,0.43,['DCB_se1_ag3_f_02_2']
bustling,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_01_1']
broke,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_02_1']
bringing,1,0.072,0.23,1,0.43,['ATL_se0_ag2_m_03_1']
bothering,1,0.072,0.23,1,0.43,['DCA_se1_ag1_m_04_1']
blocks,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_05_1']
best,1,0.072,0.23,1,0.43,['DCB_se1_ag3_m_02_2']
behind,1,0.072,0.23,1,0.43,['DCA_se1_ag1_m_05_1']
beefing,1,0.072,0.23,1,0.43,['DCB_se1_ag2_f_02_1']
beat,1,0.072,0.23,1,0.43,['VLD_se0_ag3_m_01_2']
bear,1,0.072,0.23,1,0.43,['DCA_se2_ag1_f_04_1']
barking,1,0.072,0.23,1,0.43,['ATL_se0_ag1_f_02_1']
bad,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_01_1']
amazed,1,0.072,0.23,1,0.43,['ROC_se0_ag1_m_02_1']
eating,1,0.072,0.23,1,0.43,['PRV_se0_ag3_m_02_1']
fighting,1,0.072,0.23,1,0.43,['DCA_se1_ag1_m_04_1']
operating,1,0.072,0.23,1,0.43,['DCB_se2_ag4_m_01_1']
fights,1,0.072,0.23,1,0.43,['DCA_se1_ag1_m_04_1']
okay,1,0.072,0.23,1,0.43,['DCB_se2_ag2_f_01_1']
net,1,0.072,0.23,1,0.43,['DCA_se2_ag1_f_03_1']
nervous,1,0.072,0.23,1,0.43,['DCA_se2_ag1_f_02_1']
naming,1,0.072,0.23,1,0.43,['DCB_se3_ag1_f_01_1']
miserable,1,0.072,0.23,1,0.43,['DCB_se3_ag1_m_01_1']
mean,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_04_1']
making,1,0.072,0.23,1,0.43,['DCB_se1_ag1_m_02_1']
lucky,1,0.072,0.23,1,0.43,['DCB_se1_ag4_f_01_2']
lot,1,0.072,0.23,1,0.43,['ROC_se0_ag1_m_02_1']
losing,1,0.072,0.23,1,0.43,['VLD_se0_ag2_f_02_1']
looking,1,0.072,0.23,1,0.43,['PRV_se0_ag3_m_01_1']
liking,1,0.072,0.23,1,0.43,['ATL_se0_ag1_f_01_1']
letting,1,0.072,0.23,1,0.43,['ATL_se0_ag1_f_01_1']
jumping,1,0.072,0.23,1,0.43,['DCA_se2_ag1_f_02_1']
jammed,1,0.072,0.23,1,0.43,['DCB_se1_ag4_f_01_2']
intimidated,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_01_1']
inside,1,0.072,0.23,1,0.43,['PRV_se0_ag2_f_03_1']
hungry,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_01_1']
holding,1,0.072,0.23,1,0.43,['PRV_se0_ag2_m_01_1']
hip,1,0.072,0.23,1,0.43,['DCB_se2_ag4_f_05_1']
hilarious,1,0.072,0.23,1,0.43,['ROC_se0_ag1_m_02_1']
hating,1,0.072,0.23,1,0.43,['DCB_se1_ag2_m_01_1']
good,1,0.072,0.23,1,0.43,['DCB_se1_ag1_f_01_1']
funny,1,0.072,0.23,1,0.43,['DCB_se1_ag3_m_02_1']
fucking,1,0.072,0.23,1,0.43,['DCB_se1_ag2_m_01_1']
frozen,1,0.072,0.23,1,0.43,['ATL_se0_ag2_m_01_1']
freaking out,1,0.072,0.23,1,0.43,['ATL_se0_ag1_f_02_1']
focused,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_04_2']
flying,1,0.072,0.23,1,0.43,['PRV_se0_ag3_f_03_1']
wreck,1,0.072,0.23,1,0.43,['DCA_se2_ag1_f_02_1']
