,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
slept,1,0.072,0.9,1,0.43,['ROC_se0_ag2_f_02_1']
moved,1,0.072,0.9,1,0.43,['DCB_se2_ag4_f_01_1']
talked,1,0.072,0.9,1,0.43,['PRV_se0_ag3_m_02_1']
tore,1,0.072,0.9,1,0.43,['DCB_se1_ag4_f_01_1']
won,1,0.072,0.9,1,0.43,['DCA_se1_ag4_m_01_1']
older,1,0.072,0.9,1,0.43,['PRV_se0_ag2_f_02_1']
known,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_03_1']
met,1,0.072,0.9,1,0.43,['PRV_se0_ag2_f_03_1']
graduated,1,0.072,0.9,1,0.43,['ROC_se0_ag1_m_01_1']
bust,1,0.072,0.9,1,0.43,['DCB_se1_ag2_m_01_1']
came,1,0.072,0.9,1,0.43,['ATL_se0_ag1_m_01_1']
change,1,0.072,0.9,1,0.43,['DCB_se2_ag4_f_05_1']
cremate,1,0.072,0.9,1,0.43,['PRV_se0_ag3_m_02_2']
depressed,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_01_1']
done,1,0.072,0.9,1,0.43,['DCA_se1_ag1_m_03_1']
felt,1,0.072,0.9,1,0.43,['PRV_se0_ag2_m_02_1']
heard,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_03_1']
make,1,0.072,0.9,1,0.43,['DCA_se1_ag1_f_02_1']
hung,1,0.072,0.9,1,0.43,['DCB_se1_ag2_m_01_1']
influenced,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_03_1']
jumped,1,0.072,0.9,1,0.43,['ATL_se0_ag1_m_03_1']
blew,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_03_1']
left,1,0.072,0.9,1,0.43,['PRV_se0_ag3_f_03_1']
lived,1,0.072,0.9,1,0.43,['DCB_se1_ag3_m_02_1']
lost,1,0.072,0.9,1,0.43,['DCB_se3_ag3_m_02_2']
worse,1,0.072,0.9,1,0.43,['DCB_se1_ag4_f_01_2']
