,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
i_ain't_done,2,0.021,0.35,2,0.03,"['392-131210-0022', '6875-76999-0093']"
it_ain't_good,2,0.021,0.35,2,0.03,"['3744-178590-0018', '534-127538-0016']"
this_ain't_beatenest,2,0.021,0.35,2,0.03,"['3783-176659-0044', '3783-176659-0045']"
he_ain't_come,2,0.021,0.35,2,0.03,"['1970-26100-0027', '3792-176660-0037']"
door_ain't_locked,2,0.021,0.35,2,0.03,"['2341-163408-0051', '2341-163408-0066']"
you_ain't_seen,2,0.021,0.35,2,0.03,"['5506-69896-0010', '6687-119384-0041']"
constituentboundary_ain't_got,2,0.021,0.35,2,0.03,"['3783-176659-0026', '7226-86964-0052']"
there_ain't_necessity,2,0.021,0.35,2,0.03,"['2532-163402-0014', '2532-163402-0015']"
you_ain't_had,2,0.021,0.35,2,0.03,"['2946-163375-0058', '2946-163375-0090']"
i_ain't_said,2,0.021,0.35,2,0.03,"['2297-28913-0031', '6875-76999-0093']"
i_ain't_say,2,0.021,0.35,2,0.03,"['5952-54019-0017', '921-127933-0035']"
you_ain't_going,2,0.021,0.35,2,0.03,"['1445-139397-0012', '7140-72210-0028']"
i_ain't_saying,2,0.021,0.35,2,0.03,"['3045-163406-0031', '5910-53048-0011']"
there_ain't_person,2,0.021,0.35,2,0.03,"['1498-140041-0025', '726-124445-0023']"
i_ain't_particular,2,0.021,0.35,2,0.03,"['1469-163403-0008', '5731-50777-0029']"
jim_ain't_got,2,0.021,0.35,2,0.03,"['2532-163402-0016', '2532-163402-0028']"
there_ain't_sense,2,0.021,0.35,2,0.03,"['2285-163380-0029', '726-124445-0011']"
it_ain't_as,2,0.021,0.35,2,0.03,"['1121-176698-0015', '753-32846-0026']"
it_ain't_what,2,0.021,0.35,2,0.03,"['5506-69895-0005', '5731-50777-0031']"
you_ain't_afraid,2,0.021,0.35,2,0.03,"['288-131218-0026', '392-131210-0017']"
there_ain't_telling,2,0.021,0.35,2,0.03,"['2341-163408-0039', '3370-163384-0049']"
i_ain't_one,2,0.021,0.35,2,0.03,"['483-125116-0046', '6378-61780-0008']"
there_ain't_few,1,0.01,0.17,1,0.02,['3738-176680-0046']
there_ain't_enough,1,0.01,0.17,1,0.02,['7198-80652-0023']
that_ain't_true,1,0.01,0.17,1,0.02,['6284-63091-0034']
there_ain't_flood,1,0.01,0.17,1,0.02,['7705-101579-0008']
there_ain't_folks,1,0.01,0.17,1,0.02,['188-136483-0023']
there_ain't_ghost,1,0.01,0.17,1,0.02,['6378-61781-0005']
there_ain't_columbus,1,0.01,0.17,1,0.02,['5093-29101-0020']
there_ain't_drug,1,0.01,0.17,1,0.02,['1025-92814-0019']
there_ain't_bit,1,0.01,0.17,1,0.02,['3083-7944-0057']
that_ain't_something,1,0.01,0.17,1,0.02,['1867-154071-0034']
there_ain't_doubt,1,0.01,0.17,1,0.02,['2946-163375-0012']
there_ain't_boss,1,0.01,0.17,1,0.02,['5660-101883-0026']
there_ain't_doing,1,0.01,0.17,1,0.02,['288-131220-0011']
there_ain't_dog,1,0.01,0.17,1,0.02,['2532-163402-0002']
there_ain't_difficulty,1,0.01,0.17,1,0.02,['460-172359-0042']
there_ain't_boy,1,0.01,0.17,1,0.02,['6904-262305-0042']
there_ain't_difference,1,0.01,0.17,1,0.02,['188-136483-0025']
there_ain't_cupboard,1,0.01,0.17,1,0.02,['2769-176256-0023']
that_ain't_sort,1,0.01,0.17,1,0.02,['915-163369-0035']
an't_ain't_wages,1,0.01,0.17,1,0.02,['6284-63091-0022']
that_ain't_somebody,1,0.01,0.17,1,0.02,['3005-163399-0025']
that_ain't_piece,1,0.01,0.17,1,0.02,['2085-147971-0007']
she_ain't_kid,1,0.01,0.17,1,0.02,['264-121332-0084']
she_ain't_intending,1,0.01,0.17,1,0.02,['5653-46179-0054']
she_ain't_handsome,1,0.01,0.17,1,0.02,['188-136483-0021']
she_ain't_folks,1,0.01,0.17,1,0.02,['1944-159228-0022']
she_ain't_developed,1,0.01,0.17,1,0.02,['460-172359-0046']
she_ain't_classed,1,0.01,0.17,1,0.02,['8415-283469-0080']
she_ain't_call,1,0.01,0.17,1,0.02,['2393-144496-0059']
she_ain't_beautiful,1,0.01,0.17,1,0.02,['264-121332-0083']
she_ain't_anything,1,0.01,0.17,1,0.02,['4226-185488-0022']
sara_ain't_young,1,0.01,0.17,1,0.02,['5949-65530-0013']
sadie_ain't_getting,1,0.01,0.17,1,0.02,['5660-101854-0006']
relationship_ain't_much,1,0.01,0.17,1,0.02,['7898-109860-0023']
raddle_ain't_like,1,0.01,0.17,1,0.02,['1265-135635-0023']
proposition_ain't_natural,1,0.01,0.17,1,0.02,['5968-61356-0029']
profession_ain't_what,1,0.01,0.17,1,0.02,['6902-89167-0057']
polly_ain't_looking,1,0.01,0.17,1,0.02,['188-136483-0019']
plants_ain't_give,1,0.01,0.17,1,0.02,['1901-48014-0006']
people_ain't_ask,1,0.01,0.17,1,0.02,['1445-139397-0013']
orders_ain't_come,1,0.01,0.17,1,0.02,['1944-159230-0017']
ones_ain't_half,1,0.01,0.17,1,0.02,['1998-29454-0034']
one_ain't_beauty,1,0.01,0.17,1,0.02,['4321-15217-0004']
she_ain't_pretty,1,0.01,0.17,1,0.02,['3792-176660-0013']
she_ain't_responsible,1,0.01,0.17,1,0.02,['1100-135264-0011']
she_ain't_seen,1,0.01,0.17,1,0.02,['712-123615-0092']
that_ain't_down,1,0.01,0.17,1,0.02,['8415-283469-0004']
that_ain't_nothing,1,0.01,0.17,1,0.02,['2532-163402-0028']
that_ain't_nice,1,0.01,0.17,1,0.02,['4511-45512-0004']
that_ain't_natural,1,0.01,0.17,1,0.02,['5949-65530-0018']
that_ain't_lot,1,0.01,0.17,1,0.02,['698-123197-0033']
that_ain't_kind,1,0.01,0.17,1,0.02,['7198-80654-0012']
that_ain't_in,1,0.01,0.17,1,0.02,['534-127538-0009']
that_ain't_idea,1,0.01,0.17,1,0.02,['6913-80509-0064']
that_ain't_here,1,0.01,0.17,1,0.02,['5246-30101-0031']
that_ain't_enough,1,0.01,0.17,1,0.02,['207-131203-0018']
that_ain't_child,1,0.01,0.17,1,0.02,['4267-78186-0014']
she_ain't_there,1,0.01,0.17,1,0.02,['8684-293663-0075']
that_ain't_bad,1,0.01,0.17,1,0.02,['4680-16026-0035']
that_ain't_answering,1,0.01,0.17,1,0.02,['188-136483-0023']
that_ain't_about,1,0.01,0.17,1,0.02,['6288-63101-0040']
stuff_ain't_much,1,0.01,0.17,1,0.02,['226-122538-0014']
squire_ain't_talk,1,0.01,0.17,1,0.02,['781-127518-0009']
somebody_ain't_playing,1,0.01,0.17,1,0.02,['7597-101859-0031']
she_ain't_yonder,1,0.01,0.17,1,0.02,['1867-154071-0007']
she_ain't_wife,1,0.01,0.17,1,0.02,['1944-159227-0012']
she_ain't_trimmed,1,0.01,0.17,1,0.02,['8195-117382-0066']
there_ain't_glass,1,0.01,0.17,1,0.02,['2769-176256-0022']
there_ain't_poem,1,0.01,0.17,1,0.02,['6284-63091-0034']
there_ain't_home,1,0.01,0.17,1,0.02,['1578-140045-0004']
you_ain't_dandy,1,0.01,0.17,1,0.02,['915-163372-0018']
you_ain't_cabby,1,0.01,0.17,1,0.02,['392-131210-0036']
you_ain't_boy,1,0.01,0.17,1,0.02,['5883-59268-0016']
you_ain't_bound,1,0.01,0.17,1,0.02,['7597-101859-0029']
you_ain't_black,1,0.01,0.17,1,0.02,['6544-67863-0015']
you_ain't_baby,1,0.01,0.17,1,0.02,['512-124549-0004']
you_ain't_asleep,1,0.01,0.17,1,0.02,['1027-125147-0024']
who_ain't_content,1,0.01,0.17,1,0.02,['829-123190-0028']
what_ain't_got,1,0.01,0.17,1,0.02,['2309-167347-0015']
we_ain't_sure,1,0.01,0.17,1,0.02,['6104-58845-0017']
we_ain't_picks,1,0.01,0.17,1,0.02,['2532-163402-0038']
we_ain't_gone,1,0.01,0.17,1,0.02,['7220-77907-0011']
we_ain't_gnaw,1,0.01,0.17,1,0.02,['2532-163402-0038']
we_ain't_charge,1,0.01,0.17,1,0.02,['3926-174988-0028']
we_ain't_burglars,1,0.01,0.17,1,0.02,['915-163369-0035']
we_ain't_above,1,0.01,0.17,1,0.02,['2003-143254-0029']
way_ain't_talk,1,0.01,0.17,1,0.02,['5139-30105-0038']
training_ain't_same,1,0.01,0.17,1,0.02,['8838-298545-0031']
time_ain't_lost,1,0.01,0.17,1,0.02,['483-125116-0036']
this_ain't_week,1,0.01,0.17,1,0.02,['5361-27491-0065']
you_ain't_changed,1,0.01,0.17,1,0.02,['3843-176666-0064']
you_ain't_demean,1,0.01,0.17,1,0.02,['6288-63101-0016']
this_ain't_luck,1,0.01,0.17,1,0.02,['1944-159228-0010']
you_ain't_feeling,1,0.01,0.17,1,0.02,['753-32846-0026']
you_ain't_that,1,0.01,0.17,1,0.02,['501-125128-0011']
you_ain't_supported,1,0.01,0.17,1,0.02,['6353-63255-0080']
you_ain't_sorry,1,0.01,0.17,1,0.02,['2297-28913-0021']
you_ain't_slick,1,0.01,0.17,1,0.02,['7597-101858-0021']
you_ain't_slave,1,0.01,0.17,1,0.02,['782-126738-0089']
you_ain't_ready,1,0.01,0.17,1,0.02,['3843-176663-0035']
you_ain't_put,1,0.01,0.17,1,0.02,['953-130625-0064']
you_ain't_proud,1,0.01,0.17,1,0.02,['7898-109860-0022']
you_ain't_presuming,1,0.01,0.17,1,0.02,['8531-282933-0061']
you_ain't_now,1,0.01,0.17,1,0.02,['4423-29083-0023']
you_ain't_mad,1,0.01,0.17,1,0.02,['1809-143025-0022']
you_ain't_lucky,1,0.01,0.17,1,0.02,['7597-101858-0043']
you_ain't_lost,1,0.01,0.17,1,0.02,['6841-88294-0060']
you_ain't_learned,1,0.01,0.17,1,0.02,['8430-172388-0009']
you_ain't_in,1,0.01,0.17,1,0.02,['6104-58845-0011']
you_ain't_him,1,0.01,0.17,1,0.02,['3005-163391-0009']
you_ain't_gone,1,0.01,0.17,1,0.02,['5949-65529-0000']
you_ain't_glad,1,0.01,0.17,1,0.02,['6695-252334-0036']
you_ain't_fussy,1,0.01,0.17,1,0.02,['1051-133883-0037']
this_ain't_not,1,0.01,0.17,1,0.02,['1998-29455-0025']
this_ain't_like,1,0.01,0.17,1,0.02,['5918-46890-0081']
there_ain't_house,1,0.01,0.17,1,0.02,['5837-39905-0021']
they_ain't_children,1,0.01,0.17,1,0.02,['8415-283469-0088']
they_ain't_all,1,0.01,0.17,1,0.02,['4262-14486-0037']
there_ain't_women,1,0.01,0.17,1,0.02,['8028-233382-0025']
there_ain't_watchman,1,0.01,0.17,1,0.02,['2532-163402-0002']
there_ain't_two,1,0.01,0.17,1,0.02,['3982-178459-0002']
there_ain't_tripe,1,0.01,0.17,1,0.02,['6904-262305-0013']
there_ain't_thing,1,0.01,0.17,1,0.02,['4148-134149-0033']
there_ain't_that,1,0.01,0.17,1,0.02,['6284-63091-0034']
there_ain't_style,1,0.01,0.17,1,0.02,['5731-50777-0023']
there_ain't_slaves,1,0.01,0.17,1,0.02,['6538-81843-0008']
there_ain't_sight,1,0.01,0.17,1,0.02,['6446-78193-0035']
there_ain't_pride,1,0.01,0.17,1,0.02,['5949-65530-0021']
nothing_ain't_constituentboundary,1,0.01,0.17,1,0.02,['2769-176256-0031']
there_ain't_particle,1,0.01,0.17,1,0.02,['792-127528-0033']
there_ain't_one,1,0.01,0.17,1,0.02,['4267-78186-0027']
there_ain't_none,1,0.01,0.17,1,0.02,['4586-61776-0023']
there_ain't_moon,1,0.01,0.17,1,0.02,['4957-30119-0018']
there_ain't_many,1,0.01,0.17,1,0.02,['392-131210-0011']
there_ain't_line,1,0.01,0.17,1,0.02,['497-129325-0074']
there_ain't_jobs,1,0.01,0.17,1,0.02,['726-124445-0010']
they_ain't_beauties,1,0.01,0.17,1,0.02,['4957-30119-0011']
they_ain't_coppers,1,0.01,0.17,1,0.02,['2769-176263-0007']
this_ain't_job,1,0.01,0.17,1,0.02,['1469-163403-0003']
they_ain't_coward,1,0.01,0.17,1,0.02,['7226-86965-0008']
this_ain't_country,1,0.01,0.17,1,0.02,['4570-56594-0002']
this_ain't_bad,1,0.01,0.17,1,0.02,['8536-244441-0081']
things_ain't_what,1,0.01,0.17,1,0.02,['210-129396-0113']
things_ain't_robbery,1,0.01,0.17,1,0.02,['915-163369-0035']
things_ain't_dark,1,0.01,0.17,1,0.02,['4848-29108-0014']
things_ain't_circumstance,1,0.01,0.17,1,0.02,['4957-30119-0038']
thing_ain't_on,1,0.01,0.17,1,0.02,['1746-143015-0067']
they_ain't_trusted,1,0.01,0.17,1,0.02,['2085-147971-0016']
they_ain't_starve,1,0.01,0.17,1,0.02,['29-130626-0051']
they_ain't_sit,1,0.01,0.17,1,0.02,['8430-172387-0066']
they_ain't_shepherdsons,1,0.01,0.17,1,0.02,['3370-163384-0012']
they_ain't_rustrained,1,0.01,0.17,1,0.02,['4586-61776-0009']
they_ain't_patriotic,1,0.01,0.17,1,0.02,['512-124549-0023']
they_ain't_let,1,0.01,0.17,1,0.02,['3005-163391-0017']
they_ain't_greatest,1,0.01,0.17,1,0.02,['4992-41806-0010']
they_ain't_feather,1,0.01,0.17,1,0.02,['8195-117382-0058']
they_ain't_dead,1,0.01,0.17,1,0.02,['5506-69896-0017']
they_ain't_days,1,0.01,0.17,1,0.02,['4423-29084-0035']
they_ain't_dark,1,0.01,0.17,1,0.02,['3780-177784-0017']
nothing_ain't_trumps,1,0.01,0.17,1,0.02,['6276-62021-0031']
law_ain't_made,1,0.01,0.17,1,0.02,['6746-72302-0085']
necessity_ain't_enough,1,0.01,0.17,1,0.02,['2532-163402-0013']
name_ain't_john merrick,1,0.01,0.17,1,0.02,['4481-17499-0041']
i_ain't_believing,1,0.01,0.17,1,0.02,['4535-279852-0007']
i_ain't_being,1,0.01,0.17,1,0.02,['1944-159230-0031']
i_ain't_been,1,0.01,0.17,1,0.02,['921-127933-0050']
i_ain't_ashamed,1,0.01,0.17,1,0.02,['1944-159230-0018']
house_ain't_here,1,0.01,0.17,1,0.02,['2769-176256-0031']
horses_ain't_got,1,0.01,0.17,1,0.02,['288-131218-0031']
horse_ain't_here,1,0.01,0.17,1,0.02,['2769-176256-0031']
his_ain't_broke,1,0.01,0.17,1,0.02,['5984-63095-0036']
head_ain't_what,1,0.01,0.17,1,0.02,['4017-231846-0034']
he_ain't_watched,1,0.01,0.17,1,0.02,['5126-27504-0008']
he_ain't_understand,1,0.01,0.17,1,0.02,['1746-143015-0067']
he_ain't_trusted,1,0.01,0.17,1,0.02,['1061-152224-0023']
he_ain't_trifled,1,0.01,0.17,1,0.02,['3945-29110-0017']
he_ain't_tenderfoot,1,0.01,0.17,1,0.02,['1867-148436-0011']
he_ain't_straight,1,0.01,0.17,1,0.02,['1998-29455-0032']
he_ain't_shepherdson,1,0.01,0.17,1,0.02,['3370-163384-0007']
he_ain't_right,1,0.01,0.17,1,0.02,['3536-8226-0011']
he_ain't_raised,1,0.01,0.17,1,0.02,['753-32846-0049']
he_ain't_popular,1,0.01,0.17,1,0.02,['107-22885-0037']
he_ain't_oyster,1,0.01,0.17,1,0.02,['392-131210-0045']
he_ain't_out,1,0.01,0.17,1,0.02,['64-76973-0023']
i_ain't_boss,1,0.01,0.17,1,0.02,['3864-185126-0045']
i_ain't_bowed,1,0.01,0.17,1,0.02,['6051-54421-0026']
i_ain't_brave,1,0.01,0.17,1,0.02,['107-22887-0032']
i_ain't_girl,1,0.01,0.17,1,0.02,['1051-133886-0028']
i_ain't_interfering,1,0.01,0.17,1,0.02,['82-122859-0011']
i_ain't_in,1,0.01,0.17,1,0.02,['5445-21282-0053']
i_ain't_horse,1,0.01,0.17,1,0.02,['4841-26659-0060']
i_ain't_here,1,0.01,0.17,1,0.02,['2769-176256-0031']
i_ain't_had,1,0.01,0.17,1,0.02,['3934-102415-0047']
i_ain't_grumbling,1,0.01,0.17,1,0.02,['8778-246974-0021']
i_ain't_good,1,0.01,0.17,1,0.02,['1027-125140-0026']
i_ain't_glad,1,0.01,0.17,1,0.02,['6051-54421-0019']
i_ain't_give,1,0.01,0.17,1,0.02,['5984-63095-0017']
i_ain't_fooling,1,0.01,0.17,1,0.02,['7198-80654-0010']
i_ain't_carry,1,0.01,0.17,1,0.02,['2085-147971-0008']
i_ain't_dreaming,1,0.01,0.17,1,0.02,['3819-134146-0058']
i_ain't_doubt,1,0.01,0.17,1,0.02,['4748-25901-0007']
i_ain't_do,1,0.01,0.17,1,0.02,['6051-54421-0027']
i_ain't_disbelieving,1,0.01,0.17,1,0.02,['4535-279852-0007']
i_ain't_different,1,0.01,0.17,1,0.02,['2053-138901-0034']
i_ain't_cunning,1,0.01,0.17,1,0.02,['497-129325-0016']
i_ain't_clever,1,0.01,0.17,1,0.02,['667-158816-0041']
i_ain't_child,1,0.01,0.17,1,0.02,['7318-96151-0046']
i_ain't_change,1,0.01,0.17,1,0.02,['3033-130750-0063']
he_ain't_one,1,0.01,0.17,1,0.02,['7220-77911-0033']
he_ain't_ignorant,1,0.01,0.17,1,0.02,['1469-163403-0011']
he_ain't_husband,1,0.01,0.17,1,0.02,['7584-101856-0026']
constituentboundary_ain't_bad,1,0.01,0.17,1,0.02,['1998-29454-0016']
dermont_ain't_nine,1,0.01,0.17,1,0.02,['7597-101877-0020']
dan_ain't_vicious,1,0.01,0.17,1,0.02,['5390-30102-0025']
constituentboundary_ain't_seen,1,0.01,0.17,1,0.02,['4511-45512-0004']
constituentboundary_ain't_road,1,0.01,0.17,1,0.02,['6035-74040-0034']
constituentboundary_ain't_for,1,0.01,0.17,1,0.02,['6288-63101-0019']
constituentboundary_ain't_folks,1,0.01,0.17,1,0.02,['3783-176659-0059']
constituentboundary_ain't_bully,1,0.01,0.17,1,0.02,['7597-101859-0039']
constituentboundary_ain't_bigger,1,0.01,0.17,1,0.02,['1746-143015-0033']
constituentboundary_ain't_be,1,0.01,0.17,1,0.02,['4340-15220-0015']
church_ain't_what,1,0.01,0.17,1,0.02,['2573-178450-0017']
esther_ain't_girl,1,0.01,0.17,1,0.02,['3780-177788-0006']
calhoun_ain't_accustomed,1,0.01,0.17,1,0.02,['6051-61724-0020']
cab_ain't_neither,1,0.01,0.17,1,0.02,['2769-176256-0031']
bucks_ain't_got,1,0.01,0.17,1,0.02,['6482-98857-0032']
brandy_ain't_thing,1,0.01,0.17,1,0.02,['5361-27491-0056']
body_ain't_got,1,0.01,0.17,1,0.02,['1469-163403-0011']
blair_ain't_dreadnought,1,0.01,0.17,1,0.02,['7128-84122-0054']
berwin_ain't_vrain,1,0.01,0.17,1,0.02,['6505-231838-0030']
attitude_ain't_constituentboundary,1,0.01,0.17,1,0.02,['7597-101859-0012']
any_ain't_glad,1,0.01,0.17,1,0.02,['1845-145083-0026']
editor_ain't_in,1,0.01,0.17,1,0.02,['5304-55856-0011']
feller_ain't_child,1,0.01,0.17,1,0.02,['4267-78186-0015']
he_ain't_hungry,1,0.01,0.17,1,0.02,['1970-26100-0028']
he_ain't_been,1,0.01,0.17,1,0.02,['2053-138901-0050']
he_ain't_hisself,1,0.01,0.17,1,0.02,['7683-103530-0011']
he_ain't_friend,1,0.01,0.17,1,0.02,['392-131210-0047']
he_ain't_eat,1,0.01,0.17,1,0.02,['1970-26100-0026']
he_ain't_done,1,0.01,0.17,1,0.02,['4992-41797-0005']
he_ain't_criminal,1,0.01,0.17,1,0.02,['6519-231834-0023']
he_ain't_confident,1,0.01,0.17,1,0.02,['5894-64095-0007']
he_ain't_careful,1,0.01,0.17,1,0.02,['5886-27508-0087']
he_ain't_buzzard,1,0.01,0.17,1,0.02,['6747-76101-0033']
he_ain't_big,1,0.01,0.17,1,0.02,['7640-104647-0021']
he_ain't_afraid,1,0.01,0.17,1,0.02,['107-22887-0031']
fighting_ain't_thing,1,0.01,0.17,1,0.02,['7704-106965-0028']
grandpa_ain't_lose,1,0.01,0.17,1,0.02,['2085-147970-0017']
gordons_ain't_sociable,1,0.01,0.17,1,0.02,['1061-152224-0014']
gordons_ain't_like,1,0.01,0.17,1,0.02,['1061-152224-0026']
girls_ain't_good,1,0.01,0.17,1,0.02,['5949-65530-0020']
gents_ain't_possessed,1,0.01,0.17,1,0.02,['8531-282933-0061']
gee_ain't_constituentboundary,1,0.01,0.17,1,0.02,['7597-101859-0043']
foreigners_ain't_same,1,0.01,0.17,1,0.02,['2085-147971-0015']
fool_ain't_got,1,0.01,0.17,1,0.02,['4957-30119-0010']
folks_ain't_like,1,0.01,0.17,1,0.02,['829-123191-0024']
i_ain't_interrupt,1,0.01,0.17,1,0.02,['2445-148556-0057']
i_ain't_it,1,0.01,0.17,1,0.02,['1998-29454-0021']
i_ain't_jamie,1,0.01,0.17,1,0.02,['188-141613-0034']
it_ain't_sunday,1,0.01,0.17,1,0.02,['2573-178450-0024']
it_ain't_yours,1,0.01,0.17,1,0.02,['6687-119386-0044']
it_ain't_worth,1,0.01,0.17,1,0.02,['8791-291101-0046']
it_ain't_work,1,0.01,0.17,1,0.02,['1469-163403-0004']
it_ain't_way,1,0.01,0.17,1,0.02,['7898-109860-0029']
it_ain't_water,1,0.01,0.17,1,0.02,['7832-114468-0043']
it_ain't_undine,1,0.01,0.17,1,0.02,['2445-148556-0035']
it_ain't_thing,1,0.01,0.17,1,0.02,['5949-65530-0019']
it_ain't_thicker,1,0.01,0.17,1,0.02,['1961-149739-0004']
