,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
constituentboundary_ain't_do,2,0.009,0.19,2,0.02,"['fe0310865', 'fe0311336']"
you_ain't_seen,2,0.009,0.19,2,0.02,"['fe0310578', 'fe0311264']"
i_ain't_bother,2,0.009,0.19,2,0.02,"['fe0303183', 'fe0307993']"
he_ain't_have,2,0.009,0.19,2,0.02,"['fe0308483', 'fe0308857']"
he_ain't_got,2,0.009,0.19,2,0.02,"['fe0302048', 'fe0307301']"
you_ain't_missing,2,0.009,0.19,2,0.02,"['fe0302134', 'fe0309333']"
you_ain't_in,2,0.009,0.19,2,0.02,"['fe0305358', 'fe0305572']"
constituentboundary_ain't_much,2,0.009,0.19,2,0.02,"['fe0302959', 'fe0310311']"
girl_ain't_able,2,0.009,0.19,1,0.01,['fe0305798']
we_ain't_get,2,0.009,0.19,2,0.02,"['fe0303552', 'fe0305374']"
friends_ain't_birds,2,0.009,0.19,1,0.01,['fe0309595']
friend_ain't_nothing,2,0.009,0.19,1,0.01,['fe0309462']
you_ain't_been,2,0.009,0.19,2,0.02,"['fe0309736', 'fe0310898']"
we_ain't_have,2,0.009,0.19,2,0.02,"['fe0304685', 'fe0309400']"
i_ain't_allowed,2,0.009,0.19,1,0.01,['fe0308343']
we_ain't_constituentboundary,2,0.009,0.19,2,0.02,"['fe0305678', 'fe0307268']"
i_ain't_far,2,0.009,0.19,2,0.02,"['fe0308306', 'fe0308483']"
you_ain't_do,2,0.009,0.19,2,0.02,"['fe0307902', 'fe0310578']"
you_ain't_going,2,0.009,0.19,2,0.02,"['fe0310285', 'fe0311095']"
that_ain't_much,1,0.004,0.09,1,0.01,['fe0302089']
you_ain't_flying,1,0.004,0.09,1,0.01,['fe0305662']
that_ain't_shame,1,0.004,0.09,1,0.01,['fe0310617']
you_ain't_never,1,0.004,0.09,1,0.01,['fe0309736']
there_ain't_but,1,0.004,0.09,1,0.01,['fe0300966']
you_ain't_fucking,1,0.004,0.09,1,0.01,['fe0311491']
you_ain't_from,1,0.004,0.09,1,0.01,['fe0310539']
that_ain't_ridiculous,1,0.004,0.09,1,0.01,['fe0307509']
that_ain't_me,1,0.004,0.09,1,0.01,['fe0310065']
you_ain't_nobody,1,0.004,0.09,1,0.01,['fe0305513']
you_ain't_pay,1,0.004,0.09,1,0.01,['fe0310303']
that_ain't_real,1,0.004,0.09,1,0.01,['fe0311690']
that_ain't_shit,1,0.004,0.09,1,0.01,['fe0309869']
that_ain't_problem,1,0.004,0.09,1,0.01,['fe0310784']
you_ain't_playing,1,0.004,0.09,1,0.01,['fe0311182']
that_ain't_messed,1,0.004,0.09,1,0.01,['fe0301320']
you_ain't_power,1,0.004,0.09,1,0.01,['fe0308451']
you_ain't_person,1,0.004,0.09,1,0.01,['fe0311288']
there_ain't_allergy,1,0.004,0.09,1,0.01,['fe0309174']
you_ain't_funny,1,0.004,0.09,1,0.01,['fe0303852']
you_ain't_hurting,1,0.004,0.09,1,0.01,['fe0305513']
that_ain't_worth,1,0.004,0.09,1,0.01,['fe0307642']
you_ain't_happy,1,0.004,0.09,1,0.01,['fe0305398']
you_ain't_go,1,0.004,0.09,1,0.01,['fe0304579']
you_ain't_giving,1,0.004,0.09,1,0.01,['fe0311003']
that_ain't_world,1,0.004,0.09,1,0.01,['fe0309373']
that_ain't_working,1,0.004,0.09,1,0.01,['fe0307752']
there_ain't_anything,1,0.004,0.09,1,0.01,['fe0301487']
there_ain't_bathroom,1,0.004,0.09,1,0.01,['fe0307505']
you_ain't_give,1,0.004,0.09,1,0.01,['fe0302655']
that_ain't_steal,1,0.004,0.09,1,0.01,['fe0303337']
you_ain't_joking,1,0.004,0.09,1,0.01,['fe0310428']
that_ain't_lot,1,0.004,0.09,1,0.01,['fe0310549']
you_ain't_kidding,1,0.004,0.09,1,0.01,['fe0303333']
you_ain't_like,1,0.004,0.09,1,0.01,['fe0304998']
that_ain't_thing,1,0.004,0.09,1,0.01,['fe0311213']
that_ain't_terrible,1,0.004,0.09,1,0.01,['fe0307183']
that_ain't_team,1,0.004,0.09,1,0.01,['fe0305051']
that_ain't_stop,1,0.004,0.09,1,0.01,['fe0300994']
you_ain't_made,1,0.004,0.09,1,0.01,['fe0311177']
time_ain't_over,1,0.004,0.09,1,0.01,['fe0304538']
that_ain't_los angeles acres,1,0.004,0.09,1,0.01,['fe0304708']
something_ain't_it,1,0.004,0.09,1,0.01,['fe0304440']
you_ain't_trust,1,0.004,0.09,1,0.01,['fe0301112']
that_ain't_amazing,1,0.004,0.09,1,0.01,['fe0306203']
that_ain't_above,1,0.004,0.09,1,0.01,['fe0303573']
texas_ain't_bad,1,0.004,0.09,1,0.01,['fe0305222']
texas_ain't_alabama,1,0.004,0.09,1,0.01,['fe0300294']
team_ain't_constituentboundary,1,0.004,0.09,1,0.01,['fe0304159']
you_ain't_trying,1,0.004,0.09,1,0.01,['fe0305844']
stuff_ain't_good,1,0.004,0.09,1,0.01,['fe0307252']
stuff_ain't_constituentboundary,1,0.004,0.09,1,0.01,['fe0302019']
you_ain't_wife,1,0.004,0.09,1,0.01,['fe0309656']
you_ain't_working,1,0.004,0.09,1,0.01,['fe0305377']
something_ain't_going,1,0.004,0.09,1,0.01,['fe0308502']
that_ain't_like,1,0.004,0.09,1,0.01,['fe0305395']
somebody_ain't_like,1,0.004,0.09,1,0.01,['fe0305385']
some_ain't_constituentboundary,1,0.004,0.09,1,0.01,['fe0308610']
some_ain't_bad,1,0.004,0.09,1,0.01,['fe0311481']
smoking_ain't_joke,1,0.004,0.09,1,0.01,['fe0306302']
situation_ain't_what,1,0.004,0.09,1,0.01,['fe0306501']
shit_ain't_real,1,0.004,0.09,1,0.01,['fe0309223']
she_ain't_scheduled,1,0.004,0.09,1,0.01,['fe0302344']
she_ain't_nice,1,0.004,0.09,1,0.01,['fe0306475']
she_ain't_new,1,0.004,0.09,1,0.01,['fe0303545']
she_ain't_have,1,0.004,0.09,1,0.01,['fe0307894']
she_ain't_had,1,0.004,0.09,1,0.01,['fe0303020']
you_ain't_touching,1,0.004,0.09,1,0.01,['fe0304910']
that_ain't_changed,1,0.004,0.09,1,0.01,['fe0303013']
you_ain't_think,1,0.004,0.09,1,0.01,['fe0304716']
you_ain't_telling,1,0.004,0.09,1,0.01,['fe0302350']
that_ain't_it,1,0.004,0.09,1,0.01,['fe0309411']
there_ain't_escaping,1,0.004,0.09,1,0.01,['fe0310617']
that_ain't_ironic,1,0.004,0.09,1,0.01,['fe0301179']
that_ain't_invasion,1,0.004,0.09,1,0.01,['fe0304877']
that_ain't_idea,1,0.004,0.09,1,0.01,['fe0310898']
that_ain't_help,1,0.004,0.09,1,0.01,['fe0301720']
you_ain't_right,1,0.004,0.09,1,0.01,['fe0300750']
that_ain't_happened,1,0.004,0.09,1,0.01,['fe0308329']
you_ain't_run,1,0.004,0.09,1,0.01,['fe0311188']
you_ain't_say,1,0.004,0.09,1,0.01,['fe0311031']
that_ain't_got,1,0.004,0.09,1,0.01,['fe0301112']
that_ain't_going,1,0.004,0.09,1,0.01,['fe0310724']
you_ain't_stay,1,0.004,0.09,1,0.01,['fe0308886']
that_ain't_fun,1,0.004,0.09,1,0.01,['fe0308614']
that_ain't_friendly,1,0.004,0.09,1,0.01,['fe0305377']
that_ain't_fix,1,0.004,0.09,1,0.01,['fe0304489']
that_ain't_far,1,0.004,0.09,1,0.01,['fe0311288']
that_ain't_fair,1,0.004,0.09,1,0.01,['fe0302812']
that_ain't_even,1,0.004,0.09,1,0.01,['fe0304346']
that_ain't_enough,1,0.004,0.09,1,0.01,['fe0307549']
that_ain't_discrimination,1,0.004,0.09,1,0.01,['fe0302188']
that_ain't_deal,1,0.004,0.09,1,0.01,['fe0310893']
that_ain't_cute,1,0.004,0.09,1,0.01,['fe0311479']
there_ain't_cure,1,0.004,0.09,1,0.01,['fe0307943']
there_ain't_love,1,0.004,0.09,1,0.01,['fe0309275']
there_ain't_homes,1,0.004,0.09,1,0.01,['fe0310237']
they_ain't_motivated,1,0.004,0.09,1,0.01,['fe0301588']
they_ain't_slipping,1,0.004,0.09,1,0.01,['fe0308408']
they_ain't_serving,1,0.004,0.09,1,0.01,['fe0305657']
they_ain't_seeing,1,0.004,0.09,1,0.01,['fe0308935']
we_ain't_having,1,0.004,0.09,1,0.01,['fe0304525']
they_ain't_say,1,0.004,0.09,1,0.01,['fe0311031']
they_ain't_put,1,0.004,0.09,1,0.01,['fe0311202']
they_ain't_petting,1,0.004,0.09,1,0.01,['fe0306857']
they_ain't_pay,1,0.004,0.09,1,0.01,['fe0303575']
they_ain't_nothing,1,0.004,0.09,1,0.01,['fe0304896']
they_ain't_nobody,1,0.004,0.09,1,0.01,['fe0302562']
we_ain't_know,1,0.004,0.09,1,0.01,['fe0311119']
we_ain't_go,1,0.004,0.09,1,0.01,['fe0304894']
we_ain't_looking,1,0.004,0.09,1,0.01,['fe0300395']
we_ain't_losing,1,0.004,0.09,1,0.01,['fe0302019']
they_ain't_miss,1,0.004,0.09,1,0.01,['fe0307810']
they_ain't_making,1,0.004,0.09,1,0.01,['fe0303605']
we_ain't_made,1,0.004,0.09,1,0.01,['fe0303337']
she_ain't_found,1,0.004,0.09,1,0.01,['fe0305348']
they_ain't_make,1,0.004,0.09,1,0.01,['fe0307742']
they_ain't_live,1,0.004,0.09,1,0.01,['fe0300644']
we_ain't_missing,1,0.004,0.09,1,0.01,['fe0307988']
they_ain't_like,1,0.004,0.09,1,0.01,['fe0310303']
they_ain't_take,1,0.004,0.09,1,0.01,['fe0308864']
they_ain't_tell,1,0.004,0.09,1,0.01,['fe0306855']
we_ain't_pay,1,0.004,0.09,1,0.01,['fe0303648']
this_ain't_neat,1,0.004,0.09,1,0.01,['fe0306302']
thousand_ain't_nothing,1,0.004,0.09,1,0.01,['fe0302019']
united states_ain't_that,1,0.004,0.09,1,0.01,['fe0311479']
those_ain't_kids,1,0.004,0.09,1,0.01,['fe0308864']
us_ain't_bad,1,0.004,0.09,1,0.01,['fe0308586']
those_ain't_cheap,1,0.004,0.09,1,0.01,['fe0304346']
those_ain't_celery,1,0.004,0.09,1,0.01,['fe0307266']
this_ain't_work,1,0.004,0.09,1,0.01,['fe0307810']
way_ain't_constituentboundary,1,0.004,0.09,1,0.01,['fe0307774']
this_ain't_well,1,0.004,0.09,1,0.01,['fe0304825']
this_ain't_school,1,0.004,0.09,1,0.01,['fe0308189']
this_ain't_idea,1,0.004,0.09,1,0.01,['fe0304159']
they_ain't_telling,1,0.004,0.09,1,0.01,['fe0309412']
this_ain't_helping,1,0.004,0.09,1,0.01,['fe0304766']
we_ain't_crazy,1,0.004,0.09,1,0.01,['fe0305385']
we_ain't_doing,1,0.004,0.09,1,0.01,['fe0308816']
we_ain't_done,1,0.004,0.09,1,0.01,['fe0305460']
we_ain't_even,1,0.004,0.09,1,0.01,['fe0310329']
this_ain't_coming,1,0.004,0.09,1,0.01,['fe0302137']
thing_ain't_played,1,0.004,0.09,1,0.01,['fe0304523']
they_ain't_working,1,0.004,0.09,1,0.01,['fe0305377']
they_ain't_way,1,0.004,0.09,1,0.01,['fe0305092']
they_ain't_thinking,1,0.004,0.09,1,0.01,['fe0306857']
they_ain't_jealous,1,0.004,0.09,1,0.01,['fe0305358']
they_ain't_in,1,0.004,0.09,1,0.01,['fe0300720']
you_ain't_fan,1,0.004,0.09,1,0.01,['fe0311584']
you_ain't_catch,1,0.004,0.09,1,0.01,['fe0304705']
world_ain't_good,1,0.004,0.09,1,0.01,['fe0303947']
you all_ain't_got,1,0.004,0.09,1,0.01,['fe0310266']
there_ain't_stop,1,0.004,0.09,1,0.01,['fe0310562']
there_ain't_reassurance,1,0.004,0.09,1,0.01,['fe0304651']
there_ain't_places,1,0.004,0.09,1,0.01,['fe0306414']
there_ain't_people,1,0.004,0.09,1,0.01,['fe0301328']
you all_ain't_ride,1,0.004,0.09,1,0.01,['fe0300966']
you all_ain't_take,1,0.004,0.09,1,0.01,['fe0300966']
you_ain't_american,1,0.004,0.09,1,0.01,['fe0305292']
you_ain't_beat,1,0.004,0.09,1,0.01,['fe0309415']
there_ain't_more,1,0.004,0.09,1,0.01,['fe0305509']
wind_ain't_blowing,1,0.004,0.09,1,0.01,['fe0305222']
there_ain't_money,1,0.004,0.09,1,0.01,['fe0311582']
there_ain't_mexicans,1,0.004,0.09,1,0.01,['fe0302740']
you_ain't_change,1,0.004,0.09,1,0.01,['fe0308975']
you_ain't_connected,1,0.004,0.09,1,0.01,['fe0306794']
you_ain't_cool,1,0.004,0.09,1,0.01,['fe0309042']
tv_ain't_hobby,1,0.004,0.09,1,0.01,['fe0311013']
you_ain't_dare,1,0.004,0.09,1,0.01,['fe0310249']
you_ain't_deal,1,0.004,0.09,1,0.01,['fe0305255']
there_ain't_line,1,0.004,0.09,1,0.01,['fe0305385']
you_ain't_face,1,0.004,0.09,1,0.01,['fe0302342']
there_ain't_that,1,0.004,0.09,1,0.01,['fe0301460']
who_ain't_making,1,0.004,0.09,1,0.01,['fe0308472']
