,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounDemonstrative_ain't_PronounIndefinite,8,0.035,0.76,8,0.07,"['fe0302089', 'fe0302466', 'fe0304773', 'fe0305621', 'fe0306960', 'fe0308518', 'fe0310303', 'fe0310342']"
ConstituentBoundary_ain't_PronounIndefinite,8,0.035,0.76,8,0.07,"['fe0302344', 'fe0302959', 'fe0304950', 'fe0307072', 'fe0307517', 'fe0309652', 'fe0309896', 'fe0310311']"
ConstituentBoundary_ain't_Adjective,8,0.035,0.76,8,0.07,"['fe0302932', 'fe0303337', 'fe0304733', 'fe0305270', 'fe0305302', 'fe0305308', 'fe0307066', 'fe0310495']"
Noun_ain't_PronounIndefinite,7,0.031,0.66,6,0.05,"['fe0302019', 'fe0302055', 'fe0302837', 'fe0304733', 'fe0309462', 'fe0310749']"
ConstituentBoundary_ain't_ConstituentBoundary,7,0.031,0.66,6,0.05,"['fe0305674', 'fe0306781', 'fe0308816', 'fe0310265', 'fe0310895', 'fe0311119']"
Noun_ain't_Adverb,6,0.027,0.57,6,0.05,"['fe0304346', 'fe0304538', 'fe0304905', 'fe0308491', 'fe0309811', 'fe0310784']"
PronounDemonstrative_ain't_ConstituentBoundary,6,0.027,0.57,6,0.05,"['fe0302360', 'fe0304739', 'fe0305377', 'fe0305678', 'fe0310489', 'fe0311213']"
PronounNonReferential_ain't_ConstituentBoundary,6,0.027,0.57,5,0.04,"['fe0300966', 'fe0305567', 'fe0307642', 'fe0310774', 'fe0311426']"
PronounIndefinite_ain't_VerbBase,6,0.027,0.57,6,0.05,"['fe0301105', 'fe0301424', 'fe0301457', 'fe0305385', 'fe0307072', 'fe0308408']"
Noun_ain't_VerbPastParticiple,5,0.022,0.47,5,0.04,"['fe0303852', 'fe0304523', 'fe0305572', 'fe0306838', 'fe0310457']"
Noun_ain't_ConstituentBoundary,5,0.022,0.47,5,0.04,"['fe0302019', 'fe0304159', 'fe0307774', 'fe0310443', 'fe0311055']"
ConstituentBoundary_ain't_VerbPastParticiple,4,0.018,0.38,3,0.03,"['fe0307159', 'fe0310020', 'fe0310497']"
PronounDemonstrative_ain't_VerbPastParticiple,4,0.018,0.38,4,0.03,"['fe0301112', 'fe0301320', 'fe0303013', 'fe0308329']"
PronounRelative_ain't_Adjective,3,0.013,0.28,3,0.03,"['fe0300560', 'fe0307572', 'fe0308309']"
PronounIndefinite_ain't_VerbPastParticiple,3,0.013,0.28,3,0.03,"['fe0306500', 'fe0306789', 'fe0311360']"
PronounPersonal_ain't_PronounRelative,3,0.013,0.28,2,0.02,"['fe0310329', 'fe0310895']"
PronounIndefinite_ain't_ConstituentBoundary,2,0.009,0.19,2,0.02,"['fe0308610', 'fe0310027']"
PronounIndefinite_ain't_VerbPresentParticiple,2,0.009,0.19,2,0.02,"['fe0308502', 'fe0310344']"
PronounDemonstrative_ain't_PronounPersonal,2,0.009,0.19,2,0.02,"['fe0309411', 'fe0310065']"
ConstituentBoundary_ain't_Preposition,2,0.009,0.19,1,0.01,['fe0310895']
ConstituentBoundary_ain't_VerbPresentParticiple,2,0.009,0.19,2,0.02,"['fe0305674', 'fe0310578']"
Noun_ain't_Preposition,2,0.009,0.19,2,0.02,"['fe0302453', 'fe0303482']"
PronounDemonstrative_ain't_Preposition,2,0.009,0.19,2,0.02,"['fe0303573', 'fe0305395']"
PronounRelative_ain't_VerbPresentParticiple,2,0.009,0.19,2,0.02,"['fe0302598', 'fe0308472']"
ConstituentBoundary_ain't_Adverb,1,0.004,0.09,1,0.01,['fe0310467']
PronounIndefinite_ain't_Preposition,1,0.004,0.09,1,0.01,['fe0302184']
PronounIndefinite_ain't_PronounIndefinite,1,0.004,0.09,1,0.01,['fe0304887']
PronounPersonal_ain't_PronounDemonstrative,1,0.004,0.09,1,0.01,['fe0310640']
PronounNonReferential_ain't_PronounDemonstrative,1,0.004,0.09,1,0.01,['fe0301460']
Noun_ain't_PronounRelative,1,0.004,0.09,1,0.01,['fe0306501']
Noun_ain't_PronounDemonstrative,1,0.004,0.09,1,0.01,['fe0311479']
PronounNonReferential_ain't_VerbBase,1,0.004,0.09,1,0.01,['fe0310562']
PronounNonReferential_ain't_PronounPersonal,1,0.004,0.09,1,0.01,['fe0307642']
PronounIndefinite_ain't_PronounPersonal,1,0.004,0.09,1,0.01,['fe0304440']
PronounRelative_ain't_Adverb,1,0.004,0.09,1,0.01,['fe0305600']
PronounRelative_ain't_Noun,1,0.004,0.09,1,0.01,['fe0311584']
PronounRelative_ain't_PronounIndefinite,1,0.004,0.09,1,0.01,['fe0300787']
PronounRelative_ain't_VerbBase,1,0.004,0.09,1,0.01,['fe0303337']
PronounRelative_ain't_VerbPastParticiple,1,0.004,0.09,1,0.01,['fe0304899']
PronounDemonstrative_ain't_Adverb,1,0.004,0.09,1,0.01,['fe0311288']
