,SubjectRawCount,SubjectNormalizedCount,SubjectPercentTotal,SubjectFileCount,SubjectFilePercentTotal,SubjectFileList
falling out,1,0.072,0.23,1,0.43,['DCB_se1_ag2_f_02_1']
father,1,0.072,0.23,1,0.43,['DCB_se2_ag4_m_01_1']
folks,1,0.072,0.23,1,0.43,['ROC_se0_ag2_f_04_1']
gangs,1,0.072,0.23,1,0.43,['DCA_se1_ag1_m_04_1']
girl,1,0.072,0.23,1,0.43,['DCA_se1_ag1_f_02_1']
girls,1,0.072,0.23,1,0.43,['DCB_se1_ag1_f_03_1']
grandma,1,0.072,0.23,1,0.43,['ATL_se0_ag1_f_02_1']
guy,1,0.072,0.23,1,0.43,['DCA_se2_ag1_m_03_1']
him,1,0.072,0.23,1,0.43,['DCB_se2_ag3_m_03_1']
house,1,0.072,0.23,1,0.43,['DCB_se1_ag3_f_01_1']
jont,1,0.072,0.23,1,0.43,['DCB_se2_ag3_m_03_1']
lebron,1,0.072,0.23,1,0.43,['ATL_se0_ag1_m_03_1']
mamas,1,0.072,0.23,1,0.43,['ATL_se0_ag1_f_01_1']
man,1,0.072,0.23,1,0.43,['PRV_se0_ag2_f_03_1']
anybody,1,0.072,0.23,1,0.43,['DCA_se3_ag1_m_02_1']
mom,1,0.072,0.23,1,0.43,['PRV_se0_ag1_f_02_1']
you and denise,1,0.072,0.23,1,0.43,['DCB_se1_ag2_f_02_1']
