,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounPersonal_ain't_PronounIndefinite,13,0.134,2.25,13,0.22,"['1121-176698-0016', '1944-159230-0018', '3994-156757-0039', '4226-185488-0022', '4262-14486-0037', '483-125116-0046', '5246-30101-0025', '6378-61780-0008', '6733-97084-0006', '7220-77911-0033', '7939-120318-0009', '8825-292253-0039', '915-163372-0034']"
Noun_ain't_VerbPastParticiple,13,0.134,2.25,13,0.22,"['1469-163403-0011', '2532-163402-0016', '2532-163402-0028', '288-131218-0031', '3744-177438-0026', '483-125116-0036', '4957-30119-0010', '5910-53048-0065', '6051-61724-0020', '6482-98857-0032', '6746-72302-0085', '8195-117382-0090', '8531-282933-0061']"
PronounDemonstrative_ain't_Adjective,13,0.134,2.25,13,0.22,"['1867-154071-0008', '1998-29455-0025', '207-131203-0018', '3783-176659-0044', '3783-176659-0045', '4511-45512-0004', '4680-16026-0035', '5949-65530-0018', '6284-63091-0034', '6519-231834-0032', '6895-92806-0029', '7198-80654-0012', '8536-244441-0081']"
PronounPersonal_ain't_Preposition,12,0.124,2.07,11,0.19,"['1121-176698-0015', '2003-143254-0029', '2769-176256-0036', '4423-29084-0017', '5445-21282-0053', '6104-58845-0011', '64-76973-0023', '6519-231834-0033', '753-32846-0026', '8415-283469-0090', '915-163369-0043']"
PronounDemonstrative_ain't_Noun,10,0.103,1.73,10,0.17,"['1469-163403-0003', '1944-159228-0010', '2085-147971-0007', '2946-163375-0037', '3807-4923-0032', '4267-78186-0014', '4570-56594-0002', '5361-27491-0065', '6913-80509-0064', '915-163369-0035']"
PronounDemonstrative_ain't_PronounIndefinite,9,0.093,1.55,9,0.15,"['1750-135624-0038', '1867-154071-0034', '2532-163402-0028', '3005-163399-0025', '6488-66120-0015', '6695-71407-0039', '698-123197-0033', '7597-101859-0013', '8536-244441-0030']"
PronounPersonal_ain't_Adverb,8,0.082,1.38,8,0.14,"['1867-154071-0007', '2341-163408-0058', '2769-176256-0031', '4423-29083-0023', '4748-25901-0037', '5172-29468-0004', '7188-107627-0040', '8684-293663-0075']"
Noun_ain't_VerbBase,8,0.082,1.38,8,0.14,"['1445-139397-0013', '1901-48014-0006', '1944-159230-0017', '2085-147970-0017', '5139-30105-0038', '5909-111961-0032', '5910-53048-0004', '781-127518-0009']"
PronounPersonal_ain't_PronounPersonal,7,0.072,1.21,6,0.1,"['1998-29454-0021', '3005-163391-0009', '6687-119386-0044', '7683-103530-0011', '8498-287359-0030', '8531-282933-0056']"
Noun_ain't_Preposition,6,0.062,1.04,6,0.1,"['1061-152224-0026', '1265-135635-0023', '1746-143015-0067', '2532-163402-0046', '5304-55856-0011', '829-123191-0024']"
Noun_ain't_VerbPresentParticiple,4,0.041,0.69,4,0.07,"['188-136483-0019', '3490-177641-0009', '5660-101854-0006', '5837-39905-0058']"
Noun_ain't_PronounRelative,4,0.041,0.69,4,0.07,"['210-129396-0113', '2573-178450-0017', '4017-231846-0034', '6902-89167-0057']"
PronounNonReferential_ain't_ConstituentBoundary,4,0.041,0.69,4,0.07,"['1100-135264-0021', '1867-154071-0032', '6687-119383-0015', '7507-100660-0020']"
Noun_ain't_PronounIndefinite,3,0.031,0.52,3,0.05,"['226-122538-0014', '2769-176256-0031', '7898-109860-0023']"
ConstituentBoundary_ain't_Noun,3,0.031,0.52,3,0.05,"['3783-176659-0059', '6035-74040-0034', '7597-101859-0039']"
ConstituentBoundary_ain't_VerbPastParticiple,3,0.031,0.52,3,0.05,"['3783-176659-0026', '4511-45512-0004', '7226-86964-0052']"
Noun_ain't_Adverb,3,0.031,0.52,2,0.03,"['2769-176256-0031', '7354-87667-0100']"
PronounPersonal_ain't_PronounRelative,3,0.031,0.52,3,0.05,"['1985-144468-0090', '5506-69895-0005', '5731-50777-0031']"
Noun_ain't_ConstituentBoundary,3,0.031,0.52,3,0.05,"['107-22887-0031', '7597-101859-0012', '7597-101859-0043']"
PronounNonReferential_ain't_Adjective,3,0.031,0.52,3,0.05,"['3738-176680-0046', '3982-178459-0002', '7198-80652-0023']"
ConstituentBoundary_ain't_ConstituentBoundary,3,0.031,0.52,3,0.05,"['6446-78193-0015', '7584-101856-0024', '7597-101859-0018']"
PronounDemonstrative_ain't_Preposition,3,0.031,0.52,3,0.05,"['534-127538-0009', '5918-46890-0081', '6288-63101-0040']"
PronounDemonstrative_ain't_ConstituentBoundary,3,0.031,0.52,3,0.05,"['1772-135621-0068', '283-130638-0046', '3691-178109-0025']"
PronounIndefinite_ain't_Noun,2,0.021,0.35,2,0.03,"['4321-15217-0004', '6276-62021-0031']"
PronounIndefinite_ain't_ConstituentBoundary,2,0.021,0.35,2,0.03,"['2769-176256-0031', '6248-302581-0005']"
PronounIndefinite_ain't_Adjective,2,0.021,0.35,2,0.03,"['1845-145083-0026', '1998-29454-0034']"
PronounNonReferential_ain't_Preposition,2,0.021,0.35,1,0.02,['978-125137-0054']
PronounNonReferential_ain't_PronounRelative,2,0.021,0.35,2,0.03,"['6284-63091-0034', '978-125137-0054']"
PronounDemonstrative_ain't_VerbPastParticiple,2,0.021,0.35,2,0.03,"['2532-163402-0029', '3045-163406-0031']"
PronounDemonstrative_ain't_PronounRelative,2,0.021,0.35,2,0.03,"['1998-29454-0017', '8536-244442-0007']"
PronounDemonstrative_ain't_Adverb,2,0.021,0.35,2,0.03,"['5246-30101-0031', '8415-283469-0004']"
PronounPersonal_ain't_PronounDemonstrative,2,0.021,0.35,2,0.03,"['501-125128-0011', '876-126411-0101']"
ConstituentBoundary_ain't_Adjective,2,0.021,0.35,2,0.03,"['1746-143015-0033', '1998-29454-0016']"
PronounRelative_ain't_Noun,1,0.01,0.17,1,0.02,['829-123190-0028']
PronounDemonstrative_ain't_VerbPresentParticiple,1,0.01,0.17,1,0.02,['188-136483-0023']
PronounNonReferential_ain't_VerbPresentParticiple,1,0.01,0.17,1,0.02,['288-131220-0011']
PronounIndefinite_ain't_VerbPresentParticiple,1,0.01,0.17,1,0.02,['7597-101859-0031']
Noun_ain't_PronounPersonal,1,0.01,0.17,1,0.02,['8404-282926-0016']
ConstituentBoundary_ain't_VerbBase,1,0.01,0.17,1,0.02,['4340-15220-0015']
ConstituentBoundary_ain't_Preposition,1,0.01,0.17,1,0.02,['6288-63101-0019']
PronounRelative_ain't_VerbPastParticiple,1,0.01,0.17,1,0.02,['2309-167347-0015']
