,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounDemonstrative_ain't_Noun,17,1.232,1.57,13,5.63,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_f_02_2', 'PRV_se0_ag3_m_01_1', 'VLD_se0_ag3_m_03_1']"
Noun_ain't_VerbBase,16,1.159,1.47,12,5.19,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se2_ag2_m_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'LES_se0_ag4_f_01_2']"
PronounIndefinite_ain't_VerbBase,15,1.087,1.38,14,6.06,"['ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_m_01_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1']"
PronounPersonal_ain't_Adverb,14,1.014,1.29,13,5.63,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se2_ag1_f_05_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_f_01_2', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
ConstituentBoundary_ain't_ConstituentBoundary,11,0.797,1.01,6,2.6,"['ATL_se0_ag1_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
PronounIndefinite_ain't_VerbPastParticiple,10,0.725,0.92,9,3.9,"['DCA_se3_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_m_02_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_02_1', 'PRV_se0_ag3_f_03_1', 'VLD_se0_ag3_m_03_1']"
ConstituentBoundary_ain't_VerbBase,10,0.725,0.92,8,3.46,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_04_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_03_1']"
ConstituentBoundary_ain't_VerbPastParticiple,9,0.652,0.83,9,3.9,"['ATL_se0_ag1_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_03_1']"
Noun_ain't_VerbPresentParticiple,8,0.58,0.74,7,3.03,"['ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_m_01_2']"
Noun_ain't_Noun,8,0.58,0.74,8,3.46,"['ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCB_se1_ag2_f_02_1', 'DCB_se2_ag2_f_01_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag3_m_01_2', 'ROC_se0_ag1_m_02_1']"
PronounIndefinite_ain't_VerbPresentParticiple,8,0.58,0.74,7,3.03,"['ATL_se0_ag1_m_04_2', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_2']"
Noun_ain't_Adjective,8,0.58,0.74,7,3.03,"['ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se3_ag1_f_03_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_f_03_1', 'ROC_se0_ag2_f_02_1']"
Noun_ain't_ConstituentBoundary,7,0.507,0.64,5,2.16,"['ATL_se0_ag2_m_03_1', 'DCA_se3_ag1_f_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag3_m_01_1']"
Noun_ain't_VerbPastParticiple,6,0.435,0.55,5,2.16,"['DCA_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_f_03_1']"
PronounDemonstrative_ain't_PronounIndefinite,6,0.435,0.55,4,1.73,"['DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1', 'VLD_se0_ag4_m_02_1']"
PronounDemonstrative_ain't_PronounPersonal,5,0.362,0.46,5,2.16,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag1_m_01_1', 'DCB_se2_ag4_m_01_1']"
PronounIndefinite_ain't_Adverb,5,0.362,0.46,4,1.73,"['DCA_se3_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1']"
PronounNonReferential_ain't_Noun,4,0.29,0.37,4,1.73,"['DCB_se1_ag3_m_02_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'VLD_se0_ag2_m_01_1']"
PronounPersonal_ain't_PronounPersonal,4,0.29,0.37,4,1.73,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'PRV_se0_ag1_f_02_1']"
PronounNonReferential_ain't_PronounIndefinite,4,0.29,0.37,4,1.73,"['DCB_se1_ag2_m_02_1', 'DCB_se1_ag3_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_m_03_1']"
Noun_ain't_Preposition,4,0.29,0.37,4,1.73,"['DCB_se1_ag1_f_03_1', 'DCB_se1_ag3_m_03_1', 'LES_se0_ag4_m_02_1', 'VLD_se0_ag4_f_02_1']"
Noun_ain't_Adverb,4,0.29,0.37,4,1.73,"['DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag3_m_01_1']"
PronounNonReferential_ain't_ConstituentBoundary,3,0.217,0.28,3,1.3,"['DCA_se3_ag1_m_05_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_f_03_1']"
ConstituentBoundary_ain't_Adjective,3,0.217,0.28,3,1.3,"['DCA_se1_ag1_m_07_1', 'DCB_se2_ag3_m_01_1', 'PRV_se0_ag3_m_01_2']"
PronounRelative_ain't_VerbPastParticiple,3,0.217,0.28,3,1.3,"['DCB_se1_ag2_m_03_1', 'PRV_se0_ag2_f_03_1', 'ROC_se0_ag2_f_02_1']"
PronounDemonstrative_ain't_ConstituentBoundary,3,0.217,0.28,3,1.3,"['DCA_se2_ag1_f_02_1', 'DCB_se1_ag2_f_02_1', 'DCB_se2_ag4_m_01_1']"
Noun_ain't_PronounIndefinite,3,0.217,0.28,3,1.3,"['DCA_se1_ag1_m_07_2', 'DCB_se2_ag3_m_01_1', 'PRV_se0_ag1_m_02_1']"
PronounDemonstrative_ain't_Preposition,3,0.217,0.28,3,1.3,"['ATL_se0_ag2_m_03_1', 'PRV_se0_ag2_f_02_1', 'VLD_se0_ag3_m_03_1']"
PronounIndefinite_ain't_Preposition,3,0.217,0.28,3,1.3,"['ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag3_m_03_1']"
ConstituentBoundary_ain't_VerbPresentParticiple,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_01_1', 'VLD_se0_ag4_m_02_1']"
PronounDemonstrative_ain't_VerbBase,2,0.145,0.18,2,0.87,"['PRV_se0_ag3_m_02_2', 'ROC_se0_ag2_f_02_1']"
PronounRelative_ain't_VerbBase,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
PronounRelative_ain't_Preposition,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
PronounRelative_ain't_ConstituentBoundary,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
PronounRelative_ain't_Adjective,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_02_1']
ConstituentBoundary_ain't_Preposition,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
ConstituentBoundary_ain't_PronounPersonal,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
PronounPersonal_ain't_PronounRelative,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
Noun_ain't_PronounDemonstrative,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
PronounIndefinite_ain't_PronounPersonal,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
PronounDemonstrative_ain't_Adjective,1,0.072,0.09,1,0.43,['DCB_se2_ag1_f_01_1']
PronounDemonstrative_ain't_PronounRelative,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_2']
PronounNonReferential_ain't_VerbPresentParticiple,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
PronounNonReferential_ain't_VerbBase,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_01_1']
PronounDemonstrative_ain't_VerbPastParticiple,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
PronounNonReferential_ain't_Preposition,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_02_1']
PronounDemonstrative_ain't_VerbPresentParticiple,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
ConstituentBoundary_ain't_Adverb,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
PronounNonReferential_ain't_Adjective,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
PronounIndefinite_ain't_Adjective,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_02_2']
