,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
lie,19,1.377,1.75,8,3.46,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_02_2']"
get,19,1.377,1.75,13,5.63,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_03_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_03_1']"
seen,18,1.304,1.66,13,5.63,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag2_m_01_1', 'DCA_se1_ag1_m_06_1', 'DCA_se2_ag1_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag4_f_01_2', 'LES_se0_ag2_f_01_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_m_02_2', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_03_1']"
doing,18,1.304,1.66,12,5.19,"['ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_02_1']"
nowhere,17,1.232,1.57,2,0.87,"['DCB_se1_ag2_m_03_2', 'DCB_se2_ag3_m_01_1']"
want,17,1.232,1.57,14,6.06,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag4_m_01_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
go,17,1.232,1.57,14,6.06,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_m_05_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1']"
trying,11,0.797,1.01,9,3.9,"['ATL_se0_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
see,11,0.797,1.01,7,3.03,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_m_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_f_05_1']"
in,9,0.652,0.83,9,3.9,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_m_03_1']"
let,9,0.652,0.83,6,2.6,"['ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_02_1', 'DCB_se3_ag4_m_01_1', 'PRV_se0_ag3_f_03_1']"
about,9,0.652,0.83,9,3.9,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag3_m_01_1', 'PRV_se0_ag1_m_02_1']"
getting,9,0.652,0.83,7,3.03,"['DCA_se1_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_03_2', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag3_m_02_1', 'PRV_se0_ag1_m_02_1']"
talking,9,0.652,0.83,4,1.73,"['ATL_se0_ag2_m_03_1', 'DCA_se1_ag4_m_02_1', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag4_m_01_1']"
way,7,0.507,0.64,6,2.6,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_1']"
different,7,0.507,0.64,2,0.87,"['DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1']"
worry,7,0.507,0.64,6,2.6,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'DCA_se1_ag4_m_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1']"
think,7,0.507,0.64,6,2.6,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_f_03_1', 'ROC_se0_ag2_f_02_1']"
nobody,7,0.507,0.64,7,3.03,"['DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag4_m_01_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_m_03_1']"
tell,6,0.435,0.55,5,2.16,"['ATL_se0_ag2_m_01_1', 'DCA_se1_ag1_f_04_1', 'DCA_se2_ag1_m_01_1', 'DCB_se1_ag1_f_03_1', 'PRV_se0_ag1_f_02_1']"
take,5,0.362,0.46,4,1.73,"['ATL_se0_ag1_m_01_1', 'DCB_se1_ag3_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag3_m_02_1']"
coming,5,0.362,0.46,4,1.73,"['DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_f_05_1', 'PRV_se0_ag3_m_03_1']"
making,5,0.362,0.46,3,1.3,"['ATL_se0_ag1_m_05_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag3_m_01_2']"
been,5,0.362,0.46,5,2.16,"['DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_f_02_2', 'VLD_se0_ag4_m_02_1']"
care,5,0.362,0.46,4,1.73,"['DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_03_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_f_05_1']"
call,5,0.362,0.46,3,1.3,"['ATL_se0_ag1_f_02_1', 'DCB_se1_ag4_m_02_1', 'VLD_se0_ag3_m_03_1']"
much,5,0.362,0.46,5,2.16,"['DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'ROC_se0_ag1_m_02_1']"
on,5,0.362,0.46,5,2.16,"['ATL_se0_ag2_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_f_01_1', 'VLD_se0_ag4_f_02_1']"
give,5,0.362,0.46,5,2.16,"['DCA_se1_ag1_m_01_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag4_m_02_1', 'PRV_se0_ag3_m_03_1']"
me,4,0.29,0.37,4,1.73,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_f_02_1']"
mistaken,4,0.29,0.37,1,0.43,['DCB_se2_ag4_m_01_1']
really,4,0.29,0.37,4,1.73,"['DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
for,4,0.29,0.37,3,1.3,"['DCB_se1_ag3_m_03_1', 'PRV_se0_ag2_f_02_1', 'VLD_se0_ag3_m_03_1']"
worried,4,0.29,0.37,4,1.73,"['ATL_se0_ag1_m_04_1', 'DCB_se1_ag2_m_01_1', 'PRV_se0_ag1_f_02_2', 'PRV_se0_ag3_m_03_1']"
it,4,0.29,0.37,4,1.73,"['DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag1_m_01_1']"
heard,4,0.29,0.37,4,1.73,"['ATL_se0_ag1_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_03_1', 'PRV_se0_ag3_f_03_1']"
right,4,0.29,0.37,4,1.73,"['DCB_se1_ag2_m_02_2', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1']"
ask,4,0.29,0.37,4,1.73,"['ATL_se0_ag1_m_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se2_ag4_m_01_1']"
thinking,4,0.29,0.37,2,0.87,"['DCB_se1_ag2_m_01_1', 'DCB_se2_ag3_m_03_1']"
there,4,0.29,0.37,4,1.73,"['DCA_se2_ag1_f_05_1', 'DCA_se3_ag3_m_03_1', 'DCB_se1_ag2_m_01_1', 'PRV_se0_ag3_m_03_1']"
telling,4,0.29,0.37,3,1.3,"['ATL_se0_ag2_m_03_1', 'DCA_se2_ag1_f_02_1', 'VLD_se0_ag3_m_03_1']"
saying,4,0.29,0.37,4,1.73,"['DCA_se2_ag1_f_02_1', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag4_m_01_1', 'VLD_se0_ag3_m_01_2']"
leave,4,0.29,0.37,3,1.3,"['DCB_se1_ag3_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1']"
taking,4,0.29,0.37,4,1.73,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag2_f_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag4_m_02_1']"
sitting,4,0.29,0.37,1,0.43,['DCB_se2_ag4_m_01_1']
never,3,0.217,0.28,3,1.3,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_f_01_2']"
good,3,0.217,0.28,2,0.87,"['DCB_se1_ag2_m_02_3', 'PRV_se0_ag3_f_03_1']"
giving,3,0.217,0.28,3,1.3,"['ATL_se0_ag1_m_03_1', 'DCB_se1_ag4_m_01_1', 'DCB_se2_ag4_m_01_1']"
fuck,3,0.217,0.28,1,0.43,['ATL_se0_ag2_m_03_1']
into,3,0.217,0.28,3,1.3,"['PRV_se0_ag1_f_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_m_02_1']"
forgot,3,0.217,0.28,2,0.87,"['DCB_se1_ag2_m_01_1', 'VLD_se0_ag2_f_01_1']"
done,3,0.217,0.28,2,0.87,"['DCB_se1_ag3_m_03_1', 'PRV_se0_ag3_m_03_1']"
feel,3,0.217,0.28,3,1.3,"['ATL_se0_ag2_m_03_1', 'DCA_se3_ag1_f_03_1', 'DCB_se1_ag1_m_03_1']"
hear,3,0.217,0.28,3,1.3,"['ATL_se0_ag1_m_04_2', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1']"
here,3,0.217,0.28,3,1.3,"['ATL_se0_ag1_m_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag3_m_02_1']"
mean,3,0.217,0.28,2,0.87,"['DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1']"
make,3,0.217,0.28,3,1.3,"['DCA_se1_ag1_m_04_1', 'DCB_se1_ag2_m_01_1', 'LES_se0_ag3_m_01_2']"
old,3,0.217,0.28,3,1.3,"['DCA_se1_ag1_m_07_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1']"
playing,3,0.217,0.28,3,1.3,"['DCB_se1_ag2_m_01_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1']"
change,3,0.217,0.28,3,1.3,"['DCB_se1_ag3_f_02_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1']"
ready,3,0.217,0.28,2,0.87,"['ATL_se0_ag1_m_04_2', 'DCA_se1_ag4_m_02_1']"
rdname,3,0.217,0.28,3,1.3,"['ATL_se0_ag1_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCB_se1_ag2_f_02_1']"
came,3,0.217,0.28,3,1.3,"['DCB_se1_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'VLD_se0_ag3_m_03_1']"
put,3,0.217,0.28,3,1.3,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag1_f_01_1']"
putting,3,0.217,0.28,3,1.3,"['DCA_se1_ag1_m_02_1', 'DCA_se1_ag4_m_02_1', 'DCB_se3_ag4_m_01_1']"
did,3,0.217,0.28,3,1.3,"['ATL_se0_ag1_f_01_1', 'DCB_se1_ag2_m_03_2', 'PRV_se0_ag1_m_02_1']"
went,3,0.217,0.28,3,1.3,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se3_ag1_f_01_1']"
with,3,0.217,0.28,2,0.87,"['DCB_se1_ag2_m_03_2', 'ROC_se0_ag2_f_02_1']"
one,3,0.217,0.28,3,1.3,"['ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se2_ag4_m_01_1']"
use,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_m_04_1', 'DCA_se3_ag1_f_03_1']"
stunting,2,0.145,0.18,2,0.87,"['VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1']"
something,2,0.145,0.18,2,0.87,"['DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1']"
son,2,0.145,0.18,1,0.43,['DCB_se2_ag4_m_01_1']
spend,2,0.145,0.18,2,0.87,"['DCB_se2_ag4_f_05_1', 'ROC_se0_ag2_f_02_1']"
work,2,0.145,0.18,2,0.87,"['PRV_se0_ag3_m_02_2', 'ROC_se0_ag2_f_02_1']"
stay,2,0.145,0.18,2,0.87,"['DCB_se1_ag1_f_03_1', 'PRV_se0_ag3_m_03_1']"
talk,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_f_01_1', 'DCB_se2_ag4_f_05_1']"
tripping,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
thought,2,0.145,0.18,2,0.87,"['DCB_se1_ag4_f_01_2', 'VLD_se0_ag3_m_01_2']"
kill,2,0.145,0.18,1,0.43,['DCB_se1_ag4_m_02_1']
tried,2,0.145,0.18,1,0.43,['DCB_se1_ag4_m_02_1']
white,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_f_02_1', 'DCB_se2_ag4_f_02_1']"
keep,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag3_m_01_1']"
joke,2,0.145,0.18,2,0.87,"['DCB_se2_ag2_f_01_1', 'ROC_se0_ag2_f_02_1']"
singer,2,0.145,0.18,1,0.43,['DCB_se1_ag3_m_03_1']
reason,2,0.145,0.18,2,0.87,"['LES_se0_ag4_m_02_1', 'PRV_se0_ag3_f_03_1']"
late,2,0.145,0.18,2,0.87,"['DCA_se1_ag1_m_02_1', 'VLD_se0_ag3_m_01_2']"
man,2,0.145,0.18,1,0.43,['PRV_se0_ag3_m_02_1']
need,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_m_03_2', 'DCB_se2_ag4_f_05_1']"
help,2,0.145,0.18,2,0.87,"['DCB_se2_ag4_f_01_1', 'LES_se0_ag4_f_01_2']"
pay,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_f_02_1', 'DCB_se2_ag4_m_01_1']"
messing,2,0.145,0.18,2,0.87,"['DCB_se2_ag3_m_02_2', 'DCB_se2_ag4_f_05_1']"
meet,2,0.145,0.18,2,0.87,"['DCB_se1_ag1_m_01_1', 'VLD_se0_ag3_m_03_1']"
paying,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_m_02_1', 'DCB_se2_ag4_m_01_1']"
people,2,0.145,0.18,2,0.87,"['DCB_se2_ag3_m_03_1', 'DCB_se3_ag3_m_02_1']"
mad,2,0.145,0.18,1,0.43,['LES_se0_ag3_m_01_1']
same,2,0.145,0.18,2,0.87,"['DCB_se2_ag4_m_01_1', 'ROC_se0_ag2_f_02_1']"
luck,2,0.145,0.18,1,0.43,['PRV_se0_ag1_m_02_1']
looking,2,0.145,0.18,2,0.87,"['DCA_se1_ag4_m_02_1', 'DCB_se1_ag2_m_03_2']"
look,2,0.145,0.18,2,0.87,"['DCA_se1_ag1_f_02_1', 'PRV_se0_ag2_m_02_1']"
long,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_03_1', 'PRV_se0_ag3_m_02_1']"
ran,2,0.145,0.18,2,0.87,"['VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_02_1']"
real,2,0.145,0.18,2,0.87,"['DCB_se1_ag2_f_01_1', 'DCB_se2_ag1_f_01_1']"
none,2,0.145,0.18,1,0.43,['DCB_se2_ag4_m_01_1']
out,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_m_02_1', 'LES_se0_ag3_m_01_2']"
yours,2,0.145,0.18,2,0.87,"['ATL_se0_ag1_f_01_1', 'DCB_se2_ag4_m_01_1']"
bother,2,0.145,0.18,2,0.87,"['DCA_se1_ag4_m_02_1', 'VLD_se0_ag4_f_02_1']"
feeling,2,0.145,0.18,1,0.43,['ATL_se0_ag1_m_03_1']
