File,Line,Content,InstancesCountPerLine
104-129578-0021,0021,i daresay it's all different now but i must look up that ass of a cook and see what he's done to your mutton the growling overhead was renewed so suddenly and with so much savage anger that it startled me what's that,1.0
104-132091-0017,0017,this little story grew in my head and i resolved to write it down for you i have done it and in memory of my two little friends on the bulrush i give it their name here it is the story of what katy did,1.0
104-132091-0054,0054,which she waved triumphantly hurray she cried all done and aunt izzie says we may go are you tired out waiting,1.0
104-132092-0005,0005,for the first time after the long winter who knew what the fairies might not have done since any of them had been there to see which path shall we go in by asked clover at last suppose we vote said katy,1.0
104-132092-0022,0022,when it was done they all cuddled in underneath it was a very small bower just big enough to hold them and the baskets and the kitten i don't think there would have been room for anybody else not even another kitten katy,1.0
1040-133433-0036,0036,all the boys were grown up and done for by this time so it is scarcely worth while saying anything more about them you may see the twins and nibs and curly any day going to an office each carrying a little bag and an umbrella,1.0
1040-133433-0071,0071,and wendy did not know how to comfort him though she could have done it so easily once she was only a woman now and she ran out of the room to try to think peter continued to cry and soon his sobs woke jane,1.0
1049-133454-0049,0049,mark ransford was the only person of the name mentioned in the register and his lunch done he set off for the vicarage again intent on getting further information and before he reached the vicarage gates noticed by accident,1.0
1050-134119-0010,0010,the family came in they all tasted and looked and wondered what should be done and all sat down to think at last agamemnon who had been to college said why don't we go over and ask the advice of the chemist,1.0
1050-134119-0038,0038,indeed there isn't a kind of herb you can think of that the little old woman didn't have done up in her little paper bags,1.0
1050-134119-0046,0046,at last elizabeth eliza said they say that the lady from philadelphia who is staying in town is very wise suppose i go and ask her what is best to be done to this they all agreed it was a great thought,1.0
1050-134121-0006,0006,what shall be done now said missus peterkin,1.0
1050-134121-0007,0007,at last said missus peterkin rather uncertainly suppose we ask the lady from philadelphia what is best to be done but mister peterkin said he didn't like to go to her for everything let the children try and eat their dinner as it was,1.0
1050-134121-0023,0023,yes said agamemnon they found there pots and kettles now i should like to know how they did it and i mean to borrow a book and read i think it was done with a pickaxe so the party set out but when mister peterkin reached the carpenter's shop,1.0
1051-133881-0005,0005,so demi was transplanted to plumfield and took so kindly to the life there that meg and john and grandpa felt satisfied that they had done well mixing with other boys brought out the practical side of him roused his spirit and brushed away the,1.0
1051-133883-0054,0054,looking as scared and guilty as if about to stab his master he gave two feeble blows on the broad hand held out to him then he stopped and looked up half blind with tears but mister bhaer said steadily go on and strike harder as if seeing that it must be done and eager to have the hard task soon over,1.0
1051-133883-0057,0057,i think you will ask the dear god to help you and try to spare us both another scene like this tommy saw no more for he crept back to the hall looking so excited and sober that the boys crowded round him to ask what was being done to nat,1.0
1051-133886-0006,0006,you will have done a magnificent work interrupted mister bhaer,1.0
1051-133886-0008,0008,for they always flew at their father the minute school was done at first perhaps but it will do posy good she is getting prim and bettyish and needs stirring up a bit she always has a good time when nan comes over to play and the two will help each other without knowing it,1.0
1051-133886-0026,0026,do it again said stuffy angrily and nan would have done it but nat held her and tommy forgetting the heat flew at stuffy like a little game cock roaring out stop it or i'll throw you over the barn,1.0
1052-139307-0037,0037,to ask you to keep in seclusion graham turned on him this is strange he said no harm will be done you no harm but you must be kept here while i learn my position i presume precisely,1.0
1052-139308-0020,0020,what have they got to what has been done,1.0
1052-139308-0052,0052,it was not likely they would be less humane yet they had cleared their minds of formulae was humanity a formula as well as chastity his imagination set to work to suggest things that might be done to him,1.0
1053-289242-0026,0026,of what must i repent stammered danglars of the evil you have done said the voice,1.0
1054-143005-0046,0046,nonsense uncle said his nephew you have got over your difficulties in a way not one in a hundred thousand would have done every one marvels at your splendid perseverance in teaching your hand to take the place of your lost sight,1.0
1060-134451-0006,0006,and looked sharply about well is she going to stay with him all day have i done all this waiting for nothing he muttered george willard the ohio village boy was fast growing into manhood,1.0
1065-134602-0025,0025,definite and drastic must be done a deputation consisting of the prime minister the foreign secretary four leading financiers and a well known nonconformist divine made its way to the offices of the paper,1.0
1065-134611-0016,0016,admitted eshley but i cannot claim to have had any experience in rounding up stray oxen ive seen it done on a cinema film of course but there were always horses and lots of other accessories besides,1.0
1066-4479-0004,0004,you are not aware of the difficulty of procuring exactly the desirable thing i not aware said jane shaking her head dear missus elton who can have thought of it as i have done,1.0
1066-4479-0019,0019,i am exceedingly obliged to you missus elton i am obliged to any body who feels for me but i am quite serious in wishing nothing to be done till the summer for two or three months longer i shall remain where i am and as i am,1.0
1066-4479-0033,0033,i always told you he would be here again soon did not i anne my dear did not i always tell you so and you would not believe me in town next week you see at the latest i dare say for she is as impatient as the black gentleman when any thing is to be done,1.0
1066-5330-0012,0012,rejoined richard hare significantly the truth as to what he is may come out some time not that i wish it to come out the man has done no harm to me and he may go on poaching with impunity till doomsday for all i care he and locksley,1.0
1066-5330-0025,0025,barbara i must be allowed an interview with my mother barbara hare reflected before she spoke i do not see how it can be managed why can't she come out to me as you have done is she up or in bed,1.0
1066-5330-0034,0034,mister hare closed the gate and walked on up the path i must go richard said barbara hastily i dare not stay another minute be here again to morrow night and meanwhile i will see what can be done,1.0
1069-133709-0037,0037,it took perpetually for granted a thousand good intentions she lost herself in a maze of visions the fine things to be done by a rich independent generous girl who took a large human view of occasions and obligations,1.0
1069-133709-0051,0051,who had been but a casual acquaintance she flattered herself that should she hear from one day to another that he had married some young woman of his own country who had done more to deserve him,1.0
107-22885-0006,0006,and you most wish you was dead and gone too and done with it all don't you know what that is it's spring fever that is what the name of it is and when you've got it you want oh you don't quite know what it is you do want,1.0
107-22887-0003,0003,the way it come about was this he got to asking us kind of indifferent like about the passengers down on deck we told him about them but he warn't satisfied we warn't particular enough he told us to describe them better tom done it at last,1.0
107-22887-0013,0013,where we'd go one was for going one way one another so we throwed up heads or tails and the upper mississippi won we done up the di'monds in a paper and put our names on it and put it in the keep of the hotel clerk,1.0
107-22887-0014,0014,and told him not to ever let either of us have it again without the others was on hand to see it done then we went down town each by his own self because i reckon maybe we all had the same notion i don't know for certain but i reckon maybe we had,1.0
107-22887-0034,0034,ain't it suspicious land hal says do you reckon he's playing us open the paper i done it and by gracious there warn't anything in it but a couple of little pieces of loaf sugar that's the reason he could set there and snooze all night so comfortable,1.0
107-22887-0035,0035,smart well i reckon he had had them two papers all fixed and ready and he had put one of them in place of t'other right under our noses we felt pretty cheap but the thing to do straight off was to make a plan and we done it we would do up the paper again,1.0
107-22887-0045,0045,think of the smartness and coolness of that blatherskite he put up that scheme on us and reasoned out what we would do and we went ahead and done it perfectly exact like a couple of pudd'nheads,1.0
1079-128631-0000,0000,cover a cut of sturgeon with salted and acidulated water add an onion six cloves a slice of carrot three bay leaves a small bunch of parsley and a cupful of wine simmer slowly until done,1.0
1079-128631-0010,0010,add enough boiling water to keep from burning and bake until done basting often baked sturgeon,1.0
1079-128631-0021,0021,put a large sturgeon steak into a buttered baking pan with salt pepper sliced onion a bunch of parsley and some sweet herbs add claret and white stock to cover cover with a buttered paper and cook slowly until done,1.0
1079-128632-0004,0004,and boil it in salted and acidulated water to cover adding an onion a stalk of celery and a bunch of parsley when done drain and keep warm,1.0
1079-128632-0005,0005,add an onion three cloves three stalks of celery four bay leaves a small bunch of parsley a teaspoonful of peppercorns and a little salt cover boil until done,1.0
1079-128632-0043,0043,the sauce over and bake until the oysters are done serve in the dish in which it was baked steamed trout lay the prepared fish in a steamer and place over boiling water steam until done and serve with plenty of melted butter or egg sauce,2.0
1079-128636-0007,0007,stuff the fish and sew it up put in a buttered baking pan pour in one cupful of vinegar and bake until done basting with butter and hot water,1.0
1081-125237-0035,0035,was superior in almost all other respects the stuarts had devoted great attention to the fleet and would have done more but for lack of means charles much abused ship money was employed by him for the creation of the first english professional navy,1.0
1081-125237-0104,0104,all the other provinces strongly protested against the action of the estates of holland and of the council pensionary de witt attempted to defend himself and the estates by vague statements avoiding the main issue but insisting that nothing illegal had been done his efforts were in vain,1.0
1081-128618-0002,0002,strain the liquid thicken with butter and flour season to taste pour over the fish and serve boiled perch with oyster sauce prepare and clean the fish and simmer until done in salted and acidulated water,1.0
1084-139230-0028,0028,it gained time do you see moneylaws it had to be done then they aren't in glasgow i asked he shook his big head solemnly at that and something like a smile came about the corners of his lips,1.0
1084-151395-0021,0021,and he promised secrecy it can be done without folks knowing anything about it can't it what i asked finding the girl well said i we can tell you better about that when we know a few more of the facts,1.0
1084-151395-0037,0037,if it has not done so already you don't know what you are talking about you never saw her was she pretty i asked hurrying the woman along for more than one passer by had turned their heads to look at us,1.0
1085-138296-0019,0019,no you have not whatever have you done i have not touched you said troy quietly it was mere sleight of hand the sword passed behind you now you are not afraid are you because if you are i can't perform,1.0
1085-156170-0007,0007,for all who have done him any bold and violent wrong,1.0
1085-169444-0031,0031,have done for me in that respect or discredit the other helps of an expensive education bestowed upon me both at home and abroad since yet i often think that i owe one half of my philanthropy to that one accidental impression,1.0
1085-169444-0040,0040,pray sir what said he how did he behave o sir it was great for as soon as my father had done insulting his hobby horse he turned his head without the least emotion from doctor slop to whom he was addressing his discourse,1.0
1092-134563-0010,0010,my friends did not use signs as i did when they wanted anything done but talked with their mouths sometimes i stood between two persons who were conversing and touched their lips i could not understand and was vexed,1.0
1093-132891-0017,0017,then he'll meet the newhaven coastguard and turn back he says if coastguards were done away with smuggling would start up at once a voice on the beach under the cliff began to sing,1.0
1093-132891-0023,0023,ha done said puck laughing be one thing or t'other pharaoh french or english or german no great odds which oh but it is though said una quickly we haven't begun german yet,1.0
1093-132891-0099,0099,i was lying under the spinet i heard toby's fiddle he'd just done his supper which he always took late and heavy gert says he get the horses liberty and independence for ever,1.0
1094-129661-0011,0011,this must be done by means of transcendental reflection,1.0
1096-128265-0024,0024,called which still putteth the emancipator in chains it was thus is the will's teeth gnashing and lonesomest tribulation called impotent towards what hath been done,1.0
1097-136910-0035,0035,kit told him and the old gentleman wrote down the address with his pencil he had scarcely done so when there was a great uproar in the street and the old lady hurrying to the window cried that whisker had run away,1.0
1098-133695-0061,0061,had been that she should see a great many people when ralph said to her as he had done several times i wonder you find this endurable you ought to see some of the neighbours and some of our friends,1.0
110-1-0046,0046,suffer any wrong that can be done you rather than come here who happen to be in the lord chancellor's court this murky afternoon besides the lord chancellor the counsel in the cause two or three counsel,1.0
110-1-0073,0073,chizzle mizzle and otherwise have lapsed into a habit of vaguely promising themselves that they will look into that outstanding little matter and see what can be done for drizzle who was not well used,1.0
110-1-0089,0089,the chancellor is about to bow to the bar when the prisoner is presented nothing can possibly come of the prisoner's conglomeration but his being sent back to prison which is soon done,1.0
110-2-0021,0021,his family is as old as the hills and infinitely more respectable he has a general opinion that the world might get on without hills but would be done up without dedlocks,1.0
1100-124547-0052,0052,the house reeked with a colorless stillness from the window she heard kennicott greeting the widow bogart as he had always done always every snowy evening guess this ll keep up all night she waited there they were,1.0
1100-135264-0042,0042,reading between the bald lines the tales of dangers staunchly faced and duty manfully done a wonderful story might be made from it rich comedy and thrilling tragedy were both lying hidden in captain jim's life book,1.0
1107-133727-0004,0004,on market days people stood in groups and talked and wondered what would be done the farmers wives invited one another to tea that they might tell one another all they had heard and all they thought and all they thought other people thought,1.0
1110-136055-0024,0024,it seemed impossible that with one bound she could span that terrible place and reach the sedged morass beyond and still more impossible that it should be done by the poor animal with heavy dot in her pouch,1.0
1112-128136-0038,0038,has no abiding place his own to call it is a curious fact that the worst work is always done with the best intentions and that people are never so trivial as when they take themselves very seriously,1.0
1116-132847-0013,0013,but the men did not know how this was to be done and shaking their heads over his obstinacy left him to his fate,1.0
1116-132847-0026,0026,and no sooner was the ceremony over than she turned us into fishes as she had done to all our forerunners who are in the fish pond still where you will shortly join them,1.0
1116-132851-0002,0002,one evening he was bringing back his horses from the fields and stopped at a little lake on the way home to let them drink he was tired with a long day's work and stood with his hand on the mane of one of the animals waiting till they had done and thinking all the while of barbaik,1.0
112-123216-0011,0011,summing up i think that is what redmond has given me i shall have to fall back on another professor woodleigh quotation to express what it has done for me said priscilla you remember that he said in his address,1.0
1121-132777-0010,0010,and no part of his conduct to her since her marriage had indicated tenderness on his part or had been calculated to call forth tenderness on hers he had done all in his power to disturb her domestic happiness,1.0
1121-135824-0040,0040,his jumping is done only in times of danger when he is not alarmed he runs about on the ground like the rest of the mouse family,1.0
1124-134775-0056,0056,he caught sight of a small house of a single story the window of which was lighted up he peered through the pane as he had done at the public house within was a large whitewashed room with a bed draped in printed cotton stuff,1.0
1132-138883-0027,0027,and jeannette probably in token of contrition put her apron to hers to be sure ma'am no lady could have behaved better through it than you have done and goodness knows you have been tried hard indeed i have jeannette,1.0
1132-145024-0023,0023,but shall say nothing we think uncle henry in excellent looks look at him this moment and think so too if you have not done it before and we have the great comfort of seeing decided improvement in uncle charles,1.0
1132-145024-0032,0032,no don't tell him what you will but tell him that grandmamma begs him to make joseph hall pay his rent if he can you must not be tired of reading the word uncle for i have not done with it,1.0
1132-145024-0069,0069,but i believe that he had from the first very little expectation of a permanent cure all that was gained by the removal from home was the satisfaction of having done the best that could be done together with such alleviations of suffering,2.0
114-129317-0010,0010,this done the postboy drove off giles mister maylie and oliver followed at their leisure as they walked along oliver glanced from time to time with much interest and curiosity at the new comer,1.0
114-129324-0051,0051,that can only be done by stratagem and by catching him when he is not surrounded by these people for suppose he were apprehended we have no proof against him he is not even so far as we know or as the facts appear to us,1.0
115-122944-0004,0004,i did that says my memory i could not have done that says my pride and remains inexorable eventually the memory yields sixty nine one has regarded life carelessly,1.0
115-122944-0078,0078,what is done out of love always takes place beyond good and evil,1.0
1152-126550-0024,0024,by beginning at an earlier stage and explaining very particularly what he had done his last journey to london had been undertaken with no other view than that of introducing her brother in hill street,1.0
1152-126550-0032,0032,and found herself expected to believe that she had created sensations which his heart had never known before and that everything he had done for william was to be placed to the account of his excessive,1.0
1154-134887-0029,0029,in their natural state they may be boiled in concentrated sulphuric acid without sensible change but if feebly burned as is done with the pipe clay in many alum manufactories,1.0
1160-139717-0021,0021,and let me know his piece was ready i told him i had been busy and having little inclination had done nothing he then show'd me his piece for my opinion and i much approv'd it as it appear'd to me to have great merit,1.0
1165-135216-0020,0020,while the red and the white were carried out in the direction where they were expected to go with about a foot of space between them two to one on the red cried featherstone betting on the one which had gained the lead done said melick promptly taking his offer,1.0
1165-135216-0045,0045,the other was much smaller and was folded in the same material without being bound this melick seized and began to open wait a minute said featherstone let's make a bet on it five guineas that it's some sort of jewels done said oxenden,1.0
1166-136562-0009,0009,well the girl said it's all done with laboratory work we take for instance department stores i think that is the first thing we do we take up the department store,1.0
1166-136562-0010,0010,we study it as a social germ ah i said as a social germ yes said the girl delighted to see that i was beginning to understand as a germ all the work is done in the concrete,1.0
1166-136562-0015,0015,didn't you use curves when you were at college never i said oh well nowadays nearly everything you know is done into a curve we put them on the board and what is this particular curve of the employe used for i asked,1.0
1166-136562-0025,0025,well well that i suppose means cramming up a lot of biology and zoology does it not no said the girl it's not exactly done with books i believe it is all done by field work field work,2.0
1166-136562-0027,0027,how do they do that i asked why they look at it suppose for example they come to a stream or a pond or anything yes well they look at it had they never done that before i asked,1.0
1166-14986-0041,0041,he would in short see that i an inexperienced girl had done what he a trained professional writer had failed to do lest therefore his pique should kill admiration and pleasure when he received my work i wrote as one begging a favour,1.0
1168-134958-0031,0031,the white bear asked her if everything had not happened just as he had foretold and she could not but own that it had then if you have done what your mother wished,1.0
1168-134958-0036,0036,but while she was doing it she let three drops of hot tallow fall upon his shirt and he awoke what have you done now,1.0
1168-134958-0102,0102,for she does not know that it is you who let them fall on it but no one can wash them out but one born of christian folk it cannot be done by one of a pack of trolls,1.0
1171-130776-0015,0015,and so we thought they had better marry at once and make the best of it as many others have done before them at any rate said i it will be better than a long engagement that is precisely what i was going to observe cried missus croft,1.0
1171-130776-0029,0029,yes and you may guess who it is for but in a deep tone it was not done for her miss elliot do you remember our walking together at lyme and grieving for him,1.0
1171-130776-0038,0038,it must be from within it must be nature man's nature which has done the business for captain benwick no no it is not man's nature,1.0
1171-130776-0044,0044,striving to catch sounds which yet she did not think he could have caught have you finished your letter said captain harville not quite a few lines more i shall have done in five minutes,1.0
1179-136599-0013,0013,what should we have done without her you are both so generous cries madame dor accepting consolation and immediately relapsing but i commenced as a she cat ah but,1.0
1179-136599-0017,0017,i'm clearer altogether sir for having lived so many weeks upon the surface i never was half so long upon the surface afore and it's done me a power of good at cripple corner,1.0
1179-139203-0020,0020,we were all packed pretty tightly in the big room of the inn when the coroner opened his inquiry and at the very onset of the proceedings he made a remark which was expected by all of us that knew how these things are done,1.0
118-124588-0001,0001,nothing further could be done in the way of searching for the latter personage until daylight it was getting on pretty well towards morning when missus savareen sought her couch and when she got there her slumber was broken and disturbed she knew not what to think,1.0
118-124588-0017,0017,lapierre gave up all his time to the search and left the royal oak to the care of its landlady the local constabulary bestirred themselves as they had never done before,1.0
118-47824-0004,0004,after this something must be done about paredes's detention he hadn't dreamed that his weariness could placate even momentarily such reflections but at last he slept again,1.0
118-47824-0014,0014,when bobby had bathed and dressed he found in spite of his mental turmoil that his sleep had done him good while he breakfasted graham urged him to eat tried to drive from his brain the morbid aftermath of last night's revealing moment,1.0
118-47824-0075,0075,he glanced away while the angry colour left his face he was a little dazed by the realization that he had spoken to graham as he might have done to an enemy as he had spoken to howells in the old bedroom he felt the touch of graham's hand on his shoulder i'm only working in your service graham said kindly,1.0
1182-133396-0040,0040,yes said she in a voice trembling with fright at what she had done yes it must have been the evil one for now i remember he had but one eye the four girls crossed themselves and their eyes grew big and round with the fright suddenly,1.0
1183-124566-0001,0001,what have they done for him six the master said the man of upright life is obeyed before he speaks commands even go unheeded when the life is crooked,1.0
1183-124566-0003,0003,much could be done in three years,1.0
1184-135532-0013,0013,i saw your horse bemired and put him from his agony which by my sooth an ye had been a more merciful rider ye had done yourself,1.0
1184-135532-0042,0042,no harm is done i am not touchy praise the saints and at that moment the wind which was blowing straight behind them as they went brought them the rough flourish of sir daniel's trumpeter hark said dick,1.0
1187-136220-0097,0097,but one that i and the men of my nation do not believe in if they had done so instead of being the first country in the world to day england long ago would have ceased to exist,1.0
1187-136238-0026,0026,presently he was with us again is it done asked maya hoarsely no,1.0
1187-136238-0027,0027,what then is to be done with this woman i asked we cannot take her with us no but we can leave her,1.0
119-129515-0006,0006,no true yankee would have allowed even the semblance of a difficulty to be possible a thing with them is no sooner said than done the triumphal progress of the president continued throughout the evening it was a regular torchlight procession,1.0
1195-130164-0006,0006,the unquenchables had done their best to be worthy of the name for like elves they had worked by night and conjured up a comical surprise out in the garden stood a stately snow maiden crowned with holly,1.0
1195-130164-0036,0036,a burnt offering has been made to vanity this hardened palm has earned something better than blisters and i'm sure the sewing done by these pricked fingers will last a long time so much good will went into the stitches meg my dear,1.0
1200-135067-0002,0002,and zillah willingly acquiesced being a narrow minded selfish woman catherine evinced a child's annoyance at this neglect repaid it with contempt and thus enlisted my informant among her enemies as securely as if she had done her some great wrong,1.0
1200-135068-0029,0029,the little wretch had done her utmost to hurt her cousin's sensitive though uncultivated feelings and a physical argument was the only mode he had of balancing the account and repaying its effects on the inflictor he afterwards gathered the books and hurled them on the fire,1.0
121-127105-0023,0023,let me say here distinctly to have done with it that this narrative from an exact transcript of my own made much later is what i shall presently give,1.0
122-129752-0024,0024,chocolate cake cook one cup of sugar one half cup of milk one half cup of grated chocolate and the beaten yolk of one egg together until smooth when done add a teaspoon of vanilla and cool,1.0
1222-133834-0024,0024,when they came to the old hell shaft they found it as lonely as she had left it the men called and listened as she had done and examined the edge of the chasm and settled how it had happened and then sat down to wait until the implements they wanted should come up,1.0
1222-133834-0042,0042,the best that he could do was to cover it that gently done he called to him rachael and sissy and at that time the pale worn patient face was seen looking up at the sky with the broken right hand lying bare on the outside of the covering garments,1.0
1224-121064-0047,0047,and you have done well to purchase them although you were somewhat remiss not to have procured them sooner indeed your excellency i had very considerable difficulty in obtaining them and as it is,1.0
1225-129526-0012,0012,however the thing must be done and i reckon for its accomplishment upon your courage as much as upon your skill at eight o'clock the next morning the first stroke of the pickaxe was struck upon the soil of florida and from that moment,1.0
1225-129527-0018,0018,and i should prefer its being done privately at the discharge of the projectile a fete if you like till then no the president was right the operation involved unforeseen dangers,1.0
1225-129802-0058,0058,it's little enough i am concerned to redeem the past save only in your eyes in my own i've done nothing at all that i am ashamed of considering the provocation i received her glance faltered and fell away before his own that was so intent,1.0
1230-139216-0046,0046,for my revenge on sir gilbert carstairs and what had been a mystery was one no longer i went back to the dock where i had left the tramp steamer and told its good natured skipper what i had done,1.0
1230-139225-0001,0001,and it evidently irked him to have any questions raised as to the carstairs affairs which of course he himself had done much to settle when sir gilbert succeeded to the title in his opinion the whole thing was cut dried and done with,2.0
1235-135883-0026,0026,that they may not go to law after my death when i have done this i will come back and submit to whatever you shall please to command but said the genie if i grant you the time you ask i doubt you will never return,1.0
1235-135884-0037,0037,with such a transport of joy that i knew not what i was doing it is heaven that hath sent us this young maid to remove the horrible charm by which you were enchanted and to avenge the injury done to you and your mother i doubt not,1.0
1235-135887-0028,0028,i should never pay him sufficiently for what he has done i perceive it to be his virtue that raises your envy but do not think i will be unjustly prejudiced against him i remember too well what a vizier said to king sinbad his master,1.0
1239-139609-0018,0018,just as he had done when he arrived i see you are cold said the old woman i will go out and gather some wood for we have used it all you must stay and take care of the house while i am gone,1.0
1241-121103-0013,0013,and the life of such a man as lieutenant general the count of morcerf peer of france what must then be done what i have done albert i reasoned thus,2.0
1241-121103-0025,0025,then recollecting the honor you had done me in admitting me to your friendship i hastened to you albert still extended on the chair covered his face with both hands as if to prevent the light from reaching him,1.0
1241-121103-0034,0034,come said beauchamp taking both his hands take courage my friend but how came that first note to be inserted in your journal some unknown enemy an invisible foe has done this,1.0
1241-121106-0037,0037,yes i showed it to him did he know my father's christian name was fernand and his family name mondego yes i had told him that long since and i did only what any other would have done in my circumstances and perhaps less,1.0
1241-137614-0020,0020,and then he swang out his sword and smote fast at sir tristram sir knight said sir tristram i counsel you that ye smite no more howbeit for the wrongs that i have done you i will forbear you as long as i may,1.0
1241-137614-0041,0041,and there sir tristram smote sir sagramore a strong buffet that he bare his horse and him to the earth and in the falling he brake his thigh when this was done sir tristram asked them fair knights will ye any more be there no bigger knights in the court of king arthur,1.0
1246-124548-0007,0007,which since all the work was done by assistants was the one sinecure in town the one reward for political purity but it proved that mister bert tybee the former bartender desired the postmastership at her solicitation,1.0
1246-124548-0033,0033,i'll tell you how i know i've seen em i've done europe from soup to nuts they can't spring that stuff on jim blausser and get away with it and let me tell you that the only live thing in europe is our boys that are fighting there now london,1.0
1246-124550-0004,0004,not to have to report to kennicott at the end of the day all that she had done or might do was a relief which made up for the office weariness she felt that she was no longer one half of a marriage,1.0
125-121124-0044,0044,it is indeed said danglars it is a fine thing to have such credit really it is only in france these things are done five millions on five little scraps of paper it must be seen to be believed,1.0
125-121124-0052,0052,oh dear yes and if you were at rome the house of thomson and french would make no more difficulty about paying the money on my receipt than you have just done pardon me count pardon me then i may keep this money yes said danglars,1.0
1250-135777-0093,0093,there is good to be done exchange this false life of thine for a true one,1.0
1252-134983-0038,0038,but said prince darling would it not be a shame if i had an innocent girl put to death for celia has done nothing to deserve punishment if people will not do as you tell them they ought to suffer for it answered his foster brother but even if it were unjust,1.0
1252-134983-0061,0061,and very soon killed it and then came and crouched at the feet of the man it had saved overcome with gratitude the keeper stooped to caress the strange creature which had done him such a great service but suddenly a voice said in his ear a good action should never go unrewarded,1.0
1258-135062-0024,0024,we have done nothing to deserve this separation and you are not angry with me you have no reason to dislike me you allow yourself dear uncle send me a kind note to morrow,1.0
1259-137770-0029,0029,no sooner did i sign the agreement than she got engaged poor little girl she was so keen on it all and wouldn't even wait to make proper inquiries about the shooting afraid it would get snapped up just like all of your sex well no harm's done,1.0
1259-72927-0022,0022,for we have all three names indicating little real distinction between them now though time was there was a good deal in such a district as you would call it some neighbours think that something ought to be done or undone a new town hall built,1.0
1259-72927-0031,0031,and i thought that democracy was considered to be in a moribund condition many many years ago the old boy's eyes twinkled i grant you that our methods have that drawback but what is to be done,1.0
1259-72927-0032,0032,we can't get anyone amongst us to complain of his not always having his own way in the teeth of the community when it is clear that everybody cannot have that indulgence what is to be done well said i i don't know said he,1.0
1259-72927-0037,0037,but dear neighbour that is not a very effective salve for the wound caused by the tyranny of a majority in our society because all work that is done is either beneficial or hurtful to every member of society the man is benefited by the bridge building if it turns out a good thing,1.0
126-122467-0038,0038,you speak like the apocalypse and you are as true as the gospel there is nothing now to do but to put the address to this letter that is easily done said aramis he folded the letter fancifully and took up his pen and wrote,1.0
