File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,AintVariation,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate,amazon_transcription,deepspeech_transcription,deepspeech_ConfidenceLevel,google_transcription,google_ConfidenceLevel,IBMWatson_transcription,IBMWatson_ConfidenceLevel,microsoft_transcription
ATL_se0_ag1_f_01_1,1155,ATL_int_01,1707.2219,1708.8718,1.6499,Didn't even think about that stuff.,didnt,1,0,14.57110142,13.55,15.25,9,5.454876053,Think about that.,,-7.666556358,,0,,0,On it.
ATL_se0_ag1_f_01_1,1188,ATL_int_01,1763.6428,1766.5147,2.8719,"I didn't think it was like that. That's saying that, you know,",didnt,1,0,11.20806382,10.38,8.25,14,4.874821547,In many ways you know no,,-12.40094948,,0,no ,0.53,You know?
ATL_se0_ag1_f_02_1,89,ATL_se0_ag1_f_02,78.9122,80.3712,1.459,It really didn't work out too well.,didnt,1,0,10.6658988,10.2,2.25,9,6.168608636,It really didn't work out too well.,work out to ,-27.95676613,I really didn't work out too. Well.,0.849918664,I really didn't work %HESITATION to %HESITATION ,0.73,I really didn't workout too well.
ATL_se0_ag1_f_02_1,207,ATL_se0_ag1_f_02,195.6341,196.5467,0.9126,people who ain't white.,ain't,1,1,12.42391927,12.08,24.75,5,5.478851633,People Who a White.,it,-11.00353336,People who say why?,0.877478242,people who anyway ,0.41,People who hate white.
ATL_se0_ag1_f_02_1,572,ATL_se0_ag1_f_02,576.5994,578.6565,2.0571,"He didn't look extra white, but he looked white. When you looked at him,",didnt,1,0,19.29049063,19.04,6.25,16,7.777939818,"Even look extra white, but he looked like when you looked at.",he either when you look at,-93.51402283,"He never got extra white, but he look like when you look there.",0.80631566,even look actually but he was like when you looked at ,0.71,"He then looks right, but he looked like when you looked in."
ATL_se0_ag1_f_02_1,582,ATL_se0_ag1_f_02,587.627,590.178,2.551,"He ain't got green or blue eyes. His eyes is brown,",ain't,1,1,10.44478165,10.38,5.75,11,4.312034496,"He got green or blue eyes, his eyes brown.",green blue eyes around,-46.4978714,Green and blue eyes. Eyes brown.,0.847042322,you got green or blue eyes eyes brown ,0.78,"He got green or blue eyes, eyes brown."
ATL_se0_ag1_f_02_1,596,ATL_int_01,609.5121,612.4257,2.9136,"I didn't really check for him yet, but he definitely give me that,",didnt,1,0,15.69340111,14.36,20,18,6.177924217,"I didn't really check for him yet, but he definitely gave me.",he definitely give me that,-33.67687988,I'm yet but he definitely give me that.,0.85728544,really chat %HESITATION yet but he definitely give me that ,0.7,"I am really check for him yet, but he definitely give me that."
ATL_se0_ag1_f_02_1,644,ATL_se0_ag1_f_02,661.2596,665.5492,4.2896,"Absolutely. No, I d- I didn't need a crew when I walked. What I- did I have a crew at school? Yeah, but",didnt,1,0,22.25386155,22.17,10,27,6.294293174,"Absolutely, no, I I didn't need a crew when I walked. What I did, I have a crew at school yet, but.",absolutely no i didn't need a crew and i want what i have a crew at school here but,-106.6051025,"Absolutely not. I didn't even cry when I want. What I did. I have a crew at school yet, but",0.905982137,absolutely no I I didn't need a crew when I what what I do I have a crew at school yeah but ,0.78,"Absolutely no. I didn't need a crew when I walk what I did. I have a crew at school yet, but."
ATL_se0_ag1_f_02_1,646,ATL_se0_ag1_f_02,666.0596,666.7491,0.6895,I didn't need a crew.,didnt,1,0,27.70385361,26.81,24.25,6,8.701957941,I didn't need a crew.,,-6.439306259,,0,they need ,0.65,I don't need a crew.
ATL_se0_ag1_f_02_1,647,ATL_int_01,667.0533,668.9558,1.9025,Just for walking you didn't need that. You was good-,didnt,1,0,20.76782836,19.83,20.25,12,6.307490145,Just for Walking no,he ,-13.09549618,,0,just walking ,0.73,Just for walking in now.
ATL_se0_ag1_f_02_1,755,ATL_se0_ag1_f_02,791.5286,792.4257,0.8971,They didn't wanna fight me.,didnt,1,0,13.81035269,13.75,25.25,7,7.802920522,They didn't want to fight me.,he didn't want to fight ,-23.37289429,They didn't want to fight me.,0.89252305,they didn't want to fight me ,0.7,They didn't want to fight me.
ATL_se0_ag1_f_02_1,756,ATL_int_01,792.5958,795.3889,2.7931,They didn't wanna fight you. They wanted to be best friends with you after that.,didnt,1,0,9.482907193,8.75,4.5,19,6.802477534,Gonna fight you They want friends with you.,they want to be their friend that,-60.47690964,,0,they want to fight you they want to be best friends with ,0.66,"I don't want to fight you, they want to be best friends with you after that."
ATL_se0_ag1_f_02_1,820,ATL_se0_ag1_f_02,856.7119,859.1114,2.3995,I haven't been rocking with nobody else but y'all. ,havent,1,0,20.60175925,20.52,14.5,13,5.417795374,I haven't been rocking with nobody else but y'all.,i have a miracle,-75.52571106,"I haven't been with nobody, but you",0.684771657,I have a mirror yes let's call ,0.47,I haven't been rocking with nobody else but you.
ATL_se0_ag1_f_02_1,836,ATL_se0_ag1_f_02,873.7462,874.1386,0.3924,I'm not a,imnot,1,0,6.80716332,6.65,5.25,3,7.645259939,,not a,-5.716262817,,0,not a ,0.7,Louder
ATL_se0_ag1_f_02_1,892,ATL_se0_ag1_f_02,930.6673,933.07,2.4027,"cousins I haven't seen in forever, everybody",havent,1,0,11.33875647,11.17,3.25,14,5.826778208,Cousins I haven't seen him forever everybody.,the senior everybody,-62.18954849,"Cousins. I haven't seen in Forever, everybody.",0.952125609,cousins I haven't seen in forever everybody ,0.83,Cousins I haven't seen in forever everybody.
ATL_se0_ag1_f_02_1,910,ATL_se0_ag1_f_02,952.4455,957.8072,5.3617,"That was the time where everybody caught up with each other. Everybody linked up, seen family members they ain't seen in years,",ain't,1,1,13.35880439,13.21,27.75,32,5.968256337,"That was the time where everybody caught up with each other, everybody linked up seeing family members saying seen in years.",time where everybody called it when he saw the right line in family remember saying seeing years,-134.4694061,"That was in time where everybody caught up with each other, a right length of seeing family member saying seen in years.",0.863739371,that was one time where everybody called over the Saturday by link the Singh family member saying seeing the years ,0.64,"That was the time where everybody caught up with each other, right? Linked up, seeing family members ain't seen the years."
ATL_se0_ag1_f_02_1,1071,ATL_se0_ag1_f_02,1144.6565,1145.7671,1.1106,I didn't know. When we were,didnt,1,0,8.888365855,8.86,8.75,7,6.302899334,I didn't know when we were.,now,-6.178751945,I didn't know when we.,0.881180108,I didn't know what we ,0.78,
ATL_se0_ag1_f_02_1,1141,ATL_se0_ag1_f_02,1243.3022,1244.0292,0.727,there isn't that.,isn't,1,0,19.8566176,19.64,31,4,5.502063274,There Isn't that?,isn't that,-7.862442493,there isn't the,0.80531913,there isn't that ,0.71,There isn't that.
ATL_se0_ag1_f_02_1,1152,ATL_se0_ag1_f_02,1253.6214,1256.0587,2.4373,"because just cause you don't see it, that don't mean it ain't happening.",ain't,1,1,12.60983371,12.35,5.25,16,6.564641201,"Because just because you don't see it, I don't mean it ain't happening.",just because you don't see the amenities,-83.0635376,Just cuz you don't see. It doesn't mean it didn't happen.,0.786125124,because just because you don't see that I mean that they have ,0.73,"Because just 'cause you don't see it, I don't mean it ain't happening."
ATL_se0_ag1_f_02_1,1419,ATL_se0_ag1_f_02,1547.0058,1551.4333,4.4275,"Down here y'all see somebody pull in the neighborhood, y'all ain't pay attention. Y'all like, oh that's such and such. You live up the street.",ain't,1,1,17.63416343,17.53,27.5,31,7.001693958,"Down here, you'll see somebody opinion they were, you didn't pay attention, You're like, oh, that's such as you live on the street.",here also some moyennant all alike oh that was done,-220.2895203,Down here. Y'all see somebody feeling they will y'all and pay attention while I do that such as you live with.,0.87655139,down here yes he's my friend and they were young pay attention yeah I like %HESITATION that's as as you live in C. ,0.51,"Down here you'll see somebody put in. They were yelling. Pay attention, you're like oh, that's so sad."
ATL_se0_ag1_f_02_1,1466,ATL_int_01,1606.7875,1609.4221,2.6346,See I haven't been in that situation ,havent,1,0,30.08429058,29.72,27.5,11,4.175206863,"See I haven't been in that situation, so I was.",been in a situation so ,-40.34763336,I haven't been in that situation. So are you?,0.705648661,I haven't been in that situation so it I was ,0.79,
ATL_se0_ag1_f_02_1,1490,ATL_se0_ag1_f_02,1638.9581,1641.9161,2.958,"And they like, nah, nah, nah, he ain't call you a bitch.",ain't,1,1,16.81914162,16.57,9.5,12,4.056795132,"And they're like, nah, nah, no, he didn't call you a bitch.",no no no he ,-37.89587021,"No, he call you bitch.",0.824891865,and the like %HESITATION %HESITATION %HESITATION he call you it ,0.73,"And they like no, no no. He called you a *****."
ATL_se0_ag1_f_02_1,1491,ATL_se0_ag1_f_02,1642.1791,1644.3651,2.186,He- he ain't call you a bitch. He just-,ain't,1,1,27.53025961,27.04,42.25,9,4.117108875,"He called you a bitch, he just.",he call you bite,-36.20998764,He he call you a bitch. He just,0.843058467,he he can call you a bit she just ,0.75,He called you a *****. He just.
ATL_se0_ag1_f_02_1,1493,ATL_se0_ag1_f_02,1644.9787,1648.0192,3.0405,"he just said the word bitch, but he ain't call you a bitch. And I'm like,",ain't,1,1,22.92317148,22.49,27.5,16,5.262292386,"He just said word bitch, but he didn't call you a bitch and I'm like.",he said were before all you a bit and i'm like,-77.50772095,"he just said word bitch but he didn't call you a bit and I'm like,",0.870522916,he just said the word **** for he call you bits and I'm like ,0.58,He just said were a ***** but he can call you a ***** and I'm like.
ATL_se0_ag1_f_02_1,1504,ATL_int_01,1659.679,1662.6848,3.0058,I didn't even understand what the hell Future was talking about,didnt,1,0,13.42814567,12.21,9.5,18,5.988422383,Okay understand what the hell Future was talking about.,understand what the hell features talking about,-59.07962036,You talkin about?,0.680855274,I understand what the hell futures talking about ,0.61,I didn't even understand what the hell future was talking about.
ATL_se0_ag1_f_02_1,1507,ATL_se0_ag1_f_02,1665.1854,1666.8596,1.6742,"I had to read the lyrics though, I'm not gonna lie to you.",imnot,1,0,11.61028803,11.46,6.5,15,8.959503046,Had to read the lyrics so I'm not gonna let it.,the redeemed,-43.70291901,I had to read the lyrics to. I'm not going to let,0.935451329,I had to re delivery so ,0.51,I had to read the lyrics. I'm like already.
ATL_se0_ag1_f_02_1,1551,ATL_se0_ag1_f_02,1723.5304,1724.8967,1.3663,we didn't play the,didnt,1,0,14.06110975,13.86,5.75,5,3.659518407,We didn't play the.,play the,-12.67260551,we didn't play the,0.974929333,we didn't play the ,0.8,We didn't play the.
ATL_se0_ag1_f_02_1,1588,ATL_se0_ag1_f_02,1767.9831,1768.6424,0.6593,really didn't-,didnt,1,0,11.54057266,11.32,20,4,6.067040801,Really Didn't.,the,-5.117010117,Really didn't.,0.796777844,really didn't ,0.87,
ATL_se0_ag1_f_02_1,1599,ATL_int_01,1777.123,1778.1645,1.0415,"Didn't you say you, um,",didnt,1,0,3.870076456,3.07,3.75,6,5.760921747,Don't Say um.,,-3.970091343,,0,,0,Then you say.
ATL_se0_ag1_f_02_1,1703,ATL_se0_ag1_f_02,1895.0981,1898.6388,3.5407,I'm more of a players type of person. I'm not really a team anymore.,imnot,1,0,29.00185107,28.4,30.5,19,5.366170531,"I'm more of a player's type of person, I'm not really a team anymore.",more of a player type of person that really ate any more,-76.66292572,I'm more of a player's type of person. I'm not really a teen anymore.,0.931886017,I'm more of a player's type of person I'm not really a team anymore ,0.83,I'm more of a player type of person. I'm not really a team anymore.
ATL_se0_ag1_f_02_1,1711,ATL_se0_ag1_f_02,1904.7677,1907.4178,2.6501,player type. I'm not- I don't really like teams anymore.,imnot,1,0,22.16186127,21.54,36.5,14,5.282819516,Player type I'm not I don't really like teams anymore.,a type of i don't really like team anymore,-64.03904724,Player type of not I don't really like teams anymore.,0.86366576,player type I'm not I don't really like teams anymore ,0.71,Play your type. I'm not. I don't really like teams anymore.
ATL_se0_ag1_f_02_1,1718,ATL_se0_ag1_f_02,1915.917,1919.0002,3.0832,it ain't even about the team no more. It's about the individual player at this point.,ain't,1,1,17.41466802,17.24,7.5,24,7.784120394,"It ain't about the team No more, it's about the individual player at this point.",but the senora individual player in the point,-86.78029633,"I'm about to Tina Moore, it's about the individual player at this point.",0.771033704,dating back to teen was by the individual player at this point ,0.55,They invite teen movies about the individual player at this point.
ATL_se0_ag1_f_02_1,1719,ATL_int_01,1917.3116,1917.7249,0.4133,It ain't.,ain't,1,1,9.453634316,9.34,16,2,4.839099927,,the,-8.916106224,,0,but in ,0.41,About
ATL_se0_ag1_f_02_1,1723,ATL_se0_ag1_f_02,1920.3407,1922.6027,2.262,I'm more of a players fan. I'm not more of a,imnot,1,0,25.63466411,25.3,37.75,12,5.305039788,I'm more of a player's saying I'm not more of a.,more of a player saying i'm no more of a,-47.02783966,"I'm more of a player's saying, I'm not more.",0.880160034,I'm more of a player's saying I'm I'm more of it ,0.66,I'm more of a players fan. I'm not more of a.
ATL_se0_ag1_f_02_1,1758,ATL_se0_ag1_f_02,1954.5516,1958.8863,4.3347,"everybody else is drinking. Why? Cause they built up a tolerance for it. I'm pretty sure at one point in time, they didn't drink either.",didnt,1,0,19.32483971,18.66,22.75,34,7.84368007,Everybody else is drinking Why? Because they built up a tolerance where I'm pretty sure at one point in time they didn't drink either.,striking was they built up a tower in pretty sure at one point and they didn't drink either,-154.7264862,Everybody else is drinking. Why? Cuz they build up a tolerance for. I'm pretty sure at one point in time. They didn't drink either.,0.934692204,everybody else is drinking why because they build up a tolerance for I'm pretty sure my plans I'm they didn't drink either ,0.59,Everybody else was drinking. Why? 'cause they built up a tolerance for? I'm pretty sure at one point in time they didn't drink either.
ATL_se0_ag1_f_02_1,1801,ATL_se0_ag1_f_02,2016.2523,2018.8096,2.5573,it ain't nothing but worldwide big ass shadow.,ain't,1,1,16.11944114,15.94,4.5,11,4.301411645,Remember the Worldwide Big Shadow.,but of worldwide biggest,-49.50376892,A member of worldwide big ass shot.,0.51905942,a number of worldwide biggest shadow ,0.44,A number of worldwide bigger shadow.
ATL_se0_ag1_f_02_1,1822,ATL_se0_ag1_f_02,2039.0768,2041.1237,2.0469,"If another one comes in a few years, I'm not going outside.",imnot,1,0,15.29028912,15.25,30,16,7.816698422,"If another one comes in a few years, I'm not going outside.",another one comes to years i'm not going outside,-54.11364365,"If another one comes in a few years, I'm not going outside.",0.96785301,if another one comes a few years I'm not going outside ,0.79,"If another one comes in a few years, I'm not going outside."
ATL_se0_ag1_f_02_1,1830,ATL_se0_ag1_f_02,2046.438,2046.972,0.534,"Yeah, it ain't.",ain't,1,1,16.22637561,16.18,22.75,3,5.617977528,It Ain't.,he,-7.587195396,,0,yeah they ,0.34,Yeah.
ATL_se0_ag1_f_02_1,1901,ATL_int_01,2137.2268,2139.1551,1.9283,Still didn't go to the ferris wheel yet.,didnt,1,0,15.71482421,14.91,18.5,10,5.185915055,Do Now Mhm.,,-9.370254517,,0,doing this ,0.15,Do now.
ATL_se0_ag1_f_03_1,222,ATL_se0_ag1_f_03,293.1633,296.3392,3.1759,I didn't like it at first because I didn't know anybody and I didn't wanna be here.,didnt,3,0,13.5596039,13.44,8,25,7.871784376,I didn't like it at first because I didn't know anybody and I didn't want to be here.,i first because he didn't know anybody and i didn't want to be,-58.69258881,I didn't like it at first because I didn't know anybody and I didn't want to be,0.966349125,I don't like it at first because I didn't know anybody and I didn't want to be you ,0.83,I didn't like it at first because I didn't know anybody and I didn't want to be here.
ATL_se0_ag1_f_03_1,320,ATL_se0_ag1_f_03,424.4616,427.5214,3.0598,"Fights? I didn't get in a lot of fights, um,",didnt,1,0,63.42023819,60.63,38.75,11,3.59500621,fights I didn't get in a lot of fights um.,i ain't givin a lot of fight,-40.48240662,I've been giving a lot of fights.,0.718344748,five I didn't get a lot of fights %HESITATION ,0.73,Fights I've been getting a lot of fights.
ATL_se0_ag1_f_03_1,324,ATL_se0_ag1_f_03,430.0522,436.4181,6.3659,"When I was in New York I got into maybe two? I'm not like a bad kid. So I didn't really get into a lot of fights. I mean a lot of people don't like me, but-",imnot,1,0,20.81577429,20.59,31,43,6.7547401,"When I was in new york, I got into maybe two. I'm not like bad kids, so I didn't really get into a lot of fights. I mean a lot of people don't like me, but.",an anomaly a maravedi alienate,-192.1879578,Plaza. New York around 2. Maybe 2. I'm not like bad kids.,0.877224147,when I was in New York I've gone to moving to I'm not like bad kids that it really is a lot of eyes I mean a lot of people don't like me but ,0.66,"When I was in New York, Atlanta, maybe too. I'm not like a bad kid so I didn't really get into a lot of fights. I mean, a lot of people don't like me, but."
ATL_se0_ag1_f_03_1,324,ATL_se0_ag1_f_03,430.0522,436.4181,6.3659,"When I was in New York I got into maybe two? I'm not like a bad kid. So I didn't really get into a lot of fights. I mean a lot of people don't like me, but-",didnt,1,0,20.81577429,20.59,31,43,6.7547401,,an anomaly a maravedi alienate,-192.1879578,Plaza. New York around 2. Maybe 2. I'm not like bad kids.,0.877240121,when I was in New York I've gone to moving to I'm not like bad kids that it really is a lot of eyes I mean a lot of people don't like me but ,0.66,"When I was in New York, Atlanta, maybe too. I'm not like a bad kid so I didn't really get into a lot of fights. I mean, a lot of people don't like me, but."
ATL_se0_ag1_f_03_1,350,ATL_int_01,480.0931,482.8245,2.7314,We need to figure that out one day. I- I haven't either.,havent,1,0,44.43483845,44.03,31.75,15,5.491689244,I need to figure that out one.,it out,-45.39211273,I need to figure that out.,0.969515026,we need to figure that out ,0.91,We need to figure that out.
ATL_se0_ag1_f_03_1,447,ATL_se0_ag1_f_03,612.2269,616.6513,4.4244,"that you didn't see for a while come around. And it would just be like- you know, old times. It would be fun.",didnt,1,0,12.60110273,12.41,23,25,5.650483681,"That you didn't see for a while come around and it'll just be like old times, it'll be fun.",for a while come around and just be like you know all times i'll be fun,-94.64772034,"That you didn't see for a while, round and it just be like, you know, what time you'll be fine.",0.842683971,that you can see for awhile come around and it would just be like you know all the time but we find ,0.65,"That you didn't see for awhile. Come around and it'll just be like you know, old times, it'll be fun."
ATL_se0_ag1_f_03_1,620,ATL_int_01,852.4145,858.0868,5.6723,"got chicks in some type of dungeon situation and I'm not sure how true that is, but",imnot,1,0,10.3734586,9.97,7,21,3.702201929,"Got chicks in some type of dungeon situation, I'm not sure how true that is, but.",and some type dunston another how true that is but,-138.5711517,"Got chicks and some type of dungeon situation. I'm not sure how true that is, but",0.949339926,got six in some type of dangerous situation I'm not sure how true that is but ,0.83,Got chicks and some type of dungeon situation. I'm not sure how true that is but.
ATL_se0_ag1_f_03_1,678,ATL_se0_ag1_f_03,929.1658,931.196,2.0302,And I just thought it was about to rain. I didn't-,didnt,1,0,16.84326647,16.79,25.25,13,6.403310019,And I just thought it was about to ring I didn't.,i thought it was about to rain i mean,-30.28940964,I just thought it was about to rain.,0.957524121,I just thought it was about the rain out in ,0.67,"And I just thought it was about to ring, I didn't."
ATL_se0_ag1_f_03_1,680,ATL_se0_ag1_f_03,931.4441,932.387,0.9429,I didn't remember-,didnt,1,0,16.08445942,16.05,12.25,6,6.363347121,I didn't remember.,there were a number,-15.22644234,I didn't remember.,0.964771748,I don't remember ,0.74,I didn't remember.
ATL_se0_ag1_f_03_1,794,ATL_se0_ag1_f_03,1071.1575,1073.4172,2.2597,I haven't really even been watching TV like that.,havent,1,0,19.84694289,19.75,9,12,5.310439439,I haven't really even been watching tv like that.,really even been washington like the,-45.34704208,I haven't really even been watching TV like that.,0.973977625,I haven't really even been watching TV like that ,0.74,I haven't really even been watching TV like that.
ATL_se0_ag1_f_03_1,860,ATL_int_01,1164.3467,1168.8145,4.4678,"I really wanna speak on Power some more, but I haven't watched it enough lately.",havent,1,0,12.49375365,12.29,6.25,21,4.700299924,"I really want to speak on Power some more, but I haven't watched it enough.",really want to speak on power some more of the ego,-91.4216156,"I really want to speak on power some more, but I haven't watched it enough to email.",0.892817259,really want to speak on power so more about having to sit in the ,0.64,"I really want to speak on power some more, but I haven't watched it in left."
ATL_se0_ag1_f_03_1,881,ATL_se0_ag1_f_03,1185.4251,1187.6734,2.2483,"I like anything that looks nice. I mean, I'm not",imnot,1,0,19.63719643,19.46,37.75,12,5.33736601,"I like anything that looks nice, I mean I'm not.",i like anything that was mine i mean i'm not,-52.58649445,I like anything that looks nice.,0.986842155,I like anything like nine I mean I'm not ,0.77,I like anything that looks nice. I mean I'm not.
ATL_se0_ag1_f_03_1,916,ATL_se0_ag1_f_03,1236.1217,1239.9507,3.829,"if it's like- I'm not gonna go extravagant, like get red bottoms, or something. If it's just",imnot,1,0,24.12790808,24.03,11.5,23,6.006790285,"If it's like I'm not gonna go extravagant, get red bottoms or something if it's just.",i'm not going to bother like it read bottoms or something if it's just,-87.43943787,"If it's like, I'm not going to go get red bottoms or something. If it's just",0.916053772,if it's like I'm not going to watch jabbing I get red bottoms or something if it's just ,0.74,"If it's like I'm not gonna go extravagant, I get red bottoms or something, if it's just."
ATL_se0_ag1_f_03_1,1226,ATL_se0_ag1_f_03,1629.6575,1630.4762,0.8187,I didn't- I didn't-,didnt,2,0,15.19343229,15.17,14.75,6,7.328691829,I Don't.,,-4.574525833,"I didn't, I didn't.",0.791836083,I don't I don't ,0.73,"I didn't, I didn't."
ATL_se0_ag1_f_03_1,1340,ATL_int_01,1770.0084,1773.0186,3.0102," That's interesting. I'm sorry I didn't realize that. Um,",didnt,1,0,7.40649416,7.22,5,16,5.315261444,"As interesting, I'm sorry to realize that.",as entertainers ,-91.75189972,I'm sorry. I didn't realize that.,0.623832762,it's just %HESITATION signed and realize that %HESITATION ,0.61,"As interesting, I'm sorry. Then realized that."
ATL_se0_ag1_m_01_1,461,ATL_se0_ag1_m_01,643.0631,645.4679,2.4048,It ain't take too long for me to start getting in shit up there.,ain't,1,1,13.92369404,13.78,7.5,15,6.23752495,Any type too long from you start getting the shit out there.,the staroste,-65.73680115,They take too long from you. Start give me sit out there.,0.777447999,they take two miles from you so I can see that there ,0.36,Any type to learn from you start getting this **** out there.
