File,Line,Content,InstancesCountPerLine,FeatureCountPerLine
1469-163403-0011,11,if it warn't so i wouldn't approve of it nor i wouldn't stand by and see the rules brokebecause right is right and wrong is wrong and a body ain't got no business doing wrong when he ain't ignorant and knows better,2,2
1469-163403-0016,16,his hands was so sore at last he says it ain't no use it can't be done what you reckon i better do can't you think of no way yes i says but i reckon it ain't regular,2,2
1498-140041-0025,25,cousin cyrus is an old man an consid'able trouble but he thinks my teeth are handsome an says i've got a splendid suit of hair there ain't a person in lewiston that knows about the minister or father's will,1,1
1578-140045-0003,3,i tell you harriet beecher stowe herself couldn't a done it better justice i took it all in responded mister cobb who was pleased that mother agreed with him about rebecca i ain't sure but she's goin to turn out somethin remarkable,1,1
1578-140045-0004,4,land no mother there ain't no home'path bout miss parks she drives all over the country i can't see rebecca as a lady doctor somehow mused missus cobb her gift o gab is what's goin to be the makin of her,1,1
1746-143015-0033,33,ain't bigger nor a derringer,1,1
1746-143015-0067,67,eyeing the faces around him but it strikes me that this thing ain't exactly on the squar it's playing it pretty low down on this yer baby to ring in fun on him that he ain't goin to understand,2,2
1750-135624-0038,38,yes but that ain't all said sam again directing his master's attention to the coach door,1,1
177-122839-0007,7,ain't mister irving splendid he just worships the ground she treads on and it makes me feel so queer sometimes to see the look in his eyes when he's watching her it beggars description miss shirley ma'am i'm awful thankful they're so fond of each other it's the best way when all's said and done,1,1
1772-135621-0068,68,that ain't said jack hopkins is it bob nothing at all replied mister bob sawyer by the bye bob said hopkins with a scarcely perceptible glance at mister pickwick's attentive face,1,1
1809-143025-0022,22,and mounting a stump looked full in his face with big searching eyes you ain't mad said she with an interrogative shake of the black braids no nor bothered no nor hungry,1,1
1845-145083-0026,26,and i have miles word for it ain't any too glad to see him and shows it he phones for a taxi to go back to his hotel about nine fifteen that was miles says but decides to walk down the hill to meet it,1,1
1846-144458-0031,31,you take things so easy no use taking em otherwise my dear said mister omer no indeed returned his daughter we are all pretty gay here thank heaven ain't we father i hope so my dear said mister omer as i have got my breath now,1,1
1867-148436-0011,11,he sounds like a tenderfoot but he ain't a tenderfoot feeling that this parting shot gave him the honours of the meeting he turned away whistling with such spirit that one of his dogs overhearing stood still and gazed at his master,1,1
1867-154071-0007,7,by this time the nerves of the two watchers were shattered by the constant strain and the monotonous view from the front window was beginning to madden them it's proof that she ain't yonder said bill gregg,1,1
1867-154071-0008,8,and he grew pale at the thought partner said ronicky doone if they are trying to keep her away from us they sure have the sense to keep her under cover for as long as two days ain't that right,1,1
1867-154071-0032,32,said gregg huskily ain't there that's where you and me don't agree,1,1
1867-154071-0034,34,ain't that something done after you've done all that,1,1
1867-154075-0039,39,i ain't terrible backward with the trigger finger john mark not that i figure on bragging but i want you to pick good men for my trail and tell em to step soft is that square,1,1
188-136483-0019,19,old tom chuckled well it strikes me miss polly herself ain't lookin none the worse for wearin them ere curls round her forehead he observed dryly course she ain't retorted nancy indignantly,2,2
188-136483-0021,21,nancy shrugged her shoulders oh she ain't handsome of course but i will own up she don't look like the same woman what with the ribbons an lace jiggers miss pollyanna makes her wear round her neck,1,1
188-136483-0023,23,well i guess ye won't then from me oh mister tom come on now wheedled the girl ye see there ain't many folks here that i can ask maybe not but there's one anyhow that ain't answerin,2,2
188-136483-0025,25,there ain't no special diff'rence as i can see or anybody i guess she jest lays there an sleeps an talks some an tries ter smile an be glad cause the sun sets or the moon rises or some other such thing,1,1
188-136483-0028,28,cause i was already bent part way over nancy gave a wistful laugh well i ain't surprised after all you might know she'd find somethin we've been playin it that game since almost the first,1,1
188-141613-0034,34,and you've known me ever since repeated jimmy but in a far different voice jimmy had suddenly come back to the present and to his grievance but then i ain't jamie you know he finished with scornful emphasis,1,1
1901-48014-0006,6,they'd give yer prizes for size an numbers an speed i guess why say they're real crowded for room the plants ain't give em enough leaves to roost on have you tried bug death,1,1
1944-159227-0012,12,but he would not hear lucindy blamed and said quickly she ain't my wife yet but we calk'lated to be married in a month or so,1,1
1944-159228-0010,10,ain't this luck now gasped joe as gratefully as if that hospital cot was a bed of roses what is the matter a wound in the head and arm i asked,1,1
1944-159228-0022,22,she ain't no folks of her own nor much means and ought to marry a man who can make things easy for her guess i'll have to wait a spell longer before i say anything to lucindy about marryin now,1,1
1944-159230-0015,15,there ain't much left of me but bones and pain ma'am i'm powerful glad to see you all the same dust off a chair patsey and let the lady set down,1,1
1944-159230-0017,17,but you hadn't got back and then somehow i thought i was goin to be mustered out for good and so wouldn't trouble nobody but my orders ain't come yet and i am doing the fust thing that come along,1,1
1944-159230-0018,18,it ain't much but the good soul stood by me and i ain't ashamed to pay my debts this way sence i can't do it in no other,2,2
1944-159230-0031,31,i can hobble some but i ain't got used to bein a scarecrow yet and joe glanced from the hose without heels that hung on the line to the ragged suit he wore with a resigned expression,1,1
1961-149739-0004,4,first i thought i'd take me hatchet and cut it down for it ain't thicker than me upper arm then i remembered how it was blooming in the spring and filling all the air with sweetness the coloring of the blossoms is beautiful and i hated to be killing it,1,1
1970-26100-0026,26,motioning the angry jackson away he he set down at de table but he ain't eat none the boy stuttered what do you mean george,1,1
1970-26100-0027,27,ah brung him some soup but he got up powful sudden lak he had a call to de telephome an he ain't come back are you sure of that george yas suh,1,1
1970-26100-0028,28,ah ast him did he want dinnah aftah he come back but he say he ain't hongry what time was it when he came back i asked,1,1
1985-144468-0090,90,ain't i what said the gentleman behind bred them suffolk punches by wholesale,1,1
1985-144468-0101,101,well now said the waiter in a tone of confidence what would you like for dinner young gentlemen likes poultry in general have a fowl i told him as majestically as i could that i wasn't in the humour for a fowl ain't you said the waiter,1,1
1998-29454-0016,16,ain't bad when she's in a good temper,1,1
1998-29454-0017,17,that ain't what she'll be in when you gets back,1,1
1998-29454-0021,21,i ain't it yer have i like what yer aunt do,1,1
1998-29454-0034,34,wild ones ain't alf the size i lay,1,1
1998-29455-0025,25,which this ain't not by no means,1,1
1998-29455-0030,30,i ain't sure as i adn't better stick to the road and keep away from old ands like you jim,1,1
1998-29455-0032,32,if e's straight e'll do for me and if he ain't i'll do for im see,1,1
2003-143254-0029,29,i should say about twenty five feet why we ain't four foot above it now and look there,1,1
2053-138901-0034,34,you know you put it into my head your own self pleaded mister cheesacre didn't you now but things are so different since that said the widow how different i ain't different,1,1
2053-138901-0050,50,i have heard so much of mister cheesacre but have never seen him kate suggested that she should get into the gig and drive after him he ain't a been and took hisself off suggested the boy whose face became very dismal as the terrible idea struck him,1,1
207-131203-0018,18,though to be sure said diamond's father with what truth i cannot say but he believed what he said some ladies is very hard and keeps you to the bare sixpence a mile when every one knows that ain't enough to keep a family and a cab upon to be sure it's the law,1,1
2085-147970-0017,17,i hope your grandpa ain't lose no stacks no we did n't i came to ask you something tony grandmother wants to know if you can't go to the term of school that begins next week over at the sod schoolhouse she says there's a good teacher and you'd learn a lot,1,1
2085-147970-0018,18,antonia stood up lifting and dropping her shoulders as if they were stiff i ain't got time to learn i can work like mans now my mother can't say no more how ambrosch do all and nobody to help him i can work as much as him,1,1
2085-147971-0007,7,this what you want he asked surlily jake jumped off his horse i saw a wave of red come up under the rough stubble on his face that ain't the piece of harness i loaned you ambrosch or if it is you've used it shameful,1,1
2085-147971-0008,8,i ain't a going to carry such a looking thing back to mister burden ambrosch dropped the collar on the ground all right he said coolly took up his oil can and began to climb the mill jake caught him by the belt of his trousers and yanked him back,1,1
2085-147971-0015,15,these foreigners ain't the same you can't trust em to be fair it's dirty to kick a feller you heard how the women turned on you,1,1
2085-147971-0016,16,they ain't to be trusted i don't want to see you get too thick with any of em,1,1
2085-147971-0046,46,jake laughed sheepishly i don't want to have no trouble with ambrosch if he'll let me alone i'll let him alone if he slap you we ain't got no pig for pay the fine she said insinuatingly,1,1
210-129396-0113,113,luck or one's neighbor in the days of astrology it was customary to unload it upon a star alas things ain't what we should see if eve had let that apple be and many a feller which had ought,1,1
2254-152826-0020,20,till at last i said it ain't no use he's froze too hard to thaw he's obstinate and he won't lie straight so i guess i got to saw so i sawed off poor bill's arms and legs,1,1
226-122538-0014,14,seven pence apenny of this stuff ain't much for carrying all that along i don't think grumbled his mate and jane's young porter experienced the double joy of faith confirmed and willing service generously rewarded a telegraph boy walked along the train saying,1,1
2285-163380-0029,29,there ain't no sense in it go for the steam ferry now if you'll go and,1,1
2285-163381-0031,31,shucks it ain't calling you anything it's only saying do you know how to talk french well den why couldn't he say it why he is a saying it,1,1
2285-163381-0034,34,does a cat talk like a cow or a cow talk like a cat no dey don't it's natural and right for em to talk different from each other ain't it course and ain't it natural and right,2,2
2297-28913-0021,21,i am sorry for it i can say nothing else you ain't so sorry for it as i am oh no you can never be that my lord after all what does it matter to you,1,1
2297-28913-0031,31,i ain't said it all yet he's here in london who's here green he's here he doesn't think that i know but i could lay my hand on him to morrow,1,1
2309-167347-0015,15,we gotta travel a piece yet say jake be you a man or be you a poor dumb critter what ain't got no spunk,1,1
2341-163407-0027,27,his eyes just blazed and he says no is that so ain't it bully why huck if it was to do over again,1,1
2341-163408-0039,39,and as for that sheet they made the rag ladder out of ther ain't no telling how many times they didn't steal that and flour and candles and candlesticks and spoons,1,1
2341-163408-0051,51,and the door ain't locked and you she stopped looking kind of wondering and then she turned her head around slow and when her eye lit on me i got up and took a walk,1,1
2341-163408-0058,58,no you won't she says you'll stay right wher you are one's enough to be lost at a time if he ain't here to supper your uncle ll go well,1,1
2341-163408-0066,66,and when she was going away she looked down in my eyes so steady and gentle and says the door ain't going to be locked tom and there's the window and the rod,1,1
2393-144496-0059,59,to keep off seeing me for though she ain't no call to doubt my love and doen't and doen't,1,1
2405-148581-0022,22,he held the oriental toy against the light oh i ain't a judge but now and then i like to pick up a pretty thing ralph noticed that his eyes caressed it well now let's talk,1,1
2445-148556-0035,35,funny to think of ain't it undine recovering herself held out her hand impulsively i'm real glad of it i mean i'm real glad,1,1
2445-148556-0057,57,i ain't going to interrupt the wedding march he began to whistle a bar of lohengrin i only just want one little promise in return,1,1
2532-163402-0002,2,there ain't no watchman to be druggednow there ought to be a watchman there ain't even a dog to give a sleeping mixture to and there's jim chained by one leg with a ten foot chain to the leg of his bed,2,2
2532-163402-0013,13,ain't necessity enough for it for what i says,1,1
2532-163402-0014,14,why there ain't no necessity for it and what would you want to saw his leg off for anyway well some of the best authorities has done it they couldn't get the chain off so they just cut their hand off and shoved and a leg would be better still but we got to let that go,1,1
2532-163402-0015,15,there ain't necessity enough in this case and besides jim's a nigger and wouldn't understand the reasons for it and how it's the custom in europe so we'll let it go but there's one thinghe,1,1
2532-163402-0016,16,why tom sawyer how you talk i says jim ain't got no use for a rope ladder he has got use for it how you talk you better say you don't know nothing about it,1,1
2532-163402-0028,28,the iron mask always done that and it's a blame good way too jim ain't got no tin plates they feed him in a pan that ain't nothing we can get him some can't nobody read his plates,2,2
2532-163402-0029,29,that ain't got anything to do with it huck finn all he's got to do is to write on the plate and throw it out you don't have to be able to read it,1,1
2532-163402-0031,31,but it's somebody's plates ain't it well spos'n it is what does the prisoner care whose he broke off there because we heard the breakfast horn blowing so we cleared out for the house,1,1
2532-163402-0038,38,why to dig with we ain't a going to gnaw him out are we ain't them old crippled picks and things in there good enough to dig a nigger out with i says he turns on me looking pitying enough to make a body cry and says,2,2
2532-163402-0046,46,because it mayn't take very long for uncle silas to hear from down there by new orleans he'll hear jim ain't from there then his next move will be to advertise jim or something like that so we can't resk being as long digging him out as we ought to,1,1
2532-163402-0049,49,now there's sense in that i says letting on don't cost nothing letting on ain't no trouble and if it's any object i don't mind letting on we was at it a hundred and fifty year,1,1
2544-27475-0005,5,don't bother your head it ain't the best part of you about things that can't be helped we're not the only horses that can't be kept on the course,1,1
2552-132097-0110,110,i ain't afraid of robbers he declared strutting up and down when they come i shall just cut them in two with my sword which papa gave me they did come once i did cut them in two three five eleven of em you'll see,1,1
2573-178450-0006,6,he'll go back to the machine he couldn't learn to tend properly in the six months he was there and he'll stick to it till he does learn it do you suppose that lummix ever asked himself why i want him to learn it no and i ain't a goin to tell him either,1,1
2573-178450-0008,8,now labor ain't any more a simple question than what it was when we were young my idea is that outside o union troubles the man that can manage workin' men is the man that's been one himself,1,1
2573-178450-0017,17,but it's frothin and bubblin in the boiler this country's been fillin up with it from all over the world for a good many years and the old camp meetin days are dead and done with church ain't what it used to be nothin's what it used to be,1,1
2573-178450-0024,24,this is the business man's day it used to be the soldier's day and the statesman's day but this is ours and it ain't a sunday to go fishin' it's turmoil turmoil,1,1
2606-132102-0079,79,and brood upon my breast that's sweet ain't it hasn't he reformed said clover he writes as if he had reformed,1,1
264-121332-0083,83,ain't she beautiful enter a floor walker silence till he moves forward smirking society person ain't she yeah but poor now i guess so they say,2,2
264-121332-0084,84,gee girls ain't she some kid and clara beamed on all alike amory believed that tradespeople gave her discounts sometimes to her knowledge and sometimes without it he knew she dressed very well,1,1
273-129288-0011,11,i will directly sir replied oliver undoing the chain and turning the key i suppose yer the new boy ain't yer said the voice through the key hole yes sir replied oliver how old are yer inquired the voice,1,1
2769-176256-0022,22,and as for the slant of the light on the glass there ain't much glass for the light to slant on i saw him peeping through that bottom broken pane on your left hand as plainly as i see you,1,1
2769-176256-0023,23,he's at the back ain't there a cupboard nor nothing where he could hide the cabman's manner was so extremely earnest that i went myself to see there was a cupboard on the landing but the door of that stood wide open and that obviously was bare,1,1
2769-176256-0031,31,but for you to say that he wasn't there and never had been blimey that cops the biscuit if he wasn't there all i can say is i ain't here and my orse ain't here and my cab ain't neither damn it the house ain't here and nothing ain't,5,5
2769-176256-0036,36,how am i to know what the thing's called i ain't up in foreign languages,1,1
2769-176263-0007,7,i thought you never was a comin that i did she recognised the inspector it's you mister phillips is it perceiving us she drew a little back who's them ere parties they ain't coppers,1,1
283-130638-0046,46,in fact at first glance i thought it was a cod ah said the old gentleman following the direction of my gaze fine fellow that ain't he quite uncommon i murmured,1,1
288-131218-0020,20,you make me ashamed of being a horse you dare to say my master ain't your master that's your gratitude for the way he feeds you and spares you pray where would your carcass be if it weren't for him,1,1
288-131218-0022,22,you're a disgrace to the stable look at the horse next you he's something like a horse all skin and bone and his master ain't over kind to him either he put a stinging lash on his whip last week but that old horse knows he's got the wife and children to keep,1,1
288-131218-0026,26,you go along like a buttock of beef upon castors you do ain't you afraid i'll kick if you go on like that diamond,1,1
288-131218-0031,31,ankle indeed why should you ape your betters horses ain't got any ankles,1,1
288-131218-0037,37,because i wanted to grow fat you grease tub oh my teeth and tail i thought you were a humbug why did you want to get fat there's no truth to be got out of you but by cross questioning you ain't fit to be a horse because,1,1
288-131220-0004,4,during which they had been talking of her new prospects that nanny expressed to diamond her opinion of the country there ain't nothing in it but the sun and moon diamond there's trees and flowers said diamond,1,1
288-131220-0011,11,people's kind to lame boys you know sir but after dark there ain't so much doing diamond succeeded in bringing jim to mister raymond and the consequence was that he resolved to give the boy a chance he provided new clothes for both him and nanny,1,1
29-130626-0051,51,took up an independent position on the curb they ain't a going to starve are they said the gentleman from the boot shop ah you'd want to take a thing or two with you retorted the blue posts,1,1
2946-163375-0012,12,now i reckon the widow or the parson or somebody prayed that this bread would find me and here it has gone and done it so there ain't no doubt but there is something in that thingthat,1,1
2946-163375-0037,37,there warn't much sand in my craw but i says this ain't no time to be fooling around,1,1
2946-163375-0058,58,what all that time yesindeedy and ain't you had nothing but that kind of rubbage to eat no sahnuffn else well you must be most starved ain't you,2,2
2946-163375-0078,78,but i ain't no mo now,1,1
2946-163375-0090,90,and so you ain't had no meat nor bread to eat all this time why didn't you get mud turkles,1,1
3005-163391-0009,9,but then i says again no i reckon it ain't him or else he wouldn't be paddling up the river you ain't him are you,2,2
3005-163391-0017,17,old peter had friends and they ain't going to let them come to no harm,1,1
3005-163399-0025,25,why silas look yonder up the road ain't that somebody coming,1,1
3033-130750-0063,63,not of a spindle legged cuss like him shouted charlie because i ain't change of front,1,1
3045-163406-0027,27,but i ain't going to make no complaint any way that suits you suits me,1,1
3045-163406-0031,31,that ain't got nothing to do with it the thing for us to do is just to do our duty and not worry about whether anybody sees us do it or not hain't you got no principle at all all right i ain't saying nothing i'm the servant girl,2,2
307-127535-0024,24,speak up to the others ah the others returned john they're a nice lot ain't they you say this cruise is bungled ah by gum if you could understand how bad it's bungled you would see,1,1
3072-155948-0017,17,it was while hunting in vain for a grouse that i came on the bear and killed it as above described when i reached the settlement and went into the store the storekeeper identified me by remarking you're the tenderfoot that old hank was trundling ain't you,1,1
3083-7944-0057,57,there ain't nobody there to night and as near as i can make out there's three ewes and their lambs missing there ain't a bit of use in us trying to depend on pete i'll ride over on bear creek to morrow and see if i can get that fellow buck told us about,2,2
3083-7944-0060,60,difficult no there ain't nothing to do but tendin to the sheep the man has to stay at the ranch of nights though mister howitt was wondering what staying at the ranch nights could have to do with the difficulty,1,1
3083-7944-0070,70,it's no use honey said missus matthews breaking the silence it just ain't no use,1,1
3259-158083-0033,33,as they ran me past she was lying there with her arms out and we heard one of the men yell the suffrager my mother ain't no suffrager i'll put you through at the end of the corridor,1,1
3370-163384-0007,7,they held the candle and took a good look at me and all said why he ain't a shepherdsonno,1,1
3370-163384-0012,12,and he was dragging a gun along with the other one he says ain't they no shepherdsons around they said no twas a false alarm well he says,1,1
3370-163384-0019,19,and buttermilkthat is what they had for me down there and there ain't nothing better that ever i've come across yet buck and his ma and all of them smoked cob pipes except the nigger woman which was gone and the two young women,1,1
3370-163384-0049,49,in the realms of the good and great if emmeline grangerford could make poetry like that before she was fourteen there ain't no telling what she could a done by and by buck said she could rattle off poetry like nothing,1,1
3380-64298-0012,12,when he came to himself mary was binding up his arm what a fool i am he said trying to get up but yielding at once to mary's prevention ain't it ridic'lous now miss that a man of my size,1,1
3380-64298-0014,14,you have lost a good deal of blood her voice faltered she had been greatly alarmed and the more that she had not light enough to get the edges of the wound properly together you've stopped it ain't you miss i think so,1,1
3490-177641-0009,9,he sat eyes unfocused feeling the movement of animal life in the jungle around them on the way he said biggest thing i ver heard not a beast tween here and the mountains ain't howlin is lungs out runnin towards the city jason was aware of part of it,1,1
3493-17615-0015,15,but the man growled in a low tone shut up ain't you got no manners shirley prolonged that meal as much as music could do it for she had no relish for a more intimate tete a tete with either of her companions,1,1
3526-176653-0021,21,the girl shrank to the bushes but she cried sharply back don't you hurt him now dad he ain't even got a pistol he ain't no shet up,2,2
3536-8226-0007,7,of course it ain't said missus bozzle,1,1
3536-8226-0010,10,when a married woman has followers and the husband don't go the wrong side of the post too or it ain't proved again him that he do they'll never let her have nothing to do with the children,1,1
3536-8226-0011,11,i'll tell you what it is b exclaimed missus bozzle it's my belief as he ain't quite right up here and missus bozzle touched her forehead,1,1
3546-175390-0018,18,sleep dang likely now ain't it night sounds were becoming day sounds the far away hooting of freight engines seemed brisker than an hour ago in the dark,1,1
3691-178109-0025,25,pinning your ears back and jiu jitsing the fried chicken and then doing a high dive into a little dish that ain't that isn't either a wash bowl or real good lemonade,1,1
3691-178118-0028,28,claire thought of the still hand so still that she had seen under the edge of the upturned car she tried to speak while the woman raved on wrath feeding wrath thank god i ain't really his wife my husband is a fine man mister kloh,1,1
3691-178118-0031,31,and i ain't going to wait here any longer for that lying cheating mean talking,1,1
3738-176680-0046,46,and whenever he did speak she knew what he was going to say it's all over juny they've beat us on every turn they've got us one by one thar ain't but a few of us left now and when i git up if i ever do,1,1
3738-176682-0022,22,you might send me word uncle dan ahead so that he can't waylay me i'll do that very thing said the old man seriously i was joking uncle dan but i ain't the matter was out of hale's head before he got through the great gap,1,1
3744-177438-0021,21,who's rupe collins who is he echoed the fat faced boy incredulously say ain't you got any sense what say wouldn't you be just as happy if you had some sense,1,1
3744-177438-0026,26,yes he said feebly drawing back my name's penrod schofield then i reckon your father and mother ain't got good sense said mister collins promptly this also being formula why cause if they had they'd of give you a good name,1,1
3744-178590-0018,18,and i bet it ain't good for him come on said penrod closing the door that gave entrance to the stalls we got to get this horse some drinkin' water and some good food they tried whitey's appetite first with an autumnal branch that they wrenched from a hardy maple in the yard,1,1
3744-178590-0023,23,yes i will sam returned bitterly then as whitey had dragged the remains of the branch from the manger to the floor of the stall sam scrambled to the top of the manger and looked over there ain't much left to take away he's swallered it all except some splinters,1,1
377-129292-0029,29,but very neat and nicely made ingenious workman ain't he oliver very indeed sir said oliver at which mister charles bates laughed uproariously,1,1
3780-177784-0017,17,what's these places ain't they dark these are arbours where we as shrimps and tea i'll take you next saturday if you'll come a noisy band of young men followed by three or four girls ran across the bridge,1,1
3780-177788-0006,6,that my esther ain't a bad girl missus saunders sat nodding her head a sweet uncritical mother and esther understood how unselfishly her mother loved her and how simply she thought of how,1,1
3783-176659-0009,9,and the grizzled judge was speaking angrily this is the third time you've had this trial postponed because you hain't got no lawyer i ain't goin to put it off have you got you a lawyer now yes jedge said the defendant,1,1
3783-176659-0015,15,why don't somebody shoot he asked sarcastically you're a purty set o fools ain't you,1,1
3783-176659-0026,26,and one of the boys ran his eyes up boot and leg and if they were lifted higher hale could not tell whar'd you git him he squeaked the girl turned her head as the mule broke into a trot ain't got time to tell they are my cousins explained the girl,1,1
3783-176659-0044,44,maybe i am my name's hale the girl laughed well if this ain't the beatenest i've heerd june talk about you,1,1
3783-176659-0045,45,i reckon we'll see dave purty soon if this ain't the beatenest she repeated and she laughed again as she always did laugh it seemed to hale when there was any prospect of getting him into trouble,1,1
3783-176659-0059,59,whar again the temptation was too great talking to the falin who started the row this time the red fox wheeled sharply and his pale blue eyes filled with suspicion i keeps friends with both sides he said ain't many folks can do that i reckon not,1,1
3792-176660-0013,13,you told her you was comin back an ever'body told her you wasn't but that leetle gal al'ays said she knowed you was because you said you was she's growed some an if she ain't purty well i'd tell a man,1,1
3792-176660-0026,26,i got to get on back home said june rising no you ain't i bet you got dinner fer yo step mammy afore you left an i jes know you was aimin to take a snack with me an ole hon the little girl hesitated,1,1
3792-176660-0037,37,he ain't come back hyeh jes fer coal said ole hon shucks said uncle billy you women folks can't think bout nothin cept one thing he's too old fer her,1,1
3792-176660-0042,42,but she isn't as nice as you are he added quickly and the girl's quivering mouth steadied the tears stopped in her vexed dark eyes and she lifted them to him at last she ain't,1,1
3792-176660-0043,43,no indeed she ain't for a while they rode along again in silence june no longer avoided his eyes now and the unspoken question in her own presently came out,1,1
380-129064-0056,56,he ain't got manners but there's something about him and thus captain bragg showed that he possessed discrimination as a man as well as ability as a commander but a calm taking place when the ramchunder was within ten days sail of england,1,1
3807-4923-0032,32,come come sir returned the soldier sulkily this ain't the time to bully and as for mutiny why one man's about as good as another just now this speech from the lips of a man who,1,1
3819-134146-0058,58,put him to bed at once and give him a cooling draught i ain't been dreaming his exalted fatness remonstrated as the professor led him away bad grammar sir,1,1
3843-176663-0035,35,i've come over to take ye home you oughter be ashamed o yourself she said hotly and she turned to go back into the house oh you ain't ready now well git ready an we'll start in the mornin i'll be aroun fer ye,1,1
3843-176666-0064,64,why ye ain't a bit changed i knowed ye wasn't goin to put on no airs like dave thar said she turned on dave who with a surly shrug wheeled and went back into the store uncle billy was going home come down to see us right away now he called back,1,1
3853-163249-0033,33,no he ain't it's a trainer added ann lizy,1,1
