File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,IterationNumber,Content,SyllableCount,SpeechRate,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,Content_WordCount,Content_PreFeature,Content_PreFeature_WordCount,Content_PostFeature,Content_PostFeature_WordCount,Content_cleaned,Content_cleaned_WordCount,Content_cleaned_PreFeature,Content_cleaned_PreFeature_WordCount,Content_cleaned_PostFeature,Content_cleaned_PostFeature_WordCount,amazon_transcription,amazon_transcription_WordCount,amazon_transcription_cleaned,amazon_transcription_cleaned_WordCount,amazon_transcription_cleaned_TotalWER,deepspeech_transcription,deepspeech_transcription_WordCount,deepspeech_transcription_cleaned,deepspeech_transcription_cleaned_WordCount,deepspeech_transcription_cleaned_TotalWER,deepspeech_ConfidenceLevel,google_transcription,google_transcription_WordCount,google_transcription_cleaned,google_transcription_cleaned_WordCount,google_transcription_cleaned_TotalWER,google_ConfidenceLevel,IBMWatson_transcription,IBMWatson_transcription_WordCount,IBMWatson_transcription_cleaned,IBMWatson_transcription_cleaned_WordCount,IBMWatson_transcription_cleaned_TotalWER,IBMWatson_ConfidenceLevel,microsoft_transcription,microsoft_transcription_WordCount,microsoft_transcription_cleaned,microsoft_transcription_cleaned_WordCount,microsoft_transcription_cleaned_TotalWER
ATL_se0_ag1_m_04_1,518,ATL_se0_ag1_m_04,704.0631,711.1425,7.0794,2,0,1,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this done, or you got to have this done. It's more so me saying like,",40,5.650196344,7.383063211,7.33,6.75,36,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this ",22," or you got to have this done. It's more so me saying like,",13,i it 's it 's it 's no it 's n it 's not like i 'm going into it saying like ay you got to have this done or you got to have this done it 's more so me saying like,43,i it 's it 's it 's no it 's n it 's not like i 'm going into it saying like ay you got to have this ,28,or you got to have this done it 's more so me saying like,14,"It's not it's not like I'm going into and saying like, hey, you got to have this done or you got to have this done this more so than me saying like.",32,it 's not it 's not like i 'm going into and saying like hey you got to have this done or you got to have this done this more so than me saying like,35,0.325581395,it is not not like i'm going to say got to head his eye got to have it in this more so headlike,23,it is not not like i 'm going to say got to head his eye got to have it in this more so headlike,24,0.697674419,-213.707489,Is it is not it is not like I'm going to a saying like you got to have this done or you got to have this done this more. So I mean sound like,34,is it is not it is not like i 'm going to a saying like you got to have this done or you got to have this done this more so i mean sound like,35,0.441860465,0.880918145,is is is not is is not like I'm going to its and I you got to have it is done when you got that is that is more so I'm you saying like ,34,is is is not is is not like i 'm going to its and i you got to have it is done when you got that is that is more so i 'm you saying like,36,0.697674419,0.68,"Is is not is not like I'm going into it saying like, hey, you got the head is done or you got to have this done. It's more so I'm saying like.",32,is is not is not like i 'm going into it saying like hey you got the head is done or you got to have this done it 's more so i 'm saying like,35,0.441860465
ATL_se0_ag1_m_04_1,518,ATL_se0_ag1_m_04,704.0631,711.1425,7.0794,2,0,2,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this done, or you got to have this done. It's more so me saying like,",40,5.650196344,7.383063211,7.33,6.75,36,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this done, or you got to have this ",29," It's more so me saying like,",6,i it 's it 's it 's no it 's n it 's not like i 'm going into it saying like ay you got to have this done or you got to have this done it 's more so me saying like,43,i it 's it 's it 's no it 's n it 's not like i 'm going into it saying like ay you got to have this done or you got to have this ,35,it 's more so me saying like,7,"It's not it's not like I'm going into and saying like, hey, you got to have this done or you got to have this done this more so than me saying like.",32,it 's not it 's not like i 'm going into and saying like hey you got to have this done or you got to have this done this more so than me saying like,35,0.325581395,it is not not like i'm going to say got to head his eye got to have it in this more so headlike,23,it is not not like i 'm going to say got to head his eye got to have it in this more so headlike,24,0.697674419,-213.707489,Is it is not it is not like I'm going to a saying like you got to have this done or you got to have this done this more. So I mean sound like,34,is it is not it is not like i 'm going to a saying like you got to have this done or you got to have this done this more so i mean sound like,35,0.441860465,0.880918145,is is is not is is not like I'm going to its and I you got to have it is done when you got that is that is more so I'm you saying like ,34,is is is not is is not like i 'm going to its and i you got to have it is done when you got that is that is more so i 'm you saying like,36,0.697674419,0.68,"Is is not is not like I'm going into it saying like, hey, you got the head is done or you got to have this done. It's more so I'm saying like.",32,is is not is not like i 'm going into it saying like hey you got the head is done or you got to have this done it 's more so i 'm saying like,35,0.441860465
ATL_se0_ag1_m_04_1,650,ATL_se0_ag1_m_04,873.7069,877.2424,3.5355,1,1,1,before they even realize what you got. And a lot of people- I done had people,22,6.222599349,9.301511102,9.2,4.5,16,before they even realize what you got. And a lot of people- I ,13,had people,2,before they even realize what you got and a lot of people i done had people,16,before they even realize what you got and a lot of people i ,13,had people,2,"Before they even realize what you've got a lot of people, I don't have people.",15,before they even realize what you 've got a lot of people i do n't have people,17,0.3125,in reality go on loyal,5,in reality go on loyal,5,1,-122.03228,"Before they even realize what you got, a lot to be riding happy.",13,before they even realize what you got a lot to be riding happy,13,0.4375,0.903121948,before %HESITATION they even realize what you've got a lot of the rod I have people ,16,before they even realize what you 've got a lot of the rod i have people,16,0.375,0.54,"Before they even realize what you got, a lot of people, I don't have people.",15,before they even realize what you got a lot of people i do n't have people,16,0.25
ATL_se0_ag1_m_04_1,686,ATL_int_01,930.7423,934.9223,4.18,1,1,1,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,22,5.263157895,17.35378875,17.31,8,20,Hold up now cause I- I ,6,been to a couple your shows. I haven't been to all of 'em,13,hold up now because i i done been to a couple your shows i have n't been to all of em,21,hold up now because i i ,6,been to a couple your shows i have n't been to all of em,14,You wanna you wanna you wanna what year you graduate?,10,you want to you want to you want to what year you graduate,13,0.952380952,you want a new one when you your,8,you want a new one when you your,8,0.952380952,-73.59070587,"Do you want to, you want to do, you want to hook up with you so that what year you grow?",21,do you want to you want to do you want to hook up with you so that what year you grow,21,1,0.742456615,%HESITATION you want you want ,5,you want you want,4,1,0.79,You wanna you wanna you want to come here? So I mean what year you guys?,16,you want to you want to you want to come here so i mean what year you guys,18,0.904761905
ATL_se0_ag1_m_04_2,245,ATL_int_01,335.5831,338.732,3.1489,1,1,1,"I mean, nobody had done been, um, coming to you tryna push that",17,5.398710661,12.36156444,12.08,4.75,13,"I mean, nobody had ",4,"been, um, coming to you tryna push that",8,i mean nobody had done been um coming to you trying to push that,14,i mean nobody had ,4,been um coming to you trying to push that,9,I mean nobody hasn't been coming to you trying to push that.,12,i mean nobody has n't been coming to you trying to push that,13,0.214285714,by becoming a topic,4,by becoming a topic,4,1,-76.80197144,"I'm a nobody, haven't been coming to try to push that.",11,i 'm a nobody have n't been coming to try to push that,13,0.5,0.759405375,I mean nobody has been %HESITATION coming to try to push ,11,i mean nobody has been coming to try to push,10,0.428571429,0.54,"I mean, nobody haven't been. I'm coming to you trying to push that.",13,i mean nobody have n't been i 'm coming to you trying to push that,15,0.285714286
ATL_se0_ag1_m_05_1,237,ATL_se0_ag1_m_05,354.6723,358.4102,3.7379,1,0,1,"talent shows, and, um, I've actually done some things for the basketball team,",17,4.54800824,9.992649429,9.91,5,13,"talent shows, and, um, I've actually ",6,"some things for the basketball team,",6,talent shows and um i 've actually done some things for the basketball team,14,talent shows and um i 've actually ,7,some things for the basketball team,6,Talent shows and um I've actually done something for the basketball team.,12,talent shows and um i 've actually done something for the basketball team,13,0.142857143,shows and i actually done some things for the basketball team,11,shows and i actually done some things for the basketball team,11,0.214285714,-56.76678085,"Talent shows in my backseat, done some things for the basketball team.",12,talent shows in my backseat done some things for the basketball team,12,0.357142857,0.927665472,talent shows and %HESITATION I've actually done some things for the basketball team ,13,talent shows and i 've actually done some things for the basketball team,13,0.071428571,0.87,"Talent shows, and I've actually done some things for the basketball team.",12,talent shows and i 've actually done some things for the basketball team,13,0.071428571
ATL_se0_ag1_m_05_1,659,ATL_int_01,1028.3039,1029.7061,1.4022,1,1,1,I done did a few folks,6,4.278990158,17.52899969,16.09,6,6,I ,1,did a few folks,4,i done did a few folks,6,i ,1,did a few folks,4,Did A Few Folks?,4,did a few folks,4,0.333333333,,,,,,-12.85699081,,,,,,0,you folks ,2,you folks,2,0.833333333,0.46,I did a few folks.,5,i did a few folks,5,0.166666667
ATL_se0_ag1_m_05_1,1080,ATL_se0_ag1_m_05,1640.326,1643.3616,3.0356,1,1,1,"uh, you done went out let's say a night after that as well too,",15,4.941362498,7.263524981,7.2,4.75,14,"uh, you ",2,"went out let's say a night after that as well too,",11,uh you done went out let 's say a night after that as well too,15,uh you ,2,went out let 's say a night after that as well too,12,You don't want out let's say a night after that as well too.,13,you do n't want out let 's say a night after that as well too,15,0.266666667,you don't win out let's say a night after that is well to,13,you do n't win out let 's say a night after that is well to,15,0.4,-67.79585266,You don't want out. Let's stay a night after that as well too.,13,you do n't want out let 's stay a night after that as well too,15,0.333333333,0.785125136,%HESITATION you don't win out let's say and I after that as well to ,14,you do n't win out let 's say and i after that as well to,15,0.466666667,0.71,"You don't want out, let's say a night after that as well too.",13,you do n't want out let 's say a night after that as well too,15,0.266666667
ATL_se0_ag2_f_01_1,932,ATL_se0_ag2_f_01,1300.6843,1307.9252,7.2409,2,0,1,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be done, your nails gotta be done.",42,5.80038393,17.41315648,17.1,33.25,37,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be ",31, your nails gotta be done.,5,because you walking all the time you got to look fresh you have to have your fresh sneaker on your fresh outfit on if you 're a girl your hair have to be done your nails got to be done,40,because you walking all the time you got to look fresh you have to have your fresh sneaker on your fresh outfit on if you 're a girl your hair have to be ,33,your nails got to be done,6,,,,,,walking all the time you got a look fresh you have that your fresh men on your fresh oenone grahame donnegan,21,walking all the time you got a look fresh you have that your fresh men on your fresh oenone grahame donnegan,21,0.625,-285.0726318,"I'm working all the time. You got to look fresh, you have that, refresh me, only a fresh outfit on. If your girl your hair have to be done, your nails, got to be none.",35,i 'm working all the time you got to look fresh you have that refresh me only a fresh outfit on if your girl your hair have to be done your nails got to be none,36,0.35,0.930571854,cause him walking all the time you got to look fresh you have that refreshed me going fresh out but on if you go you have to be done you know that would be nine ,35,because him walking all the time you got to look fresh you have that refreshed me going fresh out but on if you go you have to be done you know that would be nine,35,0.5,0.55,"'cause you working all the time, you gotta look fresh. You have that refresh nikonian fresh outfit on if you have girl you have to be done. Your nail gotta be done.",32,because you working all the time you got to look fresh you have that refresh nikonian fresh outfit on if you have girl you have to be done your nail got to be done,34,0.325
ATL_se0_ag2_f_01_1,932,ATL_se0_ag2_f_01,1300.6843,1307.9252,7.2409,2,0,2,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be done, your nails gotta be done.",42,5.80038393,17.41315648,17.1,33.25,37,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be done, your nails gotta be ",36,,0,because you walking all the time you got to look fresh you have to have your fresh sneaker on your fresh outfit on if you 're a girl your hair have to be done your nails got to be done,40,because you walking all the time you got to look fresh you have to have your fresh sneaker on your fresh outfit on if you 're a girl your hair have to be done your nails got to be ,39,,0,,,,,,walking all the time you got a look fresh you have that your fresh men on your fresh oenone grahame donnegan,21,walking all the time you got a look fresh you have that your fresh men on your fresh oenone grahame donnegan,21,0.625,-285.0726318,"I'm working all the time. You got to look fresh, you have that, refresh me, only a fresh outfit on. If your girl your hair have to be done, your nails, got to be none.",35,i 'm working all the time you got to look fresh you have that refresh me only a fresh outfit on if your girl your hair have to be done your nails got to be none,36,0.35,0.930571854,cause him walking all the time you got to look fresh you have that refreshed me going fresh out but on if you go you have to be done you know that would be nine ,35,because him walking all the time you got to look fresh you have that refreshed me going fresh out but on if you go you have to be done you know that would be nine,35,0.5,0.55,"'cause you working all the time, you gotta look fresh. You have that refresh nikonian fresh outfit on if you have girl you have to be done. Your nail gotta be done.",32,because you working all the time you got to look fresh you have that refresh nikonian fresh outfit on if you have girl you have to be done your nail got to be done,34,0.325
ATL_se0_ag2_m_01_1,593,ATL_se0_ag2_m_01,766.4818,769.6417,3.1599,1,1,1,"It gets rogue because you done depressed yourself so much,",13,4.114054242,12.06385498,11.98,8,10,It gets rogue because you ,5,"depressed yourself so much,",4,it gets rogue because you done depressed yourself so much,10,it gets rogue because you ,5,depressed yourself so much,4,It gets road because you didn't depress yourself so much.,10,it gets road because you did n't depress yourself so much,11,0.4,a road because you and oppressed yourself so much,9,a road because you and oppressed yourself so much,9,0.5,-68.28694916,It gets road because you didn't depress yourself so much.,10,it gets road because you did n't depress yourself so much,11,0.4,0.829058647,it gives road because you've been depressed yourselves so much ,10,it gives road because you 've been depressed yourselves so much,11,0.5,0.53,It gets Rd because you didn't depressed yourself so much.,10,it gets rd because you did n't depressed yourself so much,11,0.3
ATL_se0_ag2_m_02_1,2059,ATL_int_01,2344.8628,2345.7682,0.9054,1,0,1,"Nah, I'm done man.",4,4.417936824,7.65286806,7.54,8.5,4,"Nah, I'm ",2,man.,1,nah i 'm done man,5,nah i 'm ,3,man,1,Saying Before we Go.,4,saying before we go,4,1,before ,1,before,1,1,-11.76272202,,,,,,0,,,,,,0,So before we do.,4,so before we do,4,1
ATL_se0_ag2_m_02_1,2088,ATL_int_01,2380.5215,2382.638,2.1165,1,1,1,you more than welcome. We pretty much done hit,11,5.197259627,8.608713436,8.39,10.75,9,you more than welcome. We pretty much ,7,hit,1,you more than welcome we pretty much done hit,9,you more than welcome we pretty much ,7,hit,1,More Than Welcome We Pretty much Don't Hit.,8,more than welcome we pretty much do n't hit,9,0.333333333,more welcome the pretty muslin,5,more welcome the pretty muslin,5,0.666666667,-57.0505867,More than welcome. We pretty much going to.,8,more than welcome we pretty much going to,8,0.333333333,0.849546969,morning well pretty much ,4,morning well pretty much,4,0.777777778,0.73,More than welcome. We pretty much downhill.,7,more than welcome we pretty much downhill,7,0.333333333
ATL_se0_ag2_m_03_1,124,ATL_se0_ag2_m_03,147.3255,149.5105,2.185,1,0,1,"and the damage that was done to the levee,",11,5.034324943,12.82877169,12.68,5.75,9,and the damage that was ,5,"to the levee,",3,and the damage that was done to the levee,9,and the damage that was ,5,to the levee,3,And the damage that was done to that level.,9,and the damage that was done to that level,9,0.222222222,and dan was that was done to the liver,9,and dan was that was done to the liver,9,0.333333333,-51.77625656,And it damage that was done to the levy.,9,and it damage that was done to the levy,9,0.222222222,0.840199113,and it's damage that was down to eleven ,8,and it 's damage that was down to eleven,9,0.555555556,0.6,Ended damage that was done to that level.,8,ended damage that was done to that level,8,0.444444444
ATL_se0_ag2_m_03_1,221,ATL_int_01,262.1497,264.047,1.8973,1,0,1,"you was done with, um, s-",6,3.162388658,16.16050594,15.59,7.25,6,you was ,2,"with, um, s-",3,you was done with um s,6,you was ,2,with um s,3,It was done with.,4,it was done with,4,0.5,one with a,3,one with a,3,0.833333333,-19.34713745,,,,,,0,he was done with the phones ,6,he was done with the phones,6,0.5,0.48,He was done with.,4,he was done with,4,0.5
ATL_se0_ag2_m_03_1,370,ATL_se0_ag2_m_03,447.8173,451.7859,3.9686,1,1,1,you feel me. It's- it's a lot of people that done got influenced from Atlanta cause Atlanta was like,26,6.551428715,16.82197249,16.68,22.5,19,you feel me. It's- it's a lot of people that ,10,got influenced from Atlanta cause Atlanta was like,8,you feel me it 's it 's a lot of people that done got influenced from atlanta because atlanta was like,21,you feel me it 's it 's a lot of people that ,12,got influenced from atlanta because atlanta was like,8,"You feel it's a lot of people that ain't got influence from Atlanta, Atlanta was like.",16,you feel it 's a lot of people that ai n't got influence from atlanta atlanta was like,18,0.333333333,fairest of people that i got a fence from a lincoln was like,13,fairest of people that i got a fence from a lincoln was like,13,0.714285714,-165.4385529,"if I miss a lot of people that ain't got no flooring from Atlantic, Atlanta was like",17,if i miss a lot of people that ai n't got no flooring from atlantic atlanta was like,18,0.619047619,0.884868026,you see I mean it's it's a lot of people that I got it from was from Atlanta to the land it was like ,24,you see i mean it 's it 's a lot of people that i got it from was from atlanta to the land it was like,26,0.523809524,0.64,If it's a lot of people that influence from Atlanta 'cause Atlanta was like.,14,if it 's a lot of people that influence from atlanta because atlanta was like,15,0.380952381
ATL_se0_ag2_m_03_1,492,ATL_int_01,604.3692,608.3481,3.9789,1,1,1,the Migos kind of just really highlighting some shit we done already known.,14,3.518560406,14.8076209,14.56,6.5,13,the Migos kind of just really highlighting some shit we ,10,already known.,2,the migos kind of just really highlighting some **** we done already known,13,the migos kind of just really highlighting some **** we ,10,already known,2,"Me goes college is really high, some share we already know.",11,me goes college is really high some share we already know,11,0.692307692,as colleges really highlights shivered ,5,as colleges really highlights shivered,5,0.923076923,-102.4940643,Migos College.,2,migos college,2,0.923076923,0.836698771,Migos colleges really highlight some **** we don't already know ,10,migos colleges really highlight some we do n't already know,10,0.692307692,0.4,Migos cottages really highlighting some **** we already knew.,9,migos cottages really highlighting some we already knew,8,0.538461538
ATL_se0_ag2_m_03_1,687,ATL_se0_ag2_m_03,877.0895,880.8481,3.7586,2,1,1,"that weed, I done- I done got a little edge on that shit, you know what I mean, unless I'm'a just blow it",26,6.91746927,10.76966551,10.61,8.5,23,"that weed, I ",3," I done got a little edge on that shit, you know what I mean, unless I'm'a just blow it",19,that weed i done i done got a little edge on that **** you know what i mean unless i 'm a just blow it,25,that weed i ,3,i done got a little edge on that **** you know what i mean unless i 'm a just blow it,21,"That we'd I got a little edge on that shit, you know what I mean, unless someone just blow.",19,that we 'd i got a little edge on that **** you know what i mean unless someone just blow,20,0.32,we ain't got a oneness just blow,7,we ai n't got a oneness just blow,8,0.84,-139.0542603,That we'd finally got to the age. I'm going to sit in that me unless I might just blow,19,that we 'd finally got to the age i 'm going to sit in that me unless i might just blow,21,0.76,0.850263476,%HESITATION we %HESITATION I haven't got L. H. O. and I see you know I mean unless someone just blow ,20,we i have n't got l h o and i see you know i mean unless someone just blow,19,0.64,0.6,"Yeah, we don't got edge. I mean this **** you know. I mean unless someone just blow.",17,yeah we do n't got edge i mean this you know i mean unless someone just blow,17,0.64
