File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L52,L51,L50,L49,L48,L47,L46,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60
107-22885-0037,37,2,2,and he ain't as popular now as he used to was well ain't it strange why aunt polly he was always so good and kind and moony and absent minded and chuckle headed and lovable why he was just an angel,it,strange,it_ain't_strange,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,he,ain't,as,popular,now,as,he,used,to,was,well,ain't ,it,strange,why,aunt,polly,he,was,always,so,good,and,kind,and,moony,and,absent,minded,and,chuckle,headed,and,lovable,why,he,was,just,an,angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107-22887-0031,31,2,2,and set down on the end of the sky light both of us knowed what that meant without having to explain to one another bud dixon would wake up and miss the swag and would come straight for us for he ain't afeard of anything or anybody that man ain't he would come and we would heave him overboard,man,constituentboundary,man_ain't_constituentboundary,Noun,ConstituentBoundary,Noun_ain't_ConstituentBoundary,,,,and,set,down,on,the,end,of,the,sky,light,both,of,us,knowed,what,that,meant,without,having,to,explain,to,one,another,bud,dixon,would,wake,up,and,miss,the,swag,and,would,come,straight,for,us,for,he,ain't,afeard,of,anything,or,anybody,that,man,ain't ,he,would,come,and,we,would,heave,him,overboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107-22887-0031,31,2,2,and set down on the end of the sky light both of us knowed what that meant without having to explain to one another bud dixon would wake up and miss the swag and would come straight for us for he ain't afeard of anything or anybody that man ain't he would come and we would heave him overboard,he,afeard,he_ain't_afeard,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,and,set,down,on,the,end,of,the,sky,light,both,of,us,knowed,what,that,meant,without,having,to,explain,to,one,another,bud,dixon,would,wake,up,and,miss,the,swag,and,would,come,straight,for,us,for,he,ain't ,afeard,of,anything,or,anybody,that,man,ain't,he,would,come,and,we,would,heave,him,overboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107-22887-0032,32,1,1,or get killed trying it made me shiver because i ain't as brave as some people but if i showed the white feather well i knowed better than do that i kind of hoped the boat would land somers and we could skip ashore and not have to run the risk of this row,I,brave,I_ain't_brave,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,get,killed,trying,it,made,me,shiver,because,i,ain't ,as,brave,as,some,people,but,if,i,showed,the,white,feather,well,i,knowed,better,than,do,that,i,kind,of,hoped,the,boat,would,land,somers,and,we,could,skip,ashore,and,not,have,to,run,the,risk,of,this,row,,,,,,,,,,,,,,,,,
107-22887-0034,34,1,1,ain't it suspicious land hal says do you reckon he's playing us open the paper i done it and by gracious there warn't anything in it but a couple of little pieces of loaf sugar that's the reason he could set there and snooze all night so comfortable,it,suspicious,it_ain't_suspicious,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ain't ,it,suspicious,land,hal,says,do,you,reckon,he's,playing,us,open,the,paper,i,done,it,and,by,gracious,there,warn't,anything,in,it,but,a,couple,of,little,pieces,of,loaf,sugar,that's,the,reason,he,could,set,there,and,snooze,all,night,so,comfortable,,,,,,,,,,,,,
1100-135264-0011,11,2,2,she ain't responsible for it and you ain't but it's there and neither of you can cross it my childhood wasn't very happy before i came to green gables said anne,she,responsible,she_ain't_responsible,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,she,ain't ,responsible,for,it,and,you,ain't,but,it's,there,and,neither,of,you,can,cross,it,my,childhood,wasn't,very,happy,before,i,came,to,green,gables,said,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100-135264-0011,11,2,2,she ain't responsible for it and you ain't but it's there and neither of you can cross it my childhood wasn't very happy before i came to green gables said anne,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,she,ain't,responsible,for,it,and,you,ain't ,but,it's,there,and,neither,of,you,can,cross,it,my,childhood,wasn't,very,happy,before,i,came,to,green,gables,said,anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100-135264-0021,21,1,1,there's a vast of onunderstandable things in life ain't there mistress blythe sometimes things seem to work out real proper like same as with you and the doctor and then again they all seem to go catawampus,there,constituentboundary,there_ain't_constituentboundary,PronounNonReferential,ConstituentBoundary,PronounNonReferential_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there's,a,vast,of,onunderstandable,things,in,life,ain't ,there,mistress,blythe,sometimes,things,seem,to,work,out,real,proper,like,same,as,with,you,and,the,doctor,and,then,again,they,all,seem,to,go,catawampus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121-176698-0015,15,1,1,said adam at this juncture speaking from beneath an inlaid table which he held balanced upon his head it ain't as if this was jest ordinary furnitur sir ye see she kind er feels as it be all part o dapplemere manor as it used to be called,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,said,adam,at,this,juncture,speaking,from,beneath,an,inlaid,table,which,he,held,balanced,upon,his,head,it,ain't ,as,if,this,was,jest,ordinary,furnitur,sir,ye,see,she,kind,er,feels,as,it,be,all,part,o,dapplemere,manor,as,it,used,to,be,called,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121-176698-0016,16,1,1,it's all been here so long that them cheers an tables has come to be part o the ouse sir so when she comes an finds as it ain't all been took,it,all,it_ain't_all,PronounPersonal,PronounIndefinite,PronounPersonal_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,it's,all,been,here,so,long,that,them,cheers,an,tables,has,come,to,be,part,o,the,ouse,sir,so,when,she,comes,an,finds,as,it,ain't ,all,been,took,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265-135635-0023,23,1,1,lauk mary ann what's the matter said missus cluppins it's put me all over in such a tremble betsy replied missus raddle raddle ain't like a man he leaves everythink to me,Raddle,like,Raddle_ain't_like,Noun,VerbBase,Noun_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lauk,mary,ann,what's,the,matter,said,missus,cluppins,it's,put,me,all,over,in,such,a,tremble,betsy,replied,missus,raddle,raddle,ain't ,like,a,man,he,leaves,everythink,to,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265-135635-0051,51,1,1,it's a gentleman said missus raddle well if it ain't mister jackson the young man from dodson and fogg's cried missus bardell why gracious surely mister pickwick can't have paid the damages or hoffered marriage said missus cluppins,it,Jackson,it_ain't_Jackson,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it's,a,gentleman,said,missus,raddle,well,if,it,ain't ,mister,jackson,the,young,man,from,dodson,and,fogg's,cried,missus,bardell,why,gracious,surely,mister,pickwick,can't,have,paid,the,damages,or,hoffered,marriage,said,missus,cluppins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265-135635-0060,60,1,1,why really there ain't much time to lose replied jackson and i've got a friend here he continued looking towards the man with the ash stick oh ask your friend to come here sir said missus bardell pray ask your friend here sir,there,time,there_ain't_time,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,why,really,there,ain't ,much,time,to,lose,replied,jackson,and,i've,got,a,friend,here,he,continued,looking,towards,the,man,with,the,ash,stick,oh,ask,your,friend,to,come,here,sir,said,missus,bardell,pray,ask,your,friend,here,sir,,,,,,,,,,,,,,,,,,,,,
1265-135635-0066,66,1,1,sad thing about these costs of our people's ain't it said jackson when missus cluppins and missus sanders had fallen asleep your bill of costs i mean,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sad,thing,about,these,costs,of,our,people's,ain't ,it,said,jackson,when,missus,cluppins,and,missus,sanders,had,fallen,asleep,your,bill,of,costs,i,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445-139387-0006,6,1,1,and when she found it she said to the blond twin who was now doing the biographies in his turn while the brunette one rested if it ain't asking what i ought not to ask mister angelo,it,asking,it_ain't_asking,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,and,when,she,found,it,she,said,to,the,blond,twin,who,was,now,doing,the,biographies,in,his,turn,while,the,brunette,one,rested,if,it,ain't ,asking,what,i,ought,not,to,ask,mister,angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445-139397-0012,12,1,1,en sign some names to it en say you'll sell me cheap ca'se you's hard up you'll find you ain't gwine to have no trouble you take me up de country a piece en sell me on a farm,you,gwine,you_ain't_gwine,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en,sign,some,names,to,it,en,say,you'll,sell,me,cheap,ca'se,you's,hard,up,you'll,find,you,ain't ,gwine,to,have,no,trouble,you,take,me,up,de,country,a,piece,en,sell,me,on,a,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445-139397-0013,13,1,1,dem people ain't gwine to ask no questions if i's a bargain tom forged a bill of sale and sold his mother to an arkansas cotton planter for a trifle over six hundred dollars,people,gwine,people_ain't_gwine,Noun,VerbPresentParticiple,Noun_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dem,people,ain't ,gwine,to,ask,no,questions,if,i's,a,bargain,tom,forged,a,bill,of,sale,and,sold,his,mother,to,an,arkansas,cotton,planter,for,a,trifle,over,six,hundred,dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0003,3,1,1,at last i says this ain't no thirty seven year job this is a thirty eight year job tom sawyer he never said nothing but he sighed and pretty soon he stopped digging,this,job,this_ain't_job,PronounDemonstrative,Noun,PronounDemonstrative_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at,last,i,says,this,ain't ,no,thirty,seven,year,job,this,is,a,thirty,eight,year,job,tom,sawyer,he,never,said,nothing,but,he,sighed,and,pretty,soon,he,stopped,digging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0004,4,2,2,then he says it ain't no use huck it ain't a going to work if we was prisoners it would because then we'd have as many years as we wanted and no hurry and we wouldn't get but a few minutes to dig every day,it,use,it_ain't_use,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,then,he,says,it,ain't ,no,use,huck,it,ain't,a,going,to,work,if,we,was,prisoners,it,would,because,then,we'd,have,as,many,years,as,we,wanted,and,no,hurry,and,we,wouldn't,get,but,a,few,minutes,to,dig,every,day,,,,,,,,,,,,,,,,,,,,
1469-163403-0004,4,2,2,then he says it ain't no use huck it ain't a going to work if we was prisoners it would because then we'd have as many years as we wanted and no hurry and we wouldn't get but a few minutes to dig every day,it,work,it_ain't_work,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,then,he,says,it,ain't,no,use,huck,it,ain't ,a,going,to,work,if,we,was,prisoners,it,would,because,then,we'd,have,as,many,years,as,we,wanted,and,no,hurry,and,we,wouldn't,get,but,a,few,minutes,to,dig,every,day,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0005,5,1,1,while they was changing watches and so our hands wouldn't get blistered and we could keep it up right along year in and year out and do it right and the way it ought to be done but we can't fool along we got to rush we ain't got no time to spare,we,rush,we_ain't_rush,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,while,they,was,changing,watches,and,so,our,hands,wouldn't,get,blistered,and,we,could,keep,it,up,right,along,year,in,and,year,out,and,do,it,right,and,the,way,it,ought,to,be,done,but,we,can't,fool,along,we,got,to,rush,we,ain't ,got,no,time,to,spare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0006,6,2,2,if we was to put in another night this way we'd have to knock off for a week to let our hands get wellcouldn't touch a case knife with them sooner well then what we going to do tom i'll tell you it ain't right and it ain't moral,it,right,it_ain't_right,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,if,we,was,to,put,in,another,night,this,way,we'd,have,to,knock,off,for,a,week,to,let,our,hands,get,wellcouldn't,touch,a,case,knife,with,them,sooner,well,then,what,we,going,to,do,tom,i'll,tell,you,it,ain't ,right,and,it,ain't,moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0006,6,2,2,if we was to put in another night this way we'd have to knock off for a week to let our hands get wellcouldn't touch a case knife with them sooner well then what we going to do tom i'll tell you it ain't right and it ain't moral,it,moral,it_ain't_moral,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,if,we,was,to,put,in,another,night,this,way,we'd,have,to,knock,off,for,a,week,to,let,our,hands,get,wellcouldn't,touch,a,case,knife,with,them,sooner,well,then,what,we,going,to,do,tom,i'll,tell,you,it,ain't,right,and,it,ain't ,moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0008,8,1,1,and as for me i don't care shucks for the morality of it nohow when i start in to steal a nigger or a watermelon or a sunday school book i ain't no ways particular how it's done so it's done,I,particular,I_ain't_particular,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,and,as,for,me,i,don't,care,shucks,for,the,morality,of,it,nohow,when,i,start,in,to,steal,a,nigger,or,a,watermelon,or,a,sunday,school,book,i,ain't ,no,ways,particular,how,it's,done,so,it's,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0011,11,2,2,if it warn't so i wouldn't approve of it nor i wouldn't stand by and see the rules brokebecause right is right and wrong is wrong and a body ain't got no business doing wrong when he ain't ignorant and knows better,body,got,body_ain't_got,Noun,VerbPastParticiple,Noun_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,if,it,warn't,so,i,wouldn't,approve,of,it,nor,i,wouldn't,stand,by,and,see,the,rules,brokebecause,right,is,right,and,wrong,is,wrong,and,a,body,ain't ,got,no,business,doing,wrong,when,he,ain't,ignorant,and,knows,better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0011,11,2,2,if it warn't so i wouldn't approve of it nor i wouldn't stand by and see the rules brokebecause right is right and wrong is wrong and a body ain't got no business doing wrong when he ain't ignorant and knows better,he,ignorant,he_ain't_ignorant,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,if,it,warn't,so,i,wouldn't,approve,of,it,nor,i,wouldn't,stand,by,and,see,the,rules,brokebecause,right,is,right,and,wrong,is,wrong,and,a,body,ain't,got,no,business,doing,wrong,when,he,ain't ,ignorant,and,knows,better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0016,16,2,2,his hands was so sore at last he says it ain't no use it can't be done what you reckon i better do can't you think of no way yes i says but i reckon it ain't regular,it,regular,it_ain't_regular,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,his,hands,was,so,sore,at,last,he,says,it,ain't,no,use,it,can't,be,done,what,you,reckon,i,better,do,can't,you,think,of,no,way,yes,i,says,but,i,reckon,it,ain't ,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469-163403-0016,16,2,2,his hands was so sore at last he says it ain't no use it can't be done what you reckon i better do can't you think of no way yes i says but i reckon it ain't regular,it,use,it_ain't_use,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,his,hands,was,so,sore,at,last,he,says,it,ain't ,no,use,it,can't,be,done,what,you,reckon,i,better,do,can't,you,think,of,no,way,yes,i,says,but,i,reckon,it,ain't,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498-140041-0025,25,1,1,cousin cyrus is an old man an consid'able trouble but he thinks my teeth are handsome an says i've got a splendid suit of hair there ain't a person in lewiston that knows about the minister or father's will,there,person,there_ain't_person,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,cousin,cyrus,is,an,old,man,an,consid'able,trouble,but,he,thinks,my,teeth,are,handsome,an,says,i've,got,a,splendid,suit,of,hair,there,ain't ,a,person,in,lewiston,that,knows,about,the,minister,or,father's,will,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578-140045-0003,3,1,1,i tell you harriet beecher stowe herself couldn't a done it better justice i took it all in responded mister cobb who was pleased that mother agreed with him about rebecca i ain't sure but she's goin to turn out somethin remarkable,I,sure,I_ain't_sure,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,i,tell,you,harriet,beecher,stowe,herself,couldn't,a,done,it,better,justice,i,took,it,all,in,responded,mister,cobb,who,was,pleased,that,mother,agreed,with,him,about,rebecca,i,ain't ,sure,but,she's,goin,to,turn,out,somethin,remarkable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578-140045-0004,4,1,1,land no mother there ain't no home'path bout miss parks she drives all over the country i can't see rebecca as a lady doctor somehow mused missus cobb her gift o gab is what's goin to be the makin of her,there,home,there_ain't_home,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,land,no,mother,there,ain't ,no,home'path,bout,miss,parks,she,drives,all,over,the,country,i,can't,see,rebecca,as,a,lady,doctor,somehow,mused,missus,cobb,her,gift,o,gab,is,what's,goin,to,be,the,makin,of,her,,,,,,,,,,,,,,,,,,,,,,,,
1746-143015-0033,33,1,1,ain't bigger nor a derringer,constituentboundary,bigger,constituentboundary_ain't_bigger,ConstituentBoundary,Adjective,ConstituentBoundary_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ain't ,bigger,nor,a,derringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746-143015-0067,67,2,2,eyeing the faces around him but it strikes me that this thing ain't exactly on the squar it's playing it pretty low down on this yer baby to ring in fun on him that he ain't goin to understand,thing,on,thing_ain't_on,Noun,Preposition,Noun_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eyeing,the,faces,around,him,but,it,strikes,me,that,this,thing,ain't ,exactly,on,the,squar,it's,playing,it,pretty,low,down,on,this,yer,baby,to,ring,in,fun,on,him,that,he,ain't,goin,to,understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
