File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,1,2
ATL_se0_ag1_f_02_1,1163,ATL_int_01,1264.5568,1267.928,3.3712,1,1,I- I know I hear that a lot from most northern people who be freaking out.,who,freaking out,who_be_freaking out,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,I-,I,know,I,hear,that,a,lot,from,most,northern,people,who,be ,freaking,out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,1951,ATL_se0_ag1_f_02,2190.2472,2193.7583,3.5111,1,1,"Y'all say it, but y'all don't say it. Now when females say, y'all be like,",y'all,like,y'all_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,Y'all,say,"it,",but,y'all,don't,say,it.,Now,when,females,"say,",y'all,be ,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1206,ATL_se0_ag1_f_03,1613.026,1615.9522,2.9262,1,1,"Like my best friend, I be hearing her say it, but she won't say it like bruh.",I,hearing,I_be_hearing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,Like,my,best,"friend,",I,be ,hearing,her,say,"it,",but,she,won't,say,it,like,bruh.,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1208,ATL_se0_ag1_f_03,1616.5099,1617.4094,0.8995,1,1,"But she be like bruh,",she,like,she_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,she,be ,like,"bruh,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1277,ATL_se0_ag1_f_03,1693.2861,1695.2419,1.9558,1,1,"sometimes they be rude like, the other day,",they,rude,they_be_rude,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,sometimes,they,be ,rude,"like,",the,other,"day,",,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_03_1,1301,ATL_se0_ag1_f_03,1727.723,1729.3172,1.5942,1,1,Or they be like what you finna do?,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,Or,they,be ,like,what,you,finna,do?,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,43,ATL_se0_ag1_m_01,42.9965,48.0294,5.0329,1,1,"I- yeah d- I be putting that on job applications and everything, bruh, like ",I,putting,I_be_putting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,I-,yeah,d-,I,be ,putting,that,on,job,applications,and,"everything,","bruh,",like,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,555,ATL_se0_ag1_m_01,780.576,782.1797,1.6037,1,1,"It just be a black shirt, like",it,shirt,it_be_shirt,PronounPersonal,Noun,PronounPersonal_be_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,just,be ,a,black,"shirt,",like,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,793,ATL_Int_01,1128.3856,1130.0402,1.6546,1,1,Do you ever be on the west side of Atlanta?,you,on,you_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,Do,you,ever,be ,on,the,west,side,of,Atlanta?,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,804,ATL_se0_ag1_m_01,1138.9986,1145.0346,6.036,1,1,"Cause you know, you know what I'm saying, you might, it depend, bruh. Some niggas be intimidated. You can't walk around there intimidated, like,",niggas,intimidated,niggas_be_intimidated,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,Cause,you,"know,",you,know,what,I'm,"saying,",you,"might,",it,"depend,",bruh.,Some,niggas,be ,intimidated.,You,can't,walk,around,there,"intimidated,","like,",,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,816,ATL_se0_ag1_m_01,1161.9893,1164.4203,2.431,1,1,"You know what I'm saying, like we just be kicking shit though like,",we,kicking,we_be_kicking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,You,know,what,I'm,"saying,",like,we,just,be ,kicking,shit,though,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,822,ATL_se0_ag1_m_01,1174.4365,1177.3561,2.9196,1,1,"Other than that, bruh, we just be smoking jay, you know what I'm saying, chilling, bruh.",we,smoking,we_be_smoking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,Other,than,"that,","bruh,",we,just,be ,smoking,"jay,",you,know,what,I'm,"saying,","chilling,",bruh.,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1369,ATL_se0_ag1_m_01,1991.527,1992.8401,1.3131,1,1,But that bacon be calling me.,bacon,calling,bacon_be_calling,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,But,that,bacon,be ,calling,me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1393,ATL_Int_01,2020.4356,2021.824,1.3884,1,1,"Sure, they be bustling.",they,bustling,they_be_bustling,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sure,",they,be ,bustling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1406,ATL_se0_ag1_m_01,2037.6856,2040.8357,3.1501,1,1,"Shit, I cook hot shit, where you be like, damn you made this?",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,"Shit,",I,cook,hot,"shit,",where,you,be ,"like,",damn,you,made,this?,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1421,ATL_se0_ag1_m_01,2062.4131,2062.8794,0.4663,1,1,it be like,it,like,it_be_like,PronounNonReferential,QuotativeLike,PronounNonReferential_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1423,ATL_se0_ag1_m_01,2063.3135,2064.9634,1.6499,1,1,"two in the morning, niggas be hungry.",niggas,hungry,niggas_be_hungry,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,two,in,the,"morning,",niggas,be ,hungry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1425,ATL_se0_ag1_m_01,2066.1438,2068.2314,2.0876,1,1,"I go in there and I- I be like, shit,",I,like,I_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,I,go,in,there,and,I-,I,be ,"like,","shit,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1427,ATL_se0_ag1_m_01,2068.3117,2071.3983,3.0866,1,1,"cool well I'm finna cook something. They be like, whatchu gonna cook, bruh? It's like",they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,cool,well,I'm,finna,cook,something.,They,be ,"like,",whatchu,gonna,"cook,",bruh?,It's,like,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1598,ATL_Int_01,2296.281,2297.8621,1.5811,1,1,"whatchu be watching, um,",you,watching,you_be_watching,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whatchu,be ,"watching,","um,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_01_1,1707,ATL_Int_01,2467.5843,2470.6415,3.0572,1,1,"I rock with the Regular Show. They do be having some good, um,",they,having,they_be_having,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,I,rock,with,the,Regular,Show.,They,do,be ,having,some,"good,","um,",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,619,ATL_se0_ag1_m_02,663.573,664.485,0.912,1,1,"They don't just be like,",they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,They,don't,just,be ,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,621,ATL_se0_ag1_m_02,664.5973,668.2486,3.6513,1,1,"I write poetry, you know what I'm saying, and be spitting poetry bars.",I,spitting,I_be_spitting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,I,write,"poetry,",you,know,what,I'm,"saying,",and,be ,spitting,poetry,bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1049,ATL_se0_ag1_m_02,1134.8986,1135.8524,0.9538,1,1,But I don't be like-,I,like,I_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,But,I,don't,be ,like-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1370,ATL_int_01,1484.6499,1486.2196,1.5697,1,1,"yeah, they be chop blocking.",they,chop blocking,they_be_chop blocking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,"yeah,",they,be ,chop,blocking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1627,ATL_se0_ag1_m_02,1794.4759,1795.492,1.0161,1,1,"and they be like, okay,",they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,be ,"like,","okay,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1745,ATL_se0_ag1_m_02,1909.1744,1911.2405,2.0661,1,1,"I put it all in there. I be like, yeah I want the-",I,like,I_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,I,put,it,all,in,there.,I,be ,"like,",yeah,I,want,the-,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1916,ATL_int_01,2087.7553,2090.8947,3.1394,1,1,Why Gatorade bottles don't be coming like this for real for real?,bottles,coming,bottles_be_coming,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,Why,Gatorade,bottles,don't,be ,coming,like,this,for,real,for,real?,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,2098,ATL_se0_ag1_m_02,2295.1752,2295.9736,0.7984,1,1,"niggas be broke,",niggas,broke,niggas_be_broke,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niggas,be ,"broke,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,2100,ATL_se0_ag1_m_02,2296.078,2297.6434,1.5654,1,1,"and they be like, yo hold up.",they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,be ,"like,",yo,hold,up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,882,ATL_int_01,973.642,975.395,1.753,1,1,But LeBron be passing though.,LeBron,passing,LeBron_be_passing,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,LeBron,be ,passing,though.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1280,ATL_int_01,1427.2795,1428.9641,1.6846,1,1,"They be shitting on these niggas, man,",they,shitting,they_be_shitting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They,be ,shitting,on,these,"niggas,","man,",,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1284,ATL_se0_ag1_m_03,1430.3356,1431.4647,1.1291,1,1,they be shitting on 'em.,they,shitting,they_be_shitting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be ,shitting,on,'em.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1736,ATL_se0_ag1_m_03,1956.8836,1957.4493,0.5657,1,1,"You be like,",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,be ,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1762,ATL_se0_ag1_m_03,1989.1721,1990.1414,0.9693,1,1,"And you be like, bruh,",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,you,be ,"like,","bruh,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1766,ATL_se0_ag1_m_03,1992.4292,1997.1866,4.7574,1,1,"But they'll flirt with you all day, and they g- ah yeah,  you- and you be like, okay, so yeah what's u- ah s-",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,But,they'll,flirt,with,you,all,"day,",and,they,g-,ah,"yeah,",you-,and,you,be ,"like,","okay,",so,yeah,what's,u-,ah,s-,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1771,ATL_se0_ag1_m_03,1998.6159,2000.4606,1.8447,1,1,"You be like, damn bro, like you- you was just-",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,be ,"like,",damn,"bro,",like,you-,you,was,just-,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1840,ATL_se0_ag1_m_03,2070.3628,2072.1524,1.7896,1,1,people be all loved up and,people,loved up,people_be_loved up,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people,be ,all,loved,up,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1842,ATL_se0_ag1_m_03,2072.2603,2077.3874,5.1271,1,1,"damn near making love in the cafeteria, tonguing each other down. You be like, oh that's your girlfriend? Nah, we just talking.",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,damn,near,making,love,in,the,"cafeteria,",tonguing,each,other,down.,You,be ,"like,",oh,that's,your,girlfriend?,"Nah,",we,just,talking.,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1965,ATL_se0_ag1_m_03,2205.3277,2215.0073,9.6796,1,1,"And so like we kind of like had like a rocky road after that. Like she be like, oh you always aks me about this purple, cause you a Blood, and you j- a slob ass. And I'm like, yo calm down with that slob word, and",she,like,she_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,And,so,like,we,kind,of,like,had,like,a,rocky,road,after,that.,Like,she,be ,"like,",oh,you,always,aks,me,about,this,"purple,",cause,you,a,"Blood,",and,you,j-,a,slob,ass.,And,I'm,"like,",yo,calm,down,with,that,slob,"word,",and,,
ATL_se0_ag1_m_03_1,2206,ATL_int_01,2502.0176,2504.1005,2.0829,1,1,thing Soulja Boy be talking about or something?,Soulja Boy,talking,Soulja Boy_be_talking,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,thing,Soulja,Boy,be ,talking,about,or,something?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,2208,ATL_se0_ag1_m_03,2504.3532,2506.7338,2.3806,1,1,Soulja Boy be claiming he from Fruit Town Piru.,Soulja Boy,claiming,Soulja Boy_be_claiming,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soulja,Boy,be ,claiming,he,from,Fruit,Town,Piru.,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_1,558,ATL_se0_ag1_m_04,762.8753,764.0185,1.1432,1,1,I be on that bougie shit-,I,on,I_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,on,that,bougie,shit-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,57,ATL_int_01,76.8304,79.4497,2.6193,1,1,"I be thinking like, damn, maybe I gotta get on this bitch",I,thinking,I_be_thinking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,thinking,"like,","damn,",maybe,I,gotta,get,on,this,bitch,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,162,ATL_int_01,218.8815,226.7582,7.8767,1,1,"you be, um, at times I guess too focused on that and then you forget about I guess your personal relationships with your family or whoever,",you,focused,you_be_focused,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,"be,","um,",at,times,I,guess,too,focused,on,that,and,then,you,forget,about,I,guess,your,personal,relationships,with,your,family,or,"whoever,",,,,,,,,
ATL_se0_ag1_m_04_2,298,ATL_se0_ag1_m_04,419.8608,424.2006,4.3398,1,1,"I mean, it's just- I'm just speaking facts, man. A lot of artists be telling me, bruh, you the only artist",lot,telling,lot_be_telling,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,I,"mean,",it's,just-,I'm,just,speaking,"facts,",man.,A,lot,of,artists,be ,telling,"me,","bruh,",you,the,only,artist,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,302,ATL_se0_ag1_m_04,426.1392,428.4579,2.3187,1,1,"the competition when I be really feeling like,",I,feeling,I_be_feeling,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,the,competition,when,I,be ,really,feeling,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,480,ATL_int_01,695.0145,698.1029,3.0884,1,1,and you gonna stand out. Like a lot of times I don't even be wanting to,I,wanting,I_be_wanting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,and,you,gonna,stand,out.,Like,a,lot,of,times,I,don't,even,be ,wanting,to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
