File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0301544,66,B,217.59,222.32,4.73,1,1,which was yes which was a bummer 'cause usually they be out the week of ,they,out,they_be_out,PronounPersonal,Adverb,PronounPersonal_be_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,which,was,yes,which,was,a,bummer,'cause,usually,they,be ,out,the,week,of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0301997,24,B,96.94,110.85,13.91,3,1,that's that's that's what how i feel about it because it takes everybody in this world to to make it you know and if it wouldn't be for the stockholders they wouldn't have a job all the ceos'd be out cutting grass or whatever they be doing ,they,doing,they_be_doing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,that's,that's,that's,what,how,i,feel,about,it,because,it,takes,everybody,in,this,world,to,to,make,it,you,know,and,if,it,wouldn't,be,for,the,stockholders,they,wouldn't,have,a,job,all,the,ceos'd,be,out,cutting,grass,or,whatever,they,be ,doing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302048,152,A,336.47,343.49,7.02,1,1,oh okay so you know the whole schedule you got it down pat so you be watching ball all day long huh ,you,watching,you_be_watching,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,okay,so,you,know,the,whole,schedule,you,got,it,down,pat,so,you,be ,watching,ball,all,day,long,huh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302048,225,B,540.87,547.16,6.29,2,2,no he he he's not coaching everything on the ba- when he be on the basketball when he be on the coach he's a coach and everything ,he,on,he_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,he,he,he's,not,coaching,everything,on,the,ba-,when,he,be ,on,the,basketball,when,he,be,on,the,coach,he's,a,coach,and,everything,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302048,225,B,540.87,547.16,6.29,2,2,no he he he's not coaching everything on the ba- when he be on the basketball when he be on the coach he's a coach and everything ,he,on,he_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,he,he,he's,not,coaching,everything,on,the,ba-,when,he,be,on,the,basketball,when,he,be ,on,the,coach,he's,a,coach,and,everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302163,128,B,328.38,340.37,11.99,1,1,y- yeah uncle bud and it's really it's really good they give you a uh i mean they you be really full when you leave out of there they give you like uh a bowl of beans before they even bring your main course ,you,full,you_be_full,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,y-,yeah,uncle,bud,and,it's,really,it's,really,good,they,give,you,a,uh,i,mean,they,you,be ,really,full,when,you,leave,out,of,there,they,give,you,like,uh,a,bowl,of,beans,before,they,even,bring,your,main,course,,,,,,,,,,,,,,,,
fe0302192,69,B,194.22,204.69,10.47,2,2,yeah yeah i seen on t.v. once where they show what people be doing when they be cooking and stuff and that makes you leary about eating in these restaurants ,they,cooking,they_be_cooking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,yeah,i,seen,on,t.v.,once,where,they,show,what,people,be,doing,when,they,be ,cooking,and,stuff,and,that,makes,you,leary,about,eating,in,these,restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302192,69,B,194.22,204.69,10.47,2,2,yeah yeah i seen on t.v. once where they show what people be doing when they be cooking and stuff and that makes you leary about eating in these restaurants ,people,doing,people_be_doing,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,yeah,i,seen,on,t.v.,once,where,they,show,what,people,be ,doing,when,they,be,cooking,and,stuff,and,that,makes,you,leary,about,eating,in,these,restaurants,,,,,,,,,,,,,,,,,,,,,,,
fe0302283,204,B,568.2,571.19,2.99,2,2,i be going i be going down that way the weekend ,i,going,i_be_going,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,be,going,i,be ,going,down,that,way,the,weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302283,204,B,568.2,571.19,2.99,2,2,i be going i be going down that way the weekend ,i,going,i_be_going,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,be ,going,i,be,going,down,that,way,the,weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302283,208,B,576.78,579.07,2.29,1,1, yeah i be going down that way  ,i,going,i_be_going,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,i,be ,going,down,that,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302344,16,B,31.07,38.58,7.51,1,1,well i um  sometime when i be around lots of people that drink a lot you know they tend to start acting crazy ,i,around,i_be_around,PronounPersonal,Adverb,PronounPersonal_be_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,i,um,sometime,when,i,be ,around,lots,of,people,that,drink,a,lot,you,know,they,tend,to,start,acting,crazy,,,,,,,,,,,,,,,,,,,,,,,,
fe0302344,98,B,210.16,217.21,7.05,1,1,even they be like they all had a stroke or somebody'll hit the wrong nerve in your head and you come out all this way and that a way ,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,even,they,be ,like,they,all,had,a,stroke,or,somebody'll,hit,the,wrong,nerve,in,your,head,and,you,come,out,all,this,way,and,that,a,way,,,,,,,,,,,,,,
fe0302344,110,B,241.94,245.61,3.67,1,1,know like act the fool or something when they be drinking a lot  ,they,drinking,they_be_drinking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,know,like,act,the,fool,or,something,when,they,be ,drinking,a,lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302805,34,B,102.8,112.59,9.79,1,1, i i really don't be paying attention to most things like the scores and everything i just pay attention what they do and sometimes i like the girls from um ,i,paying,i_be_paying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,really,don't,be ,paying,attention,to,most,things,like,the,scores,and,everything,i,just,pay,attention,what,they,do,and,sometimes,i,like,the,girls,from,um,,,,,,,,,,,,,,,
fe0302848,22,A,66.67,76.9,10.23,1,1,i i i be busy doing a lot of things that you know usually most guys  uh get tied up in it  which you know i i'm a guy myself but i don't i guess they're just ,i,busy,i_be_busy,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,i,be ,busy,doing,a,lot,of,things,that,you,know,usually,most,guys,uh,get,tied,up,in,it,which,you,know,i,i'm,a,guy,myself,but,i,don't,i,guess,they're,just,,,,,,,
fe0302848,35,A,125.71,137.17,11.46,1,1,oh yes uh this particular person on this team and um uh they made a mistake and all and you know but i don't be really keeping up with it  but they they live and breathe this stuff you know ,i,keeping,i_be_keeping,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,oh,yes,uh,this,particular,person,on,this,team,and,um,uh,they,made,a,mistake,and,all,and,you,know,but,i,don't,be ,really,keeping,up,with,it,but,they,they,live,and,breathe,this,stuff,you,know,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303030,35,B,111.85,121.85,10,2,1,back and we'd be back and forth that at each other people come over they think we're a couple think we be arguing  think we argue ,we,arguing,we_be_arguing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,back,and,we'd,be,back,and,forth,that,at,each,other,people,come,over,they,think,we're,a,couple,think,we,be ,arguing,think,we,argue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303247,86,B,220.16,226.22,6.06,1,1, player he'll go from one to another you know but he still he be in love with everyone he meets so what can  ,he,in,he_be_in,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,player,he'll,go,from,one,to,another,you,know,but,he,still,he,be ,in,love,with,everyone,he,meets,so,what,can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303253,108,A,361.11,374.86,13.75,1,1,like when you living when you're live with a girl they they become so attached to you where you're like you know i'm going out and they be like no i don't want you to go out and then but i don't want to argue with you about not going out you know but they ,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,like,when,you,living,when,you're,live,with,a,girl,they,they,become,so,attached,to,you,where,you're,like,you,know,i'm,going,out,and,they,be ,like,no,i,don't,want,you,to,go,out,and,then,but,i,don't,want,to,argue,with,you,about,not,going,out,you,know,but,they,,,,,,,,,,,,,
fe0303435,167,A,464.35,473.88,9.53,1,1,you see you understand what i'm saying it's lust in there that's all it is and then once that lust dies down then all of a sudden they be like uh ,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,you,see,you,understand,what,i'm,saying,it's,lust,in,there,that's,all,it,is,and,then,once,that,lust,dies,down,then,all,of,a,sudden,they,be ,like,uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303794,168,A,459.42,464.51,5.09,1,1,na- at least you know you be carrying the same diaper bag for a while and then you'll get rid of it an- ,you,carrying,you_be_carrying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na-,at,least,you,know,you,be ,carrying,the,same,diaper,bag,for,a,while,and,then,you'll,get,rid,of,it,an-,,,,,,,,,,,,,,,,,,,,,,,,
fe0303809,80,B,219.46,227.87,8.41,1,1,no and it was you know something that everybody kind of enjoyed i mean my it'd end up my kids would leave the room and my dad and i be sitting there still laughing  a ,i,sitting,i_be_sitting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,no,and,it,was,you,know,something,that,everybody,kind,of,enjoyed,i,mean,my,it'd,end,up,my,kids,would,leave,the,room,and,my,dad,and,i,be ,sitting,there,still,laughing,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303901,193,B,568.42,582.95,14.53,1,1,you know it's kind of like a comedy um it's a comedy where these people go out and they be doing these real outrageous things and they do plan it's like ah an adult candid camera type thing  ,they,doing,they_be_doing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,it's,kind,of,like,a,comedy,um,it's,a,comedy,where,these,people,go,out,and,they,be ,doing,these,real,outrageous,things,and,they,do,plan,it's,like,ah,an,adult,candid,camera,type,thing,,,,,,,,,,,,,,,,,,,,,,
fe0304382,41,B,104,112.02,8.02,1,1,but you know i maybe worth a million to you but not in other people book but you know friendship is like ah when you be there for one another ,you,there,you_be_there,PronounPersonal,Adverb,PronounPersonal_be_Adverb,,,,,,,,,,,,,,,,,,,,,but,you,know,i,maybe,worth,a,million,to,you,but,not,in,other,people,book,but,you,know,friendship,is,like,ah,when,you,be ,there,for,one,another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304440,142,A,488.66,492.86,4.2,2,1, yeah you be you be wondering does she go to work  when you see her  ,you,wondering,you_be_wondering,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,you,be,you,be ,wondering,does,she,go,to,work,when,you,see,her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304524,9,A,28.66,31.99,3.33,1,1, that people be putting a- a- against them  ,people,putting,people_be_putting,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that,people,be ,putting,a-,a-,against,them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304610,134,A,401.28,406.13,4.85,1,1,train yeah that's what most of them do up here in new york on the train they be playing the games yeah ,they,playing,they_be_playing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,yeah,that's,what,most,of,them,do,up,here,in,new,york,on,the,train,they,be ,playing,the,games,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0304618,81,A,299.16,311.7,12.54,2,2, because i can my nephews be trying to show me 'cause sometimes i be looking at 'em i can't get the controls right a for this b. for this and c. for this  i can't get my coordination together ,i,looking,i_be_looking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,because,i,can,my,nephews,be,trying,to,show,me,'cause,sometimes,i,be ,looking,at,'em,i,can't,get,the,controls,right,a,for,this,b.,for,this,and,c.,for,this,i,can't,get,my,coordination,together,,,,,,,,,,,,,,,
fe0304618,81,A,299.16,311.7,12.54,2,2, because i can my nephews be trying to show me 'cause sometimes i be looking at 'em i can't get the controls right a for this b. for this and c. for this  i can't get my coordination together ,nephews,trying,nephews_be_trying,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,because,i,can,my,nephews,be ,trying,to,show,me,'cause,sometimes,i,be,looking,at,'em,i,can't,get,the,controls,right,a,for,this,b.,for,this,and,c.,for,this,i,can't,get,my,coordination,together,,,,,,,
fe0304618,83,A,312.72,323.42,10.7,2,1,'cause a is for shooting and b. might be for something or i can't get it they be trying to show me and ah i just get you know aggravated with it and i just  stop ,they,trying,they_be_trying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,a,is,for,shooting,and,b.,might,be,for,something,or,i,can't,get,it,they,be ,trying,to,show,me,and,ah,i,just,get,you,know,aggravated,with,it,and,i,just,stop,,,,,,,,,,,,,,,,,,,,,,
fe0305053,132,A,560.25,566.29,6.04,1,1,you know things like that so like i said you have to respect when they be like shaquille o'neal ,they,like,they_be_like,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,things,like,that,so,like,i,said,you,have,to,respect,when,they,be ,like,shaquille,o'neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305062,83,B,226.76,236.17,9.41,1,1,yeah now that's all right 'cause you be inside in the gym or the or the colosseum or something like that but at the baseball or football you is outside in the cold or baseball you're outside in the heat ,you,inside,you_be_inside,PronounPersonal,Adverb,PronounPersonal_be_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,now,that's,all,right,'cause,you,be ,inside,in,the,gym,or,the,or,the,colosseum,or,something,like,that,but,at,the,baseball,or,football,you,is,outside,in,the,cold,or,baseball,you're,outside,in,the,heat,,,,,,,,
fe0305068,160,B,548.3,554.19,5.89,1,1,you know the fight you fight you got back up or you you know and you keep you're not tired i don't believe they be really tired ,they,tired,they_be_tired,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,you,know,the,fight,you,fight,you,got,back,up,or,you,you,know,and,you,keep,you're,not,tired,i,don't,believe,they,be ,really,tired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305097,73,A,273.37,275.66,2.29,1,1,they don't even be bothered with things ,they,bothered,they_be_bothered,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,don't,even,be ,bothered,with,things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305218,57,B,259.58,266.97,7.39,1,1,and that's r- that's when in texas we have very volatile weather so you know it be thirty degrees one day and seventy the next and then ,it,degrees,it_be_degrees,PronounNonReferential,Noun,PronounNonReferential_be_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,that's,r-,that's,when,in,texas,we,have,very,volatile,weather,so,you,know,it,be ,thirty,degrees,one,day,and,seventy,the,next,and,then,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305321,124,A,287.81,290.75,2.94,1,1,uh-huh yeah they be up in the boon decks ,they,in,they_be_in,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uh-huh,yeah,they,be ,up,in,the,boon,decks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305451,42,A,102.53,106.51,3.98,1,1,and i don't be at home that much to even play the games that's why i haven't been into it even ,i,at,i_be_at,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,don't,be ,at,home,that,much,to,even,play,the,games,that's,why,i,haven't,been,into,it,even,,,,,,,,,,,,,,,,,,,,,,,
fe0305572,58,B,165.33,171.83,6.5,1,1,you know those the ones that you those the ones you be trying really really reach out and touch and you ,you,trying,you_be_trying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,those,the,ones,that,you,those,the,ones,you,be ,trying,really,really,reach,out,and,touch,and,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305757,129,A,564.32,575.96,11.64,1,1,like when i get on a computer and it starts printing error and error out you know i i don't know what the problem is the motherboard be arguing with the printer and everything but but anyway ah ,motherboard,arguing,motherboard_be_arguing,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,like,when,i,get,on,a,computer,and,it,starts,printing,error,and,error,out,you,know,i,i,don't,know,what,the,problem,is,the,motherboard,be ,arguing,with,the,printer,and,everything,but,but,anyway,ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305779,9,B,46.19,49.96,3.77,1,1, the the stage in my life where i possibly you know i be looking for ,i,looking,i_be_looking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the,the,stage,in,my,life,where,i,possibly,you,know,i,be ,looking,for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305874,150,A,460.52,463.94,3.42,1,1,and i be having me some fun fun fun fun fun ,i,having,i_be_having,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,be ,having,me,some,fun,fun,fun,fun,fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305877,137,B,306.9,309.87,2.97,1,1,if you have a conscience because there are some people out here who be like ,who,like,who_be_like,PronounRelative,QuotativeLike,PronounRelative_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,if,you,have,a,conscience,because,there,are,some,people,out,here,who,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305880,76,B,280.53,287.19,6.66,1,1,yeah that's how my friend is i i be with her than i do with my family as well yeah ,i,with,i_be_with,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,that's,how,my,friend,is,i,i,be ,with,her,than,i,do,with,my,family,as,well,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305883,159,B,361.53,363.28,1.75,1,1,you be sending college ,you,sending,you_be_sending,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,be ,sending,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0305927,37,A,109.21,112.63,3.42,1,1,i would think that it be hard to find good teachers when ,it,hard,it_be_hard,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,would,think,that,it,be ,hard,to,find,good,teachers,when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306508,15,B,22.65,30.81,8.16,1,1,oh i don't trials is like to me i figure like the way they be putting people in citizens to a time and stuff ,they,putting,they_be_putting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,i,don't,trials,is,like,to,me,i,figure,like,the,way,they,be ,putting,people,in,citizens,to,a,time,and,stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
